Technology,Year,OCC_$/MW (2021 real),FOM_$/MW-yr,VOM_$/MWh,Source
Coal,2025,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2026,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2027,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2028,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2029,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2030,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2031,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2032,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2033,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2034,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2035,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2036,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2037,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2038,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2039,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2040,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2041,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2042,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2043,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2044,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2045,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2046,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2047,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2048,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal,2049,1164761,15816,1.55,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
