Technology,Year,OCC_$/MW (2021 real),FOM_$/MW-yr,VOM_$/MWh,Source
Coal,2025,1564878.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2026,1586537.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2027,1608495.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2028,1630757.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2029,1653328.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2030,1676210.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2031,1699410.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2032,1722930.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2033,1746776.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2034,1770952.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2035,1795463.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2036,1824550.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2037,1854107.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2038,1884144.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2039,1914667.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2040,1945684.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2041,1977205.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2042,2009235.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2043,2041785.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2044,2074862.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2045,2108475.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2046,2142632.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2047,2177342.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2048,2212615.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2049,2248460.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal,2050,2284885.0,15816,1.55,Moon et al. 2025 (2021 real)
Coal_CCS,2025,2509255.25,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2026,2487873.59,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2027,2466491.94,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2028,2445110.28,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2029,2423728.63,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2030,2402346.97,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2031,2327639.46,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2032,2252931.95,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2033,2178224.45,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2034,2103516.94,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2035,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2036,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2037,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2038,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2039,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2040,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2041,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2042,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2043,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2044,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2045,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2046,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2047,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2048,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2049,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Coal_CCS,2050,2028809.43,53714.13,19.135,"BNEF (2024 real → 2021 real, GDP deflator 0.870)"
Gas_CCGT,2025,1171911.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2026,1188138.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2027,1204590.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2028,1221269.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2029,1238180.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2030,1255324.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2031,1272706.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2032,1290329.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2033,1308196.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2034,1326310.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2035,1344675.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2036,1366459.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2037,1388595.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2038,1411091.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2039,1433950.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2040,1457180.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2041,1480787.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2042,1504775.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2043,1529153.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2044,1553925.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2045,1579099.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2046,1604680.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2047,1630676.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2048,1657093.0,15274,1.82,Moon et al. 2025 (2021 real)
Gas_CCGT,2049,1683938.0,15274,1.82,Moon et al. 2025 (2021 real)
