Type,id,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size
VRE,Region1Beijing_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,827.07025,9236.111111,50742.67199,system/availability.csv,Region1Beijing_PV_Central,elec_Region1Beijing,81,1
VRE,Region2Tianjin_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,35130,9236.111111,50742.67199,system/availability.csv,Region2Tianjin_PV_Central,elec_Region2Tianjin,3513,1
VRE,Region3Hebei_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,429410,9236.111111,50742.67199,system/availability.csv,Region3Hebei_PV_Central,elec_Region3Hebei,42941,1
VRE,Region4Shanxi_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,29843.525,9236.111111,50742.67199,system/availability.csv,Region4Shanxi_PV_Central,elec_Region4Shanxi,25009,1
VRE,Region5Innermongolia_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,639992.45,9236.111111,50742.67199,system/availability.csv,Region5Innermongolia_PV_Central,elec_Region5Innermongolia,45027,1
VRE,Region6Liaoning_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,14240.3625,9236.111111,50742.67199,system/availability.csv,Region6Liaoning_PV_Central,elec_Region6Liaoning,5421,1
VRE,Region7Jilin_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,13577.0975,9236.111111,50742.67199,system/availability.csv,Region7Jilin_PV_Central,elec_Region7Jilin,3820,1
VRE,Region8Heilongjiang_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,24708.7,9236.111111,50742.67199,system/availability.csv,Region8Heilongjiang_PV_Central,elec_Region8Heilongjiang,4711,1
VRE,Region9Shanghai_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,3980,9236.111111,50742.67199,system/availability.csv,Region9Shanghai_PV_Central,elec_Region9Shanghai,398,1
VRE,Region10Jiangsu_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,159500,9236.111111,50742.67199,system/availability.csv,Region10Jiangsu_PV_Central,elec_Region10Jiangsu,15950,1
VRE,Region11Zhejiang_PV_Central,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,83390,9236.111111,50742.67199,system/availability.csv,Region11Zhejiang_PV_Central,elec_Region11Zhejiang,8339,1
