Type,id,edges--elec_edge--integer_decisions,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--can_retire,edges--elec_edge--can_expand,edges--elec_edge--capacity_size,edges--elec_edge--existing_capacity,transforms--fuel_consumption,transforms--emission_rate,edges--elec_edge--min_down_time,edges--elec_edge--min_up_time,edges--elec_edge--ramp_down_fraction,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--end_vertex,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex
ThermalPower,Region1Beijing_300MW_sub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Coal,TRUE,TRUE,200,0,0.303560969,0.345871711,12,12,0.6,0.6,0.5,elec_Region1Beijing,18154.51148,4.422693955,55677.52873,150.3704823,0.5,coal_Region1Beijing
ThermalPower,Region2Tianjin_300MW_sub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Coal,TRUE,TRUE,200,800,0.313688072,0.343259997,12,12,0.6,0.6,0.5,elec_Region2Tianjin,18154.51148,4.422693955,55677.52873,150.3704823,0.5,coal_Region2Tianjin
ThermalPower,Region3Hebei_300MW_sub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Coal,TRUE,TRUE,200,13000,0.312530551,0.343646664,12,12,0.6,0.6,0.5,elec_Region3Hebei,18154.51148,4.422693955,55677.52873,150.3704823,0.5,coal_Region3Hebei
ThermalPower,Region4Shanxi_300MW_sub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Coal,TRUE,TRUE,200,16075,0.308424297,0.343065597,12,12,0.6,0.6,0.5,elec_Region4Shanxi,18154.51148,4.422693955,55677.52873,150.3704823,0.5,coal_Region4Shanxi
ThermalPower,Region5Innermongolia_300MW_sub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Coal,TRUE,TRUE,200,23170,0.30554033,0.346059997,12,12,0.6,0.6,0.5,elec_Region5Innermongolia,18154.51148,4.422693955,55677.52873,150.3704823,0.5,coal_Region5Innermongolia
ThermalPower,Region6Liaoning_300MW_sub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Coal,TRUE,TRUE,200,0,0.338143854,0.345738459,12,12,0.6,0.6,0.5,elec_Region6Liaoning,18154.51148,4.422693955,55677.52873,150.3704823,0.5,coal_Region6Liaoning
ThermalPower,Region7Jilin_300MW_sub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Coal,TRUE,TRUE,200,34950,0.338422134,0.347440906,12,12,0.6,0.6,0.5,elec_Region7Jilin,18154.51148,4.422693955,55677.52873,150.3704823,0.5,coal_Region7Jilin
ThermalPower,Region8Heilongjiang_300MW_sub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Coal,TRUE,TRUE,200,15400,0.365195362,0.346706664,12,12,0.6,0.6,0.5,elec_Region8Heilongjiang,18154.51148,4.422693955,55677.52873,150.3704823,0.5,coal_Region8Heilongjiang
ThermalPower,Region9Shanghai_300MW_sub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Coal,TRUE,TRUE,200,700,0.374993626,0.344159997,12,12,0.6,0.6,0.5,elec_Region9Shanghai,18154.51148,4.422693955,55677.52873,150.3704823,0.5,coal_Region9Shanghai
ThermalPower,Region10Jiangsu_300MW_sub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Coal,TRUE,TRUE,200,1920,0.367603209,0.343514714,12,12,0.6,0.6,0.5,elec_Region10Jiangsu,18154.51148,4.422693955,55677.52873,150.3704823,0.5,coal_Region10Jiangsu
