Type,id,storage--constraints--MinStorageOutflowConstraint,storage--constraints--LongDurationStorageImplicitMinMaxConstraint,storage--constraints--StorageChargeDischargeRatioConstraint,storage--constraints--BalanceConstraint,storage--can_retire,storage--commodity,storage--can_expand,storage--long_duration,edges--inflow_edge--constraints--MustRunConstraint,edges--inflow_edge--can_retire,edges--inflow_edge--unidirectional,edges--inflow_edge--commodity,edges--inflow_edge--start_vertex,edges--inflow_edge--can_expand,edges--inflow_edge--has_capacity,edges--spill_edge--has_capacity,edges--spill_edge--can_retire,edges--spill_edge--unidirectional,edges--spill_edge--commodity,edges--spill_edge--can_expand,edges--spill_edge--end_vertex,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--RampingLimitConstraint,edges--discharge_edge--can_retire,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--discharge_edge--can_expand,edges--discharge_edge--has_capacity,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--discharge_edge--ramp_up_fraction,edges--discharge_edge--ramp_down_fraction,storage--charge_discharge_ratio,storage--min_outflow_fraction,edges--inflow_edge--efficiency,edges--discharge_edge--efficiency,edges--inflow_edge--availability--timeseries--path,edges--inflow_edge--availability--timeseries--header,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--end_vertex
HydroRes,Region1Beijing_Hydropower,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,TRUE,FALSE,TRUE,Electricity,hydro_source,FALSE,TRUE,FALSE,FALSE,TRUE,Electricity,FALSE,hydro_source,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,200,168,0,0,1,0.2,1,1,system/availability.csv,Region1Beijing_Hydropower,36013.88889,elec_Region1Beijing
HydroRes,Region2Tianjin_Hydropower,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,TRUE,FALSE,TRUE,Electricity,hydro_source,FALSE,TRUE,FALSE,FALSE,TRUE,Electricity,FALSE,hydro_source,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,200,10,0,0,1,0.2,1,1,system/availability.csv,Region2Tianjin_Hydropower,36013.88889,elec_Region2Tianjin
HydroRes,Region3Hebei_Hydropower,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,TRUE,FALSE,TRUE,Electricity,hydro_source,FALSE,TRUE,FALSE,FALSE,TRUE,Electricity,FALSE,hydro_source,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,200,542,0,0,1,0.2,1,1,system/availability.csv,Region3Hebei_Hydropower,36013.88889,elec_Region3Hebei
HydroRes,Region4Shanxi_Hydropower,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,TRUE,FALSE,TRUE,Electricity,hydro_source,FALSE,TRUE,FALSE,FALSE,TRUE,Electricity,FALSE,hydro_source,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,200,1031,0,0,1,0.2,1,1,system/availability.csv,Region4Shanxi_Hydropower,36013.88889,elec_Region4Shanxi
HydroRes,Region5Innermongolia_Hydropower,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,TRUE,FALSE,TRUE,Electricity,hydro_source,FALSE,TRUE,FALSE,FALSE,TRUE,Electricity,FALSE,hydro_source,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,200,1190,0,0,1,0.2,1,1,system/availability.csv,Region5Innermongolia_Hydropower,36013.88889,elec_Region5Innermongolia
HydroRes,Region6Liaoning_Hydropower,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,TRUE,FALSE,TRUE,Electricity,hydro_source,FALSE,TRUE,FALSE,FALSE,TRUE,Electricity,FALSE,hydro_source,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,200,1821,0,0,1,0.2,1,1,system/availability.csv,Region6Liaoning_Hydropower,36013.88889,elec_Region6Liaoning
HydroRes,Region7Jilin_Hydropower,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,TRUE,FALSE,TRUE,Electricity,hydro_source,FALSE,TRUE,FALSE,FALSE,TRUE,Electricity,FALSE,hydro_source,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,200,4840,0,0,1,0.2,1,1,system/availability.csv,Region7Jilin_Hydropower,36013.88889,elec_Region7Jilin
HydroRes,Region8Heilongjiang_Hydropower,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,TRUE,FALSE,TRUE,Electricity,hydro_source,FALSE,TRUE,FALSE,FALSE,TRUE,Electricity,FALSE,hydro_source,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,200,1100,0,0,1,0.2,1,1,system/availability.csv,Region8Heilongjiang_Hydropower,36013.88889,elec_Region8Heilongjiang
HydroRes,Region9Shanghai_Hydropower,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,TRUE,FALSE,TRUE,Electricity,hydro_source,FALSE,TRUE,FALSE,FALSE,TRUE,Electricity,FALSE,hydro_source,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,200,0,0,0,1,0.2,1,1,system/availability.csv,Region9Shanghai_Hydropower,36013.88889,elec_Region9Shanghai
HydroRes,Region10Jiangsu_Hydropower,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,TRUE,FALSE,TRUE,Electricity,hydro_source,FALSE,TRUE,FALSE,FALSE,TRUE,Electricity,FALSE,hydro_source,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,200,50,0,0,1,0.2,1,1,system/availability.csv,Region10Jiangsu_Hydropower,36013.88889,elec_Region10Jiangsu
