Type,id,edges--elec_edge--integer_decisions,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--can_retire,edges--elec_edge--can_expand,edges--elec_edge--capacity_size,edges--elec_edge--existing_capacity,transforms--fuel_consumption,transforms--emission_rate,edges--elec_edge--min_down_time,edges--elec_edge--min_up_time,edges--elec_edge--ramp_down_fraction,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--end_vertex,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex
ThermalPower,Region1Beijing_naturalgas_power,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,NaturalGas,TRUE,TRUE,200,11378.58,1.785714286,0.181,6,6,1,1,0.3,elec_Region1Beijing,15333.33333,6.766944444,24389.3303,0.3,43.06869782,natgas_Region1Beijing
ThermalPower,Region2Tianjin_naturalgas_power,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,NaturalGas,TRUE,TRUE,200,4606.76,1.785714286,0.181,6,6,1,1,0.3,elec_Region2Tianjin,15333.33333,6.766944444,24389.3303,0.3,43.06869782,natgas_Region2Tianjin
ThermalPower,Region3Hebei_naturalgas_power,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,NaturalGas,TRUE,TRUE,200,2538.85,1.785714286,0.181,6,6,1,1,0.3,elec_Region3Hebei,15333.33333,6.766944444,24389.3303,0.3,43.06869782,natgas_Region3Hebei
ThermalPower,Region4Shanxi_naturalgas_power,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,NaturalGas,TRUE,TRUE,200,5548.02,1.785714286,0.181,6,6,1,1,0.3,elec_Region4Shanxi,15333.33333,6.766944444,24389.3303,0.3,43.06869782,natgas_Region4Shanxi
ThermalPower,Region5Innermongolia_naturalgas_power,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,NaturalGas,TRUE,TRUE,200,698.74,1.785714286,0.181,6,6,1,1,0.3,elec_Region5Innermongolia,15333.33333,6.766944444,24389.3303,0.3,43.06869782,natgas_Region5Innermongolia
ThermalPower,Region6Liaoning_naturalgas_power,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,NaturalGas,TRUE,TRUE,200,0,1.785714286,0.181,6,6,1,1,0.3,elec_Region6Liaoning,15333.33333,6.766944444,24389.3303,0.3,43.06869782,natgas_Region6Liaoning
ThermalPower,Region7Jilin_naturalgas_power,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,NaturalGas,TRUE,TRUE,200,0,1.785714286,0.181,6,6,1,1,0.3,elec_Region7Jilin,15333.33333,6.766944444,24389.3303,0.3,43.06869782,natgas_Region7Jilin
ThermalPower,Region8Heilongjiang_naturalgas_power,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,NaturalGas,TRUE,TRUE,200,0,1.785714286,0.181,6,6,1,1,0.3,elec_Region8Heilongjiang,15333.33333,6.766944444,24389.3303,0.3,43.06869782,natgas_Region8Heilongjiang
ThermalPower,Region9Shanghai_naturalgas_power,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,NaturalGas,TRUE,TRUE,200,8064.47,1.785714286,0.181,6,6,1,1,0.3,elec_Region9Shanghai,15333.33333,6.766944444,24389.3303,0.3,43.06869782,natgas_Region9Shanghai
ThermalPower,Region10Jiangsu_naturalgas_power,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,NaturalGas,TRUE,TRUE,200,17770.26,1.785714286,0.181,6,6,1,1,0.3,elec_Region10Jiangsu,15333.33333,6.766944444,24389.3303,0.3,43.06869782,natgas_Region10Jiangsu
