Type,id,edges--elec_edge--integer_decisions,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--can_retire,edges--elec_edge--can_expand,transforms--fuel_consumption,edges--elec_edge--capacity_size,edges--elec_edge--existing_capacity,edges--elec_edge--min_down_time,edges--elec_edge--min_up_time,edges--elec_edge--ramp_down_fraction,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--end_vertex,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption
ThermalPower,Region1Beijing_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region1Beijing,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region2Tianjin_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region2Tianjin,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region3Hebei_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region3Hebei,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region4Shanxi_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region4Shanxi,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region5Innermongolia_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region5Innermongolia,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region6Liaoning_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,4475.16,24,24,0,0,0.5,elec_Region6Liaoning,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region7Jilin_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region7Jilin,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region8Heilongjiang_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region8Heilongjiang,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region9Shanghai_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region9Shanghai,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region10Jiangsu_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,5490,24,24,0,0,0.5,elec_Region10Jiangsu,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region11Zhejiang_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,9086,24,24,0,0,0.5,elec_Region11Zhejiang,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region12Anhui_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region12Anhui,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region13Fujian_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,8773,24,24,0,0,0.5,elec_Region13Fujian,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region14Jiangxi_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region14Jiangxi,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region15Shandong_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,2506,24,24,0,0,0.5,elec_Region15Shandong,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region16Henan_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region16Henan,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region17Hubei_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region17Hubei,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region18Hunan_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region18Hunan,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region19Guangdong_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,16136,24,24,0,0,0.5,elec_Region19Guangdong,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region20Guangxi_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,2172,24,24,0,0,0.5,elec_Region20Guangxi,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region21Hainan_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,1300,24,24,0,0,0.5,elec_Region21Hainan,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region22Chongqing_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region22Chongqing,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region23Sichuan_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region23Sichuan,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region24Guizhou_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region24Guizhou,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region25Yunnan_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region25Yunnan,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region26Tibet_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region26Tibet,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region27Shaanxi_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region27Shaanxi,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region28Gansu_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region28Gansu,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region29Qinghai_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region29Qinghai,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region30Ningxia_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region30Ningxia,77273.7983,0.664444444,197965.308,3055.555556,0
ThermalPower,Region31Xinjiang_nuclear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,Uranium,uranium_source,FALSE,co2_sink,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,FALSE,0,200,0,24,24,0,0,0.5,elec_Region31Xinjiang,77273.7983,0.664444444,197965.308,3055.555556,0
