Type,id,edges--elec_edge--integer_decisions,edges--elec_edge--can_retire,edges--elec_edge--constraints--MaxCapacityConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--has_capacity,edges--elec_edge--max_capacity,edges--elec_edge--loss_fraction,edges--elec_edge--existing_capacity,edges--elec_edge--investment_cost,edges--elec_edge--start_vertex,edges--elec_edge--distance,edges--elec_edge--end_vertex
PowerLine,Region4Shanxi_to_Region16Henan,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,5000,0.015,5000,9818.906776,elec_Region4Shanxi,362,elec_Region16Henan
PowerLine,Region16Henan_to_Region17Hubei,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,5000,0.015,5000,8758.914335,elec_Region16Henan,283,elec_Region17Hubei
PowerLine,Region12Anhui_to_Region11Zhejiang,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,11824.84184,elec_Region12Anhui,511.5,elec_Region11Zhejiang
PowerLine,Region11Zhejiang_to_Region9Shanghai,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,6806.649775,elec_Region11Zhejiang,137.5,elec_Region9Shanghai
PowerLine,Region12Anhui_to_Region10Jiangsu,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,11000,0.02,11000,10156.78699,elec_Region12Anhui,425.9,elec_Region10Jiangsu
PowerLine,Region10Jiangsu_to_Region9Shanghai,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,11000,0.02,11000,9267.564333,elec_Region10Jiangsu,353,elec_Region9Shanghai
PowerLine,Region11Zhejiang_to_Region13Fujian,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10500,0.02,10500,12667.27706,elec_Region11Zhejiang,603,elec_Region13Fujian
PowerLine,Region5Innermongolia_to_Region3Hebei,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,11952.30928,elec_Region5Innermongolia,521,elec_Region3Hebei
PowerLine,Region3Hebei_to_Region2Tianjin,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,7215.887363,elec_Region3Hebei,168,elec_Region2Tianjin
PowerLine,Region2Tianjin_to_Region15Shandong,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,8691.826206,elec_Region2Tianjin,278,elec_Region15Shandong
PowerLine,Region5Innermongolia_to_Region4Shanxi,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,7430.569377,elec_Region5Innermongolia,184,elec_Region4Shanxi
PowerLine,Region4Shanxi_to_Region3Hebei,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,8329.550308,elec_Region4Shanxi,251,elec_Region3Hebei
PowerLine,Region3Hebei_to_Region2Tianjin,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,7269.557867,elec_Region3Hebei,172,elec_Region2Tianjin
PowerLine,Region27Shaanxi_to_Region4Shanxi,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,8651.573328,elec_Region27Shaanxi,275,elec_Region4Shanxi
PowerLine,Region4Shanxi_to_Region3Hebei,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,8423.473689,elec_Region4Shanxi,258,elec_Region3Hebei
PowerLine,Region3Hebei_to_Region15Shandong,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,11887.90468,elec_Region3Hebei,516.2,elec_Region15Shandong
PowerLine,Region3Hebei_to_Region1Beijing,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,8020.944914,elec_Region3Hebei,228,elec_Region1Beijing
PowerLine,Region3Hebei_to_Region1Beijing,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,9188.278362,elec_Region3Hebei,315,elec_Region1Beijing
PowerLine,Region15Shandong_to_Region3Hebei,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,16012.48286,elec_Region15Shandong,823.6,elec_Region3Hebei
PowerLine,Region5Innermongolia_to_Region4Shanxi,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,10000,0.02,10000,9094.354981,elec_Region5Innermongolia,308,elec_Region4Shanxi
PowerLine,Region24Guizhou_to_Region20Guangxi,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,4800,0.02,4800,18466.7064,elec_Region24Guizhou,900,elec_Region20Guangxi
PowerLine,Region20Guangxi_to_Region19Guangdong,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,4800,0.02,4800,18466.7064,elec_Region20Guangxi,900,elec_Region19Guangdong
PowerLine,Region24Guizhou_to_Region20Guangxi,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,2400,0.02,2400,22116.17639,elec_Region24Guizhou,1100,elec_Region20Guangxi
PowerLine,Region25Yunnan_to_Region20Guangxi,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,2400,0.02,2400,8248.190422,elec_Region25Yunnan,340,elec_Region20Guangxi
PowerLine,Region19Guangdong_to_Region21Hainan,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,1200,0.02,1200,10554.65546,elec_Region19Guangdong,233.2,elec_Region21Hainan
PowerLine,Region5Innermongolia_to_Region3Hebei,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,4000,0.02,4000,12029.04133,elec_Region5Innermongolia,456,elec_Region3Hebei
PowerLine,Region3Hebei_to_Region16Henan,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,1000,0.02,1000,3554.972013,elec_Region3Hebei,69,elec_Region16Henan
PowerLine,Region4Shanxi_to_Region10Jiangsu,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,2000,0.03,2000,13167.67597,elec_Region4Shanxi,508,elec_Region10Jiangsu
PowerLine,Region27Shaanxi_to_Region3Hebei,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,2000,0.025,2000,11656.79539,elec_Region27Shaanxi,439,elec_Region3Hebei
PowerLine,Region27Shaanxi_to_Region3Hebei,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,2000,0.025,2000,11656.79539,elec_Region27Shaanxi,439,elec_Region3Hebei
PowerLine,Region24Guizhou_to_Region18Hunan,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,1500,0.02,1500,7660.392808,elec_Region24Guizhou,70,elec_Region18Hunan
PowerLine,Region24Guizhou_to_Region18Hunan,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,1000,0.02,1000,7660.392808,elec_Region24Guizhou,70,elec_Region18Hunan
PowerLine,Region23Sichuan_to_Region26Tibet,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,600,0.02,600,38867.24365,elec_Region23Sichuan,1009,elec_Region26Tibet
PowerLine,Region27Shaanxi_to_Region28Gansu,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,5000,0.0083,5000,10317.12931,elec_Region27Shaanxi,400,elec_Region28Gansu
PowerLine,Region27Shaanxi_to_Region28Gansu,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,5000,0.0083,5000,7985.816824,elec_Region27Shaanxi,220,elec_Region28Gansu
PowerLine,Region28Gansu_to_Region30Ningxia,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,5000,0.0083,5000,8672.258835,elec_Region28Gansu,273,elec_Region30Ningxia
PowerLine,Region28Gansu_to_Region30Ningxia,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,5000,0.0083,5000,5938.147354,elec_Region28Gansu,61.9,elec_Region30Ningxia
PowerLine,Region28Gansu_to_Region29Qinghai,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,5000,0.0083,5000,8555.69321,elec_Region28Gansu,264,elec_Region29Qinghai
PowerLine,Region28Gansu_to_Region29Qinghai,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,5000,0.0083,5000,8307.019878,elec_Region28Gansu,244.8,elec_Region29Qinghai
PowerLine,Region28Gansu_to_Region29Qinghai,FALSE,FALSE,TRUE,TRUE,FALSE,Electricity,FALSE,TRUE,5000,0.0083,5000,10305.73179,elec_Region28Gansu,399.12,elec_Region29Qinghai
