Type,id,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--can_retire,storage--commodity,storage--can_expand,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--can_retire,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--discharge_edge--can_expand,edges--discharge_edge--has_capacity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,edges--charge_edge--has_capacity,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--discharge_edge--variable_om_cost,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--investment_cost,edges--discharge_edge--efficiency,edges--charge_edge--start_vertex,edges--charge_edge--efficiency,edges--charge_edge--variable_om_cost,storage--existing_capacity,storage--fixed_om_cost,storage--investment_cost,storage--min_duration,storage--max_duration,edges--discharge_edge--end_vertex,edges--discharge_edge--min_flow_fraction
Battery,Region1Beijing_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,178.96,50,7223.958333,33758.87059,0.92,elec_Region1Beijing,0.92,100,89.48,14447.91667,67517.74118,1,2,elec_Region1Beijing,
Battery,Region2Tianjin_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,43.72,50,7223.958333,33758.87059,0.92,elec_Region2Tianjin,0.92,100,21.86,14447.91667,67517.74118,1,2,elec_Region2Tianjin,
Battery,Region3Hebei_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,104.96,50,7223.958333,33758.87059,0.92,elec_Region3Hebei,0.92,100,52.48,14447.91667,67517.74118,1,2,elec_Region3Hebei,
Battery,Region4Shanxi_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,656.72,50,7223.958333,33758.87059,0.92,elec_Region4Shanxi,0.92,100,328.36,14447.91667,67517.74118,1,2,elec_Region4Shanxi,
Battery,Region5Innermongolia_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,43.72,50,7223.958333,33758.87059,0.92,elec_Region5Innermongolia,0.92,100,21.86,14447.91667,67517.74118,1,2,elec_Region5Innermongolia,
Battery,Region6Liaoning_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region6Liaoning,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region6Liaoning,
Battery,Region7Jilin_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region7Jilin,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region7Jilin,
Battery,Region8Heilongjiang_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region8Heilongjiang,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region8Heilongjiang,
Battery,Region9Shanghai_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,71.04,50,7223.958333,33758.87059,0.92,elec_Region9Shanghai,0.92,100,35.52,14447.91667,67517.74118,1,2,elec_Region9Shanghai,
Battery,Region10Jiangsu_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,1094.68,50,7223.958333,33758.87059,0.92,elec_Region10Jiangsu,0.92,100,547.34,14447.91667,67517.74118,1,2,elec_Region10Jiangsu,
