Time_Index,Demand_MW_Region12Anhui,Demand_MW_Region1Beijing,Demand_MW_Region22Chongqing,Demand_MW_Region13Fujian,Demand_MW_Region28Gansu,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region24Guizhou,Demand_MW_Region21Hainan,Demand_MW_Region3Hebei,Demand_MW_Region8Heilongjiang,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region5Innermongolia,Demand_MW_Region10Jiangsu,Demand_MW_Region14Jiangxi,Demand_MW_Region7Jilin,Demand_MW_Region6Liaoning,Demand_MW_Region30Ningxia,Demand_MW_Region29Qinghai,Demand_MW_Region27Shaanxi,Demand_MW_Region15Shandong,Demand_MW_Region9Shanghai,Demand_MW_Region4Shanxi,Demand_MW_Region23Sichuan,Demand_MW_Region2Tianjin,Demand_MW_Region26Tibet,Demand_MW_Region31Xinjiang,Demand_MW_Region25Yunnan,Demand_MW_Region11Zhejiang,Demand_H2_Region1Beijing,Demand_H2_Region2Tianjin,Demand_H2_Region3Hebei,Demand_H2_Region4Shanxi,Demand_H2_Region5Innermongolia,Demand_H2_Region6Liaoning,Demand_H2_Region7Jilin,Demand_H2_Region8Heilongjiang,Demand_H2_Region9Shanghai,Demand_H2_Region10Jiangsu,Demand_H2_Region11Zhejiang,Demand_H2_Region12Anhui,Demand_H2_Region13Fujian,Demand_H2_Region14Jiangxi,Demand_H2_Region15Shandong,Demand_H2_Region16Henan,Demand_H2_Region17Hubei,Demand_H2_Region18Hunan,Demand_H2_Region19Guangdong,Demand_H2_Region20Guangxi,Demand_H2_Region21Hainan,Demand_H2_Region22Chongqing,Demand_H2_Region23Sichuan,Demand_H2_Region24Guizhou,Demand_H2_Region25Yunnan,Demand_H2_Region26Tibet,Demand_H2_Region27Shaanxi,Demand_H2_Region28Gansu,Demand_H2_Region29Qinghai,Demand_H2_Region30Ningxia,Demand_H2_Region31Xinjiang,Demand_Zero
1,29176.14882,14598.38648,19594.93117,29566.987,23067.80591,68601.82189,25539.31852,21946.77887,4975.268071,83879.08343,15631.32466,67015.73166,40593.82794,39206.7141,46730.7953,87515.10981,18033.96404,14674.3023,48325.29151,16013.014,11175.89492,28947.01406,86266.28631,27398.7902,43094.08379,40874.26174,15109.13549,928.1167609,27446.10718,24349.88799,57529.92276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,29003.03066,14521.35013,19436.96832,29452.65426,23020.39091,68232.13945,25381.61602,21834.91739,4939.65181,83427.92955,15605.08363,66732.49981,40428.33005,38825.87767,46668.82327,87222.24215,17958.78007,14639.9651,48179.65319,15989.12686,11168.60359,28753.31919,85955.58892,27251.2112,43000.032,40587.68069,15078.61961,922.2347298,27385.28549,24261.40917,57224.56552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,28829.91249,14444.31377,19279.00547,29338.32152,22972.97591,67862.45701,25223.91352,21723.05592,4904.035549,82976.77568,15578.8426,66449.26796,40262.83216,38445.04124,46606.85125,86929.37448,17883.59609,14605.62789,48034.01488,15965.23972,11161.31226,28559.62432,85644.89152,27103.6322,42905.98021,40301.09964,15048.10374,916.3526986,27324.46379,24172.93034,56919.20827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,28656.79433,14367.27742,19121.04262,29223.98878,22925.5609,67492.77457,25066.21102,21611.19444,4868.419288,82525.6218,15552.60157,66166.03611,40097.33427,38064.20481,46544.87922,86636.50682,17808.41212,14571.29069,47888.37656,15941.35258,11154.02093,28365.92945,85334.19413,26956.05321,42811.92842,40014.51859,15017.58786,910.4706675,27263.6421,24084.45152,56613.85103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,28483.67616,14290.24106,18963.07977,29109.65604,22878.1459,67123.09213,24908.50852,21499.33297,4832.803028,82074.46793,15526.36054,65882.80427,39931.83638,37683.36838,46482.90719,86343.63915,17733.22815,14536.95348,47742.73824,15917.46544,11146.72959,28172.23458,85023.49674,26808.47421,42717.87663,39727.93754,14987.07199,904.5886363,27202.82041,23995.9727,56308.49378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,28310.558,14213.20471,18805.11692,28995.3233,22830.7309,66753.40969,24750.80602,21387.47149,4797.186767,81623.31405,15500.11951,65599.57242,39766.33848,37302.53196,46420.93516,86050.77149,17658.04418,14502.61628,47597.09992,15893.5783,11139.43826,27978.53971,84712.79934,26660.89521,42623.82484,39441.35649,14956.55611,898.7066052,27141.99872,23907.49388,56003.13654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,28137.43983,14136.16836,18647.15407,28880.99057,22783.3159,66383.72726,24593.10352,21275.61002,4761.570506,81172.16017,15473.87849,65316.34057,39600.84059,36921.69553,46358.96314,85757.90382,17582.8602,14468.27907,47451.46161,15869.69116,11132.14693,27784.84485,84402.10195,26513.31621,42529.77304,39154.77544,14926.04024,892.824574,27081.17702,23819.01505,55697.7793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,27964.32167,14059.132,18489.19121,28766.65783,22735.90089,66014.04482,24435.40102,21163.74855,4725.954245,80721.0063,15447.63746,65033.10872,39435.3427,36540.8591,46296.99111,85465.03616,17507.67623,14433.94187,47305.82329,15845.80402,11124.8556,27591.14998,84091.40455,26365.73721,42435.72125,38868.19438,14895.52436,886.9425429,27020.35533,23730.53623,55392.42205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,27791.20351,13982.09565,18331.22836,28652.32509,22688.48589,65644.36238,24277.69852,21051.88707,4690.337984,80269.85242,15421.39643,64749.87687,39269.84481,36160.02267,46235.01908,85172.16849,17432.49226,14399.60467,47160.18497,15821.91688,11117.56427,27397.45511,83780.70716,26218.15822,42341.66946,38581.61333,14865.00849,881.0605117,26959.53364,23642.05741,55087.06481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,27618.08534,13905.05929,18173.26551,28537.99235,22641.07089,65274.67994,24119.99602,20940.0256,4654.721723,79818.69854,15395.1554,64466.64502,39104.34692,35779.18624,46173.04705,84879.30083,17357.30828,14365.26746,47014.54665,15798.02974,11110.27294,27203.76024,83470.00977,26070.57922,42247.61767,38295.03228,14834.49261,875.1784806,26898.71194,23553.57858,54781.70756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
