elec_demand_MA,elec_demand_CT,elec_demand_ME,H2_demand_MA
10497.32658,2998.089961,1430.845789,1000
9927.662743,2834.946796,1353.285924,1000
9503.757963,2713.258042,1295.784644,1000
9289.799714,2653.082285,1266.365385,1000
9256.368738,2643.721611,1262.353668,1000
9420.849142,2690.524978,1283.749493,1000
9771.205774,2790.817907,1331.890099,1000
10088.13143,2880.412924,1376.018987,1000
10625.70153,3034.195415,1448.229896,1000
11152.57372,3185.303429,1520.440805,1000
11470.83661,3274.898445,1563.232455,1000
11588.51365,3308.329422,1579.279324,1000
11643.34045,3325.713529,1587.302758,1000
11540.37304,3294.957031,1572.593129,1000
11425.37048,3262.863294,1557.883499,1000
11492.23244,3281.584641,1565.906933,1000
12611.50153,3601.184775,1719.689425,1000
13673.26934,3904.73804,1864.111242,1000
13593.03499,3882.004976,1853.41333,1000
13177.15365,3764.327939,1795.912051,1000
12690.39863,3623.917839,1730.387337,1000
12011.08119,3430.018176,1638.117842,1000
11169.95783,3189.315146,1523.115283,1000
10227.20429,2920.530096,1393.403095,1000
9428.872576,2691.862217,1285.086732,1000
8944.792038,2554.126595,1219.562018,1000
8712.112442,2488.601881,1187.468281,1000
8659.960119,2472.555012,1180.782085,1000
8849.848065,2527.381814,1206.189627,1000
9333.928603,2665.117436,1271.714341,1000
10060.04941,2872.38949,1370.670031,1000
10655.12079,3042.21885,1452.241614,1000
11383.91607,3250.828142,1552.534543,1000
12131.43271,3464.786391,1652.827472,1000
12679.70072,3621.243361,1727.712859,1000
12904.35688,3684.093596,1759.806596,1000
12884.29829,3678.74464,1755.794879,1000
12800.05223,3656.011576,1745.096967,1000
12759.93506,3643.976424,1739.74801,1000
12953.83472,3698.803226,1766.492791,1000
14169.38503,4046.48538,1930.973195,1000
15398.30772,4398.179251,2099.465316,1000
15263.24657,4359.399319,2080.743969,1000
14894.16859,4253.757434,2031.266124,1000
14292.41102,4081.253595,1948.357303,1000
13344.30853,3811.131306,1818.645115,1000
12168.8754,3475.484304,1659.513667,1000
