Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--nh3_production,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--nh3_edge--commodity,edges--nh3_edge--unidirectional,edges--nh3_edge--has_capacity,edges--nh3_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSAmmonia,BR_N_BECCS_Ammonia_small,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_N,60.83,58787070,2351612.53,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_N_BECCS_Ammonia_mid,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_N,243.33,37050630,1482046.87,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_N_BECCS_Ammonia_large,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_N,425.83,30751390,1230064.03,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_NE_BECCS_Ammonia_small,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_NE,60.83,58787070,2351612.53,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_NE_BECCS_Ammonia_mid,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_NE,243.33,37050630,1482046.87,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_NE_BECCS_Ammonia_large,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_NE,425.83,30751390,1230064.03,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_CW_BECCS_Ammonia_small,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_CW,60.83,58787070,2351612.53,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_CW_BECCS_Ammonia_mid,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_CW,243.33,37050630,1482046.87,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_CW_BECCS_Ammonia_large,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_CW,425.83,30751390,1230064.03,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_SE_BECCS_Ammonia_small,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_SE,60.83,58787070,2351612.53,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_SE_BECCS_Ammonia_mid,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_SE,243.33,37050630,1482046.87,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_SE_BECCS_Ammonia_large,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_SE,425.83,30751390,1230064.03,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSAmmonia,BR_S_BECCS_Ammonia_small,Biomass,TRUE,2.26,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_S,60.83,58787070,2351612.53,209.92,0,system/availability.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
