Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--transformation_rate,transforms--electricity_consumption,transforms--electricity_production,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--origin_edge--commodity,edges--origin_edge--has_capacity,edges--origin_edge--can_expand,edges--origin_edge--start_vertex,edges--origin_edge--investment_cost,edges--origin_edge--fixed_om_cost,edges--origin_edge--variable_om_cost,edges--general_edge--commodity,edges--general_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
BiomassTransformation,BR_N_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0.0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_N,0,0,0,Residue,residue_BR_N,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_NE_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0.0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_NE,0,0,0,Residue,residue_BR_NE,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_CW_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0.0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_CW,0,0,0,Residue,residue_BR_CW,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_SE_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0.0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_SE,0,0,0,Residue,residue_BR_SE,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_S_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0.0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_S,0,0,0,Residue,residue_BR_SE,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_N_cornstover_trans,Biomass,TRUE,1,0,0,0,0.0,0,Corn,TRUE,TRUE,corn_stover_processed_BR_N,0,0,0,Residue,residue_BR_N,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_NE_cornstover_trans,Biomass,TRUE,1,0,0,0,0.0,0,Corn,TRUE,TRUE,corn_stover_processed_BR_NE,0,0,0,Residue,residue_BR_NE,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_CW_cornstover_trans,Biomass,TRUE,1,0,0,0,0.0,0,Corn,TRUE,TRUE,corn_stover_processed_BR_CW,0,0,0,Residue,residue_BR_CW,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_SE_cornstover_trans,Biomass,TRUE,1,0,0,0,0.0,0,Corn,TRUE,TRUE,corn_stover_processed_BR_SE,0,0,0,Residue,residue_BR_SE,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_S_cornstover_trans,Biomass,TRUE,1,0,0,0,0.0,0,Corn,TRUE,TRUE,corn_stover_processed_BR_S,0,0,0,Residue,residue_BR_S,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
