Time_Index,Demand_Zero ,Demand_Electricity,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal 
1,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
2,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
3,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
4,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
5,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
6,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
7,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
8,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
9,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
10,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
11,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
12,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
13,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
14,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
15,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
16,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
17,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
18,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
19,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
20,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
21,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
22,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
23,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
24,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
25,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
26,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
27,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
28,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
29,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
30,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
31,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
32,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
33,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
34,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
35,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
36,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
37,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
38,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
39,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
40,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
41,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
42,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
43,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
44,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
45,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
46,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
47,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
48,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
49,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
50,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
51,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
52,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
53,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
54,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
55,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
56,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
57,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
58,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
59,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
60,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
61,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
62,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
63,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
64,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
65,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
66,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
67,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
68,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
69,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
70,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
71,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
72,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
73,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
74,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
75,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
76,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
77,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
78,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
79,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
80,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
81,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
82,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
83,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
84,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
85,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
86,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
87,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
88,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
89,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
90,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
91,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
