Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--ch4_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--ch4_edge--commodity,edges--ch4_edge--unidirectional,edges--ch4_edge--has_capacity,edges--ch4_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSBiomethane,BR_AC_CowManure_Digester,Biomass,TRUE,2.36,,1.464601,1.717,0.252399,CowManure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,cowmanure_BR_AC,0.4,2471670,98866.33,0.28,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_AL_CowManure_Digester,Biomass,TRUE,2.36,,1.464601,1.717,0.252399,CowManure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,cowmanure_BR_AL,0.4,2471670,98866.33,0.28,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_AP_CowManure_Digester,Biomass,TRUE,2.36,,1.464601,1.717,0.252399,CowManure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,cowmanure_BR_AP,0.4,2471670,98866.33,0.28,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_AM_CowManure_Digester,Biomass,TRUE,2.36,,1.464601,1.717,0.252399,CowManure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,cowmanure_BR_AM,0.4,2471670,98866.33,0.28,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_BA_CowManure_Digester,Biomass,TRUE,2.36,,1.464601,1.717,0.252399,CowManure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,cowmanure_BR_BA,0.4,2471670,98866.33,0.28,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_CE_CowManure_Digester,Biomass,TRUE,2.36,,1.464601,1.717,0.252399,CowManure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,cowmanure_BR_CE,0.4,2471670,98866.33,0.28,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_DF_CowManure_Digester,Biomass,TRUE,2.36,,1.464601,1.717,0.252399,CowManure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,cowmanure_BR_DF,0.4,2471670,98866.33,0.28,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_ES_CowManure_Digester,Biomass,TRUE,2.36,,1.464601,1.717,0.252399,CowManure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,cowmanure_BR_ES,0.4,2471670,98866.33,0.28,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_GO_CowManure_Digester,Biomass,TRUE,2.36,,1.464601,1.717,0.252399,CowManure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,cowmanure_BR_GO,0.4,2471670,98866.33,0.28,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_MA_CowManure_Digester,Biomass,TRUE,2.36,,1.464601,1.717,0.252399,CowManure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,cowmanure_BR_MA,0.4,2471670,98866.33,0.28,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
