Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--transformation_rate,transforms--electricity_consumption,transforms--electricity_production,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--origin_edge--commodity,edges--origin_edge--has_capacity,edges--origin_edge--can_expand,edges--origin_edge--start_vertex,edges--origin_edge--investment_cost,edges--origin_edge--fixed_om_cost,edges--origin_edge--variable_om_cost,edges--general_edge--commodity,edges--general_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
BiomassTransformation,BR_AC_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_AC,0,0,0,Residue,residue_BR_AC,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_AL_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_AL,0,0,0,Residue,residue_BR_AL,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_AP_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_AP,0,0,0,Residue,residue_BR_AP,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_AM_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_AM,0,0,0,Residue,residue_BR_AM,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_BA_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_BA,0,0,0,Residue,residue_BR_BA,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_CE_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_CE,0,0,0,Residue,residue_BR_CE,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_DF_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_DF,0,0,0,Residue,residue_BR_DF,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_ES_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_ES,0,0,0,Residue,residue_BR_ES,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_GO_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_GO,0,0,0,Residue,residue_BR_GO,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_MA_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_MA,0,0,0,Residue,residue_BR_MA,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_MT_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_MT,0,0,0,Residue,residue_BR_MT,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_MS_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_MS,0,0,0,Residue,residue_BR_MS,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_MG_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_MG,0,0,0,Residue,residue_BR_MG,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_PA_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_PA,0,0,0,Residue,residue_BR_PA,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_PB_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_PB,0,0,0,Residue,residue_BR_PB,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_PR_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_PR,0,0,0,Residue,residue_BR_PR,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_PE_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_PE,0,0,0,Residue,residue_BR_PE,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_PI_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_PI,0,0,0,Residue,residue_BR_PI,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_RJ_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_RJ,0,0,0,Residue,residue_BR_RJ,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_RN_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_RN,0,0,0,Residue,residue_BR_RN,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_RS_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_RS,0,0,0,Residue,residue_BR_RS,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
BiomassTransformation,BR_RO_coffeehusk_trans,Biomass,TRUE,1,0,0,0,0,0,CoffeeHusk,TRUE,TRUE,coffeehusk_BR_RO,0,0,0,Residue,residue_BR_RO,Electricity,elec_BR,Electricity,elec_BR,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_BR
