Type,id,commodity,storage--commodity,storage--can_expand,storage--can_retire,storage--long_duration,storage--constraints--MinStorageOutflowConstraint,storage--constraints--StorageChargeDischargeRatioConstraint,storage--constraints--BalanceConstraint,storage--constraints--LongDurationStorageImplicitMinMaxConstraint,storage--min_outflow_fraction,storage--charge_discharge_ratio,edges--discharge_edge--commodity,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--RampingLimitConstraint,edges--discharge_edge--end_vertex,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--ramp_down_fraction,edges--discharge_edge--ramp_up_fraction,edges--discharge_edge--efficiency,edges--discharge_edge--availability--timeseries--path,edges--discharge_edge--availability--timeseries--header,edges--inflow_edge--commodity,edges--inflow_edge--unidirectional,edges--inflow_edge--has_capacity,edges--inflow_edge--can_expand,edges--inflow_edge--can_retire,edges--inflow_edge--constraints--MustRunConstraint,edges--inflow_edge--start_vertex,edges--inflow_edge--efficiency,edges--inflow_edge--availability--timeseries--path,edges--inflow_edge--availability--timeseries--header,edges--spill_edge--commodity,edges--spill_edge--unidirectional,edges--spill_edge--can_expand,edges--spill_edge--can_retire,edges--spill_edge--has_capacity,edges--spill_edge--end_vertex,edges--residue_edge--commodity,edges--residue_edge--unidirectional,edges--residue_edge--has_capacity,edges--residue_edge--can_expand,edges--residue_edge--can_retire,edges--residue_edge--constraints--CapacityConstraint,edges--residue_edge--constraints--StorageDischargeLimitConstraint,edges--residue_edge--constraints--ResidueDischargeCapacitySyncConstraint,edges--residue_edge--end_vertex,edges--residue_edge--capacity_size,edges--residue_edge--existing_capacity,edges--residue_edge--investment_cost,edges--residue_edge--fixed_om_cost,edges--residue_edge--variable_om_cost,edges--residue_edge--efficiency,edges--residue_edge--availability--timeseries--path,edges--residue_edge--availability--timeseries--header
BiomassHarvest,BR_AC_soybean_harvest,Soybean,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_harvested_BR_AC,1,0,1,0.85,0.85,1,system/availability.csv,Availability_disch_soybean_N,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_BR_AC,1,system/availability.csv,Availability_ch,Soybean,TRUE,FALSE,FALSE,FALSE,soybean_wasted_BR,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_residue_processed_BR_AC,1,0,0,0,0,1,system/availability.csv,Availability_residue_soybean_N
BiomassHarvest,BR_AL_soybean_harvest,Soybean,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_harvested_BR_AL,1,0,1,0.85,0.85,1,system/availability.csv,Availability_disch_soybean_N,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_BR_AL,1,system/availability.csv,Availability_ch,Soybean,TRUE,FALSE,FALSE,FALSE,soybean_wasted_BR,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_residue_processed_BR_AL,1,0,0,0,0,1,system/availability.csv,Availability_residue_soybean_NE
BiomassHarvest,BR_AP_soybean_harvest,Soybean,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_harvested_BR_AP,1,0,1,0.85,0.85,1,system/availability.csv,Availability_disch_soybean_N,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_BR_AP,1,system/availability.csv,Availability_ch,Soybean,TRUE,FALSE,FALSE,FALSE,soybean_wasted_BR,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_residue_processed_BR_AP,1,0,0,0,0,1,system/availability.csv,Availability_residue_soybean_N
BiomassHarvest,BR_AM_soybean_harvest,Soybean,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_harvested_BR_AM,1,0,1,0.85,0.85,1,system/availability.csv,Availability_disch_soybean_N,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_BR_AM,1,system/availability.csv,Availability_ch,Soybean,TRUE,FALSE,FALSE,FALSE,soybean_wasted_BR,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_residue_processed_BR_AM,1,0,0,0,0,1,system/availability.csv,Availability_residue_soybean_N
BiomassHarvest,BR_BA_soybean_harvest,Soybean,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_harvested_BR_BA,1,0,1,0.85,0.85,1,system/availability.csv,Availability_disch_soybean_N,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_BR_BA,1,system/availability.csv,Availability_ch,Soybean,TRUE,FALSE,FALSE,FALSE,soybean_wasted_BR,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_residue_processed_BR_BA,1,0,0,0,0,1,system/availability.csv,Availability_residue_soybean_NE
BiomassHarvest,BR_CE_soybean_harvest,Soybean,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_harvested_BR_CE,1,0,1,0.85,0.85,1,system/availability.csv,Availability_disch_soybean_N,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_BR_CE,1,system/availability.csv,Availability_ch,Soybean,TRUE,FALSE,FALSE,FALSE,soybean_wasted_BR,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_residue_processed_BR_CE,1,0,0,0,0,1,system/availability.csv,Availability_residue_soybean_NE
BiomassHarvest,BR_DF_soybean_harvest,Soybean,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_harvested_BR_DF,1,0,1,0.85,0.85,1,system/availability.csv,Availability_disch_soybean_N,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_BR_DF,1,system/availability.csv,Availability_ch,Soybean,TRUE,FALSE,FALSE,FALSE,soybean_wasted_BR,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_residue_processed_BR_DF,1,0,0,0,0,1,system/availability.csv,Availability_residue_soybean_CW
BiomassHarvest,BR_ES_soybean_harvest,Soybean,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_harvested_BR_ES,1,0,1,0.85,0.85,1,system/availability.csv,Availability_disch_soybean_N,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_BR_ES,1,system/availability.csv,Availability_ch,Soybean,TRUE,FALSE,FALSE,FALSE,soybean_wasted_BR,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_residue_processed_BR_ES,1,0,0,0,0,1,system/availability.csv,Availability_residue_soybean_SE
BiomassHarvest,BR_GO_soybean_harvest,Soybean,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_harvested_BR_GO,1,0,1,0.85,0.85,1,system/availability.csv,Availability_disch_soybean_N,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_BR_GO,1,system/availability.csv,Availability_ch,Soybean,TRUE,FALSE,FALSE,FALSE,soybean_wasted_BR,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_residue_processed_BR_GO,1,0,0,0,0,1,system/availability.csv,Availability_residue_soybean_CW
BiomassHarvest,BR_MA_soybean_harvest,Soybean,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_harvested_BR_MA,1,0,1,0.85,0.85,1,system/availability.csv,Availability_disch_soybean_N,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_BR_MA,1,system/availability.csv,Availability_ch,Soybean,TRUE,FALSE,FALSE,FALSE,soybean_wasted_BR,Soybean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,soybean_residue_processed_BR_MA,1,0,0,0,0,1,system/availability.csv,Availability_residue_soybean_NE
