Type,id,co2_sink,transforms--emission_rate,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--fuel_demand_edge--commodity,edges--fuel_demand_edge--unidirectional,edges--fuel_demand_edge--has_capacity,edges--fuel_demand_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex
FuelsEndUse,BR_AC_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_AC,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_AL_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_AL,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_AP_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_AP,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_AM_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_AM,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_BA_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_BA,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_CE_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_CE,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_DF_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_DF,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_ES_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_ES,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_GO_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_GO,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_MA_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_MA,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_MT_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_MT,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_MS_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_MS,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_MG_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_MG,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_PA_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_PA,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_PB_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_PB,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_PR_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_PR,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_PE_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_PE,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_PI_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_PI,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_RJ_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_RJ,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_RN_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_RN,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_RS_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_RS,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_RO_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_RO,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_RR_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_RR,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_SC_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_SC,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_SP_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_SP,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_SE_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_SE,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_TO_Bagasse_notused,co2_sink,0,Bagasse,TRUE,FALSE,bagasse_BR_TO,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_AC_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_AC,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_AL_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_AL,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_AP_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_AP,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_AM_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_AM,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_BA_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_BA,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
