Time_Index,NE_utilitypv_class1_moderate_70_0_2_6,NE_landbasedwind_class4_moderate_70_7,Availability_One
1,0,0.596095068,1
2,0,0.608124891,1
3,0,0.601659611,1
4,0,0.582438362,1
5,0,0.557826682,1
6,0,0.532483579,1
7,0.003429793,0.520139707,1
8,0.18769735,0.51293597,1
9,0.499359605,0.500228188,1
10,0.527880596,0.488067179,1
11,0.469437276,0.292643135,1
12,0.45233495,0.154537324,1
13,0.449978743,0.188686833,1
14,0.448448358,0.248448825,1
15,0.427847369,0.302439837,1
16,0.356163967,0.339510983,1
17,0.104813288,0.370749405,1
18,0,0.408041861,1
19,0,0.401078204,1
20,0,0.617604409,1
21,0,0.709147679,1
22,0,0.748581456,1
23,0,0.762954755,1
24,0,0.769055495,1
25,0,0.772215711,1
26,0,0.771691006,1
27,0,0.767289613,1
28,0,0.764198974,1
29,0,0.755857763,1
30,0,0.748806096,1
31,0.00510231,0.739364811,1
32,0.261968878,0.733581208,1
33,0.687137319,0.722274881,1
34,0.714754182,0.712124218,1
35,0.655109965,0.511204961,1
36,0.626542761,0.235621172,1
37,0.62639134,0.169162944,1
38,0.653554257,0.133391003,1
39,0.671497671,0.108414259,1
40,0.499729799,0.093109411,1
41,0.101617567,0.081949552,1
42,0,0.080146762,1
43,0,0.110012353,1
44,0,0.213329104,1
45,0,0.312497662,1
46,0,0.397714039,1
47,0,0.477179892,1
48,0,0.548901027,1
49,0,0.606582017,1
50,0,0.661720657,1
51,0,0.699717118,1
52,0,0.723488839,1
53,0,0.728875888,1
54,0,0.720192068,1
55,0.003807862,0.702403613,1
56,0.17667276,0.681868219,1
57,0.447003414,0.662269735,1
58,0.448613639,0.646005768,1
59,0.429278312,0.465971681,1
60,0.426737216,0.158918033,1
61,0.422908863,0.099517691,1
62,0.388926945,0.100282262,1
63,0.318637449,0.097655904,1
64,0.183869308,0.093138537,1
65,0.033520025,0.094635758,1
66,0,0.102061676,1
67,0,0.138668615,1
68,0,0.237120426,1
69,0,0.288640779,1
70,0,0.322852809,1
71,0,0.347554667,1
72,0,0.380483804,1
73,0,0.423335197,1
74,0,0.472668351,1
75,0,0.483723232,1
76,0,0.472806724,1
77,0,0.462474659,1
78,0,0.467467056,1
79,2.73E-05,0.47348842,1
80,0.012255392,0.492807253,1
81,0.045658313,0.522883566,1
82,0.087951889,0.543753194,1
83,0.137911164,0.514950024,1
84,0.172297578,0.416905746,1
85,0.182901006,0.317411802,1
86,0.166748008,0.259840448,1
87,0.139149063,0.273585558,1
88,0.091348713,0.292132268,1
89,0.018434525,0.35150741,1
90,0,0.404556548,1
91,0,0.505724272,1
92,0,0.624414403,1
93,0,0.671881685,1
94,0,0.695799758,1
95,0,0.710913127,1
96,0,0.72263767,1
97,0,0.726656202,1
98,0,0.70066223,1
99,0,0.682849168,1
100,0,0.661111666,1
101,0,0.656756355,1
102,0,0.650639159,1
103,0.000163046,0.650015514,1
104,0.020685878,0.658521912,1
105,0.098049975,0.636640005,1
106,0.177520092,0.598100316,1
107,0.231341692,0.57178774,1
108,0.293241699,0.533968997,1
109,0.358103729,0.46046331,1
110,0.448989469,0.438796017,1
