Time_Index,Demand_MW,Demand_heat,Demand_H2_z2,Demand_H2_z3,Demand_NG_z1,Demand_NG_z2,Demand_NG_z3,Demand_Gasoline_z1,Demand_Gasoline_z2,Demand_Gasoline_z3,Demand_JetFuel_z1,Demand_JetFuel_z2,Demand_JetFuel_z3,Demand_Diesel_z1,Demand_Diesel_z2,Demand_Diesel_z3,Demand_Zero
1,62279.83866,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60027.131,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
3,58408.32703,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
4,57433.97582,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
5,57193.26504,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
6,57479.04915,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
7,57725.51398,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
8,57523.16348,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
9,57181.75696,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55530.34674,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
11,55242.64461,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
12,54537.7744,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
13,53887.56759,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
14,54111.01624,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
15,54367.07114,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
16,55909.15454,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
17,57948.00362,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
