Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,SE_CCGT-H2,MIDAT_CCGT-H2,NE_CCGT-H2,SE_OCGT-H2,MIDAT_OCGT-H2,NE_OCGT-H2,SE_Large_SMR_Non_CCS,MIDAT_Large_SMR_Non_CCS,NE_Large_SMR_Non_CCS,SE_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct,NE_Large_SMR_wCCS_96pct,SE_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct,NE_ATR_wCCS_94pct,SE_Solvent_DAC,MIDAT_Solvent_DAC,NE_Solvent_DAC,SE_Sorbent_DAC,MIDAT_Sorbent_DAC,NE_Sorbent_DAC,SE_BECCS_Electricity_Herb,MIDAT_BECCS_Electricity_Herb,NE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Wood,MIDAT_BECCS_Electricity_Wood,NE_BECCS_Electricity_Wood,SE_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb,NE_BECCS_H2_Herb,SE_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood,NE_BECCS_H2_Wood
1,0.301496237,0.750858183,0.301496237,0,0.586697471,0.410710283,0.586697471,0,0.326796714,0.326796714,0,0.748018622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596095068,0.540965123,0.625792413,0.783337586,0.750213624,0.750244751,0.778870126,0.74221825,0.750858183,0.718935402,0.615917149,0.805541253,0.758890979,0.628649091,0.692462345,0.410710283,0.335565434,0.158888183,0.339560729,0.736120758,0.216894237,0.682927635,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0.301845714,0.779062618,0.301845714,0,0.586902923,0.460699007,0.586902923,0,0.327314811,0.327314811,0,0.8012079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608124891,0.537423764,0.608748685,0.773987568,0.746621101,0.781578644,0.791073649,0.725379801,0.779062618,0.735551679,0.667829435,0.802820606,0.760847901,0.645812534,0.634169311,0.460699007,0.369930622,0.212204277,0.349808896,0.732046823,0.263591232,0.710771687,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0.302221382,0.772327652,0.302221382,0,0.587092718,0.522948201,0.587092718,0,0.327827462,0.327827462,0,0.6532951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601659611,0.560759604,0.605638137,0.760086615,0.74520843,0.792610573,0.796844875,0.702619436,0.772327652,0.742914296,0.721047861,0.797144184,0.760619312,0.659314926,0.611586046,0.522948201,0.418465834,0.273160004,0.373788643,0.729554695,0.335820746,0.733833886,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,0.302595287,0.795505646,0.302595287,0,0.587303459,0.579509991,0.587303459,0,0.328276133,0.328276133,0,0.41926378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582438362,0.568245082,0.605750303,0.745620149,0.724904341,0.792176876,0.800584742,0.672357669,0.795505646,0.752612213,0.747707601,0.79920301,0.756620434,0.667333564,0.622352733,0.579509991,0.496078948,0.333495933,0.409817774,0.723627711,0.37360934,0.742127726,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0.302937768,0.798689895,0.302937768,0,0.587498992,0.669181819,0.587498992,0,0.328761112,0.328761112,0,0.298282981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557826682,0.584256349,0.592540917,0.737370731,0.701381126,0.791701319,0.798655738,0.632520095,0.798689895,0.740433005,0.763706211,0.800740767,0.751542722,0.669598698,0.617277277,0.669181819,0.559556066,0.386276145,0.460495531,0.727117694,0.455586378,0.744166855,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
6,0.303355076,0.8043987,0.303355076,0,0.587694525,0.70058919,0.587694525,0,0.329275061,0.329275061,0,0.229939729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532483579,0.613039418,0.566496493,0.729646927,0.664956823,0.789723578,0.794971475,0.603591002,0.8043987,0.743065743,0.789139619,0.799491216,0.737731036,0.672729016,0.600281168,0.70058919,0.60521514,0.419327899,0.488974273,0.727788555,0.519647629,0.749322083,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
7,0.303712307,0.806749193,0.303712307,4.57E-05,0.587870288,0.761387161,0.587870288,0.000725414,0.329756544,0.329756544,0.003429793,0.118303418,0.003429793,0.018063611,0.005095219,7.41E-05,0,0.003218445,0.006987794,0.001563835,4.57E-05,0.002327173,0.00021075,0.000158612,0.004305875,0.001873023,0.007170618,0.000446793,0.000725414,0.002215845,0.001476337,0.004493118,0.00080834,0.002033386,0.520139707,0.610117636,0.518338848,0.719671965,0.640324934,0.787836847,0.788518453,0.585623115,0.806749193,0.736432775,0.787212445,0.796504426,0.712005946,0.673883632,0.597188706,0.761387161,0.66127457,0.445590599,0.520441141,0.729146869,0.664458213,0.746069483,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
8,0.30407926,0.808607159,0.30407926,0.006093022,0.588093418,0.768872833,0.588093418,0.007589821,0.330241523,0.330241523,0.18769735,0.053366192,0.18769735,0.125792425,0.092125356,0.080578183,0.094224396,0.05131082,0.08317907,0.091601244,0.006093022,0.039139857,0.005935038,0.048758498,0.086423507,0.028897857,0.160645114,0.006933638,0.007589821,0.019298735,0.017080328,0.08579245,0.006172526,0.030164615,0.51293597,0.606614068,0.482071218,0.707572032,0.620022062,0.783790659,0.772442291,0.573625246,0.808607159,0.708053048,0.791686076,0.787520381,0.676837707,0.669523855,0.574377463,0.768872833,0.699656573,0.47887974,0.575358292,0.729728781,0.680611877,0.740006201,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9,0.304437407,0.808613719,0.304437407,0.022901502,0.588289597,0.790123846,0.588289597,0.022871117,0.330718858,0.330718858,0.499359605,0.034603789,0.499359605,0.196624041,0.213664074,0.089056545,0.341417055,0.139567012,0.153774638,0.193700101,0.022901502,0.070211923,0.018620343,0.045011862,0.202977792,0.074676893,0.402488069,0.020859457,0.022871117,0.040128299,0.037573246,0.196961126,0.020869581,0.097556778,0.500228188,0.590114089,0.453235743,0.696731281,0.610837335,0.773130256,0.744235496,0.559852726,0.808613719,0.680917599,0.78817147,0.77432237,0.622056345,0.653885385,0.5474674,0.790123846,0.733629886,0.545112064,0.633508688,0.729956235,0.762632645,0.7351422,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
10,0.304804361,0.808613719,0.304804361,0.037882234,0.588472095,0.793962429,0.588472095,0.047973754,0.331204143,0.331204143,0.527880596,0.033577166,0.527880596,0.246500762,0.264984022,0.054797311,0.390587491,0.181300722,0.215601195,0.166556915,0.037882234,0.071512523,0.036356424,0.028538796,0.201753317,0.14860995,0.366018231,0.041077204,0.047973754,0.073242531,0.096006518,0.200566864,0.022517614,0.131420485,0.488067179,0.584040002,0.420653193,0.691870542,0.60226685,0.757732234,0.710219231,0.553406433,0.808613719,0.642350864,0.776175323,0.752427365,0.583486584,0.588197439,0.53165302,0.793962429,0.753755591,0.623632826,0.657320513,0.727861436,0.787809932,0.733137722,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
