Time_Index,natgas_Region1Beijing,natgas_Region2Tianjin,natgas_Region3Hebei,natgas_Region4Shanxi,natgas_Region5Innermongolia,natgas_Region6Liaoning,natgas_Region7Jilin,natgas_Region8Heilongjiang,natgas_Region9Shanghai,natgas_Region10Jiangsu,natgas_Region11Zhejiang,natgas_Region12Anhui,natgas_Region13Fujian,natgas_Region14Jiangxi,natgas_Region15Shandong,natgas_Region16Henan,natgas_Region17Hubei,natgas_Region18Hunan,natgas_Region19Guangdong,natgas_Region20Guangxi,natgas_Region21Hainan,natgas_Region22Chongqing,natgas_Region23Sichuan,natgas_Region24Guizhou,natgas_Region25Yunnan,natgas_Region26Tibet,natgas_Region27Shaanxi,natgas_Region28Gansu,natgas_Region29Qinghai,natgas_Region30Ningxia,natgas_Region31Xinjiang,coal_Region1Beijing,coal_Region2Tianjin,coal_Region3Hebei,coal_Region4Shanxi,coal_Region5Innermongolia,coal_Region6Liaoning,coal_Region7Jilin,coal_Region8Heilongjiang,coal_Region9Shanghai,coal_Region10Jiangsu,coal_Region11Zhejiang,coal_Region12Anhui,coal_Region13Fujian,coal_Region14Jiangxi,coal_Region15Shandong,coal_Region16Henan,coal_Region17Hubei,coal_Region18Hunan,coal_Region19Guangdong,coal_Region20Guangxi,coal_Region21Hainan,coal_Region22Chongqing,coal_Region23Sichuan,coal_Region24Guizhou,coal_Region25Yunnan,coal_Region26Tibet,coal_Region27Shaanxi,coal_Region28Gansu,coal_Region29Qinghai,coal_Region30Ningxia,coal_Region31Xinjiang,uranium_source
1,14,14,13.8488,13.3224,9.1826,13.8488,12.3438,12.3438,15.3552,15.204,15.2796,14.6776,14.7,13.699,13.8488,14.0756,13.699,13.699,15.3552,14.0756,11.4408,11.4408,11.5164,11.9672,11.9672,28,9.1826,9.8602,10.4622,8.6562,7.7532,8.3456,8.3456,7.5856,5.8704,4.1968,8.8232,8.772,8.2984,9.048,9.1264,9.512,9.6144,9.2856,10.9,9.3448,9.0784,9.9824,10.5496,9.6648,11.3904,8.7088,9.604,9.732,7.944,7.844,16,6.9048,7.7488,4.04,5.9288,8.4712,0.5595844
2,14,14,13.8488,13.3224,9.1826,13.8488,12.3438,12.3438,15.3552,15.204,15.2796,14.6776,14.7,13.699,13.8488,14.0756,13.699,13.699,15.3552,14.0756,11.4408,11.4408,11.5164,11.9672,11.9672,28,9.1826,9.8602,10.4622,8.6562,7.7532,8.3456,8.3456,7.5856,5.8704,4.1968,8.8232,8.772,8.2984,9.048,9.1264,9.512,9.6144,9.2856,10.9,9.3448,9.0784,9.9824,10.5496,9.6648,11.3904,8.7088,9.604,9.732,7.944,7.844,16,6.9048,7.7488,4.04,5.9288,8.4712,0.5595844
3,14,14,13.8488,13.3224,9.1826,13.8488,12.3438,12.3438,15.3552,15.204,15.2796,14.6776,14.7,13.699,13.8488,14.0756,13.699,13.699,15.3552,14.0756,11.4408,11.4408,11.5164,11.9672,11.9672,28,9.1826,9.8602,10.4622,8.6562,7.7532,8.3456,8.3456,7.5856,5.8704,4.1968,8.8232,8.772,8.2984,9.048,9.1264,9.512,9.6144,9.2856,10.9,9.3448,9.0784,9.9824,10.5496,9.6648,11.3904,8.7088,9.604,9.732,7.944,7.844,16,6.9048,7.7488,4.04,5.9288,8.4712,0.5595844
4,14,14,13.8488,13.3224,9.1826,13.8488,12.3438,12.3438,15.3552,15.204,15.2796,14.6776,14.7,13.699,13.8488,14.0756,13.699,13.699,15.3552,14.0756,11.4408,11.4408,11.5164,11.9672,11.9672,28,9.1826,9.8602,10.4622,8.6562,7.7532,8.3456,8.3456,7.5856,5.8704,4.1968,8.8232,8.772,8.2984,9.048,9.1264,9.512,9.6144,9.2856,10.9,9.3448,9.0784,9.9824,10.5496,9.6648,11.3904,8.7088,9.604,9.732,7.944,7.844,16,6.9048,7.7488,4.04,5.9288,8.4712,0.5595844
5,14,14,13.8488,13.3224,9.1826,13.8488,12.3438,12.3438,15.3552,15.204,15.2796,14.6776,14.7,13.699,13.8488,14.0756,13.699,13.699,15.3552,14.0756,11.4408,11.4408,11.5164,11.9672,11.9672,28,9.1826,9.8602,10.4622,8.6562,7.7532,8.3456,8.3456,7.5856,5.8704,4.1968,8.8232,8.772,8.2984,9.048,9.1264,9.512,9.6144,9.2856,10.9,9.3448,9.0784,9.9824,10.5496,9.6648,11.3904,8.7088,9.604,9.732,7.944,7.844,16,6.9048,7.7488,4.04,5.9288,8.4712,0.5595844
6,14,14,13.8488,13.3224,9.1826,13.8488,12.3438,12.3438,15.3552,15.204,15.2796,14.6776,14.7,13.699,13.8488,14.0756,13.699,13.699,15.3552,14.0756,11.4408,11.4408,11.5164,11.9672,11.9672,28,9.1826,9.8602,10.4622,8.6562,7.7532,8.3456,8.3456,7.5856,5.8704,4.1968,8.8232,8.772,8.2984,9.048,9.1264,9.512,9.6144,9.2856,10.9,9.3448,9.0784,9.9824,10.5496,9.6648,11.3904,8.7088,9.604,9.732,7.944,7.844,16,6.9048,7.7488,4.04,5.9288,8.4712,0.5595844
7,14,14,13.8488,13.3224,9.1826,13.8488,12.3438,12.3438,15.3552,15.204,15.2796,14.6776,14.7,13.699,13.8488,14.0756,13.699,13.699,15.3552,14.0756,11.4408,11.4408,11.5164,11.9672,11.9672,28,9.1826,9.8602,10.4622,8.6562,7.7532,8.3456,8.3456,7.5856,5.8704,4.1968,8.8232,8.772,8.2984,9.048,9.1264,9.512,9.6144,9.2856,10.9,9.3448,9.0784,9.9824,10.5496,9.6648,11.3904,8.7088,9.604,9.732,7.944,7.844,16,6.9048,7.7488,4.04,5.9288,8.4712,0.5595844
8,14,14,13.8488,13.3224,9.1826,13.8488,12.3438,12.3438,15.3552,15.204,15.2796,14.6776,14.7,13.699,13.8488,14.0756,13.699,13.699,15.3552,14.0756,11.4408,11.4408,11.5164,11.9672,11.9672,28,9.1826,9.8602,10.4622,8.6562,7.7532,8.3456,8.3456,7.5856,5.8704,4.1968,8.8232,8.772,8.2984,9.048,9.1264,9.512,9.6144,9.2856,10.9,9.3448,9.0784,9.9824,10.5496,9.6648,11.3904,8.7088,9.604,9.732,7.944,7.844,16,6.9048,7.7488,4.04,5.9288,8.4712,0.5595844
9,14,14,13.8488,13.3224,9.1826,13.8488,12.3438,12.3438,15.3552,15.204,15.2796,14.6776,14.7,13.699,13.8488,14.0756,13.699,13.699,15.3552,14.0756,11.4408,11.4408,11.5164,11.9672,11.9672,28,9.1826,9.8602,10.4622,8.6562,7.7532,8.3456,8.3456,7.5856,5.8704,4.1968,8.8232,8.772,8.2984,9.048,9.1264,9.512,9.6144,9.2856,10.9,9.3448,9.0784,9.9824,10.5496,9.6648,11.3904,8.7088,9.604,9.732,7.944,7.844,16,6.9048,7.7488,4.04,5.9288,8.4712,0.5595844
10,14,14,13.8488,13.3224,9.1826,13.8488,12.3438,12.3438,15.3552,15.204,15.2796,14.6776,14.7,13.699,13.8488,14.0756,13.699,13.699,15.3552,14.0756,11.4408,11.4408,11.5164,11.9672,11.9672,28,9.1826,9.8602,10.4622,8.6562,7.7532,8.3456,8.3456,7.5856,5.8704,4.1968,8.8232,8.772,8.2984,9.048,9.1264,9.512,9.6144,9.2856,10.9,9.3448,9.0784,9.9824,10.5496,9.6648,11.3904,8.7088,9.604,9.732,7.944,7.844,16,6.9048,7.7488,4.04,5.9288,8.4712,0.5595844
