Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--greendiesel_production,transforms--gasoline_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--retirement_period,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--greendiesel_edge--commodity,edges--greendiesel_edge--unidirectional,edges--greendiesel_edge--has_capacity,edges--greendiesel_edge--end_vertex,edges--gasoline_edge--commodity,edges--gasoline_edge--unidirectional,edges--gasoline_edge--has_capacity,edges--gasoline_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--unidirectional,edges--elec_production_edge--has_capacity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
FischerTropsch,BR_N_greendiesel_FT,Biomass,TRUE,1.92,0,0,0,0,1.033,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_N,152.6649605,41600607.04,1663841.394,7313.436,0,system/availability50.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_N,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_N
FischerTropsch,BR_NE_greendiesel_FT,Biomass,TRUE,1.92,0,0,0,0,1.033,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_NE,152.6649605,41600607.04,1663841.394,7313.436,0,system/availability50.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_NE,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_NE
FischerTropsch,BR_MW_greendiesel_FT,Biomass,TRUE,1.92,0,0,0,0,1.033,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_MW,152.6649605,41600607.04,1663841.394,7313.436,0,system/availability50.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_SE,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_MW
FischerTropsch,BR_SE_greendiesel_FT,Biomass,TRUE,1.92,0,0,0,0,1.033,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_SE,152.6649605,41600607.04,1663841.394,7313.436,0,system/availability50.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_SE,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_SE
FischerTropsch,BR_S_greendiesel_FT,Biomass,TRUE,1.92,0,0,0,0,1.033,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_S,152.6649605,41600607.04,1663841.394,7313.436,0,system/availability50.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_S,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_S
FischerTropsch,BR_N_gasoline_FT,Biomass,TRUE,0,0.42,0,0,0,1.033,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_N,152.6649605,41600607.04,1663841.394,7313.436,0,system/availability50.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_N,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_N
FischerTropsch,BR_NE_gasoline_FT,Biomass,TRUE,0,0.42,0,0,0,1.033,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_NE,152.6649605,41600607.04,1663841.394,7313.436,0,system/availability50.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_NE,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_NE
FischerTropsch,BR_MW_gasoline_FT,Biomass,TRUE,0,0.42,0,0,0,1.033,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_MW,152.6649605,41600607.04,1663841.394,7313.436,0,system/availability50.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_SE,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_MW
FischerTropsch,BR_SE_gasoline_FT,Biomass,TRUE,0,0.42,0,0,0,1.033,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_SE,152.6649605,41600607.04,1663841.394,7313.436,0,system/availability50.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_SE,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_SE
FischerTropsch,BR_S_gasoline_FT,Biomass,TRUE,0,0.42,0,0,0,1.033,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_S,152.6649605,41600607.04,1663841.394,7313.436,0,system/availability50.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_S,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_S
