Time_Index,h2_demand_N,h2_demand_NE,h2_demand_SE,h2_demand_S,Demand_Zero,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N
1,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,47839.167,15858.55277,15616.79803,16810.16071
2,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,47698.71564,11966.27915,15900.19047,16549.4527
3,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,46843.77286,10604.28994,15320.65826,16383.32152
4,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,46244.0792,9861.228161,14880.29691,16526.92113
5,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,46599.95018,9508.157427,14565.96496,16273.7125
6,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,47827.21379,10217.81883,14913.70751,15315.61095
7,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,49044.43495,11756.54704,15987.05499,13771.78147
8,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,52340.60481,13630.1331,17209.81267,12150.26444
9,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,56201.74293,15582.60288,17312.70447,12294.65472
10,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,56596.17393,16781.03568,18000.00983,12305.30322
11,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,57524.13929,17892.78738,18131.05304,12484.9876
12,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,58143.25692,18259.56083,18243.02248,12661.20222
13,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,57464.91744,17571.09233,17848.67467,13024.16714
14,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,59836.53667,18161.21567,17244.72047,13751.3608
15,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,61101.89243,18677.5845,16592.97867,14410.06253
16,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,61331.26,19109.36208,15455.88798,15072.05334
17,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,60409.97688,18280.17193,15814.55822,15317.78139
18,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,55784.33034,17185.41015,15900.05041,15457.08609
19,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,52214.11995,16226.04999,17680.65537,15740.97011
20,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,53539.7162,16806.01963,18143.9209,16394.46719
21,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,54245.44992,16913.65509,17688.04038,16641.18541
22,100,100,100,100,0,1241.732219,203.1329751,39546.93342,3841.550896,8297.74941,5084.849204,11558.28594,19.04371641,54669.0267,16564.4941,17606.88019,16711.26286
