Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--ethanol_production,transforms--bagasse_production,transforms--food_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--ethanol_edge--commodity,edges--ethanol_edge--unidirectional,edges--ethanol_edge--has_capacity,edges--ethanol_edge--end_vertex,edges--bagasse_edge--commodity,edges--bagasse_edge--unidirectional,edges--bagasse_edge--has_capacity,edges--bagasse_edge--end_vertex,edges--food_edge--commodity,edges--food_edge--unidirectional,edges--food_edge--has_capacity,edges--food_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSEthanol,BR_AC_BECCS_sugarcane_ethanol_large,BR_AC,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_AC,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AC,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_AC,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AC
BECCSEthanol,BR_AL_BECCS_sugarcane_ethanol_large,BR_AL,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_AL,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AL,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_AL,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AL
BECCSEthanol,BR_AP_BECCS_sugarcane_ethanol_large,BR_AP,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_AP,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AP,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_AP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AP
BECCSEthanol,BR_AM_BECCS_sugarcane_ethanol_large,BR_AM,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_AM,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AM,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_AM,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AM
BECCSEthanol,BR_BA_BECCS_sugarcane_ethanol_large,BR_BA,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_BA,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_BA,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_BA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_BA
BECCSEthanol,BR_CE_BECCS_sugarcane_ethanol_large,BR_CE,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_CE,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_CE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_CE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CE
BECCSEthanol,BR_DF_BECCS_sugarcane_ethanol_large,BR_DF,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_DF,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_DF,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_DF,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_DF
BECCSEthanol,BR_ES_BECCS_sugarcane_ethanol_large,BR_ES,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_ES,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_ES,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_ES,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_ES
BECCSEthanol,BR_GO_BECCS_sugarcane_ethanol_large,BR_GO,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_GO,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_GO,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_GO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_GO
BECCSEthanol,BR_MA_BECCS_sugarcane_ethanol_large,BR_MA,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_MA,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_MA,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_MA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MA
