Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
1,160.01,3581.63,1891.74,885.8,15148.96,5618.74,642.41,1876.53,6425.97,3681.19,17504.07,3416.99,5737.25,8880.49,2233.72,2459.09,12514.08,14909.8,11805.33,8703.17,6359.26,350.94,10237.04,12797.01,331.94,19932.11,1917.42
2,184.04,3443.61,1826.85,873.27,14230.93,5627.25,642.22,1815.53,6435.48,3588.81,17298.31,3510.07,5887.22,8609.94,2019.27,2322.34,12373.9,14081.89,11677.7,8550.3,5373.19,303.53,10245.37,11334.66,316.94,19524.13,1902.6
3,193.41,3301.57,1757.89,911.31,14507.13,5617,587.28,1650.42,6243.87,3545.13,18409.76,3362.41,5826.13,8797.72,1991.64,2277.89,11944.82,14799.08,11000.92,9515.59,5232.22,311.15,10232.98,11894.65,276.51,19261.39,1838.68
4,187.91,3023.61,1985,1084.83,15563.39,5243.77,474.81,1382.85,5991.5,3520.65,19303.09,2999.64,5676.85,8406.63,1806.71,2209.45,11235.6,17194.38,8150.58,11499.51,5646.67,439.35,10053.64,12494.39,213.24,19058.04,1729.29
5,161.9,2713.83,2404.03,1514.1,15368.86,4334.07,330.5,1087.41,5534.73,3153.4,18781.93,2592.42,5212.34,9448.99,1568.01,1702.85,10519.53,20312.06,6836.96,11416.95,9378.32,416.9,9611.93,12484.91,137.87,19337.45,1566.37
6,123.29,3020.45,2459.31,1493.97,17209.01,3375.1,152.34,813.11,5197.84,2655.79,18363.02,2091.1,4574.86,13093.11,1241.15,1805.97,9642.75,22583.57,7191,10540.98,12776.64,422.07,8567.37,12169.65,59.39,20055.41,1378.67
7,72.91,3323.78,2395.77,1475.86,19369.72,2801.07,17.63,749.02,5119,2399.94,17025.21,1677.13,3970.31,16359.13,1455.14,3085.69,8026.71,25161.92,8026.32,10383.86,13032.57,440.29,7944.29,12056.13,21.53,20394.97,1231.02
8,23.86,3928.76,2319.78,1454.37,21955.82,2953.01,0,747.34,5380.12,2472.72,19020.6,1552.4,3716.81,19084.54,1524.4,4105.02,7884.76,26113.46,8650.84,9986.05,12928.12,397.63,7922.59,12538.61,21.98,21521.21,1191.61
9,0.65,3955.67,2336.1,1448.31,23126.95,3279.55,0,771.06,6088.92,2901.04,16452.65,1511.88,3675.39,16564.99,1562.04,4465.61,8782.73,25529.42,9347.02,9689.69,12844.77,389.83,7999.36,12530.03,24.18,21305.45,1186.44
10,0,3967.54,2335.11,1339.52,23102.66,3526.54,0,799.79,6093.16,2948.09,16096.47,1517.92,3666.39,12219.51,1617.9,4428.79,9322.91,25025.87,11074.9,9237.55,12833.57,410.59,8102.15,12509.58,24.18,20020.34,1187.75
