Type,id,location,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--h2_edge--integer_decisions,edges--h2_edge--can_retire,edges--h2_edge--constraints--MinFlowConstraint,edges--h2_edge--constraints--MinDownTimeConstraint,edges--h2_edge--constraints--CapacityConstraint,edges--h2_edge--constraints--MinUpTimeConstraint,edges--h2_edge--constraints--RampingLimitConstraint,edges--h2_edge--unidirectional,edges--h2_edge--commodity,edges--h2_edge--can_expand,edges--h2_edge--uc,edges--h2_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--fuel_edge--start_vertex,edges--elec_edge--start_vertex,edges--h2_edge--min_down_time,edges--h2_edge--lifetime,edges--h2_edge--wacc,edges--h2_edge--capital_recovery_period,edges--h2_edge--fixed_om_cost,edges--h2_edge--existing_capacity,edges--h2_edge--min_up_time,edges--h2_edge--capacity_size,edges--h2_edge--ramp_down_fraction,edges--h2_edge--end_vertex,edges--h2_edge--variable_om_cost,edges--h2_edge--investment_cost,edges--h2_edge--ramp_up_fraction,edges--h2_edge--min_flow_fraction,edges--h2_edge--startup_cost,transforms--fuel_consumption,transforms--emission_rate,transforms--electricity_consumption,Note
ThermalHydrogen,BR_AC_SMRH2,BR_AC,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_AC,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_AC,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_AL_SMRH2,BR_AL,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_AL,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_AL,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_AP_SMRH2,BR_AP,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_AP,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_AP,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_AM_SMRH2,BR_AM,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_AM,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_AM,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_BA_SMRH2,BR_BA,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_BA,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_BA,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_CE_SMRH2,BR_CE,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_CE,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_CE,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_DF_SMRH2,BR_DF,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_DF,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_DF,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_ES_SMRH2,BR_ES,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_ES,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_ES,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_GO_SMRH2,BR_GO,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_GO,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_GO,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_MA_SMRH2,BR_MA,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_MA,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_MA,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
