Type,id,location,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--co2_edge--constraints--MustRunConstraint,edges--co2_edge--availability--timeseries--path,edges--co2_edge--availability--timeseries--header,edges--co2_edge--constraints--CapacityConstraint,edges--co2_edge--constraints--RampingLimitConstraint,edges--co2_edge--can_retire,edges--co2_edge--integer_decisions,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_edge--can_expand,edges--co2_edge--uc,edges--co2_edge--has_capacity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--start_vertex,edges--co2_edge--lifetime,edges--co2_edge--wacc,edges--co2_edge--capital_recovery_period,edges--co2_edge--variable_om_cost,edges--co2_edge--fixed_om_cost,edges--co2_edge--existing_capacity,edges--co2_edge--investment_cost,edges--co2_edge--ramp_up_fraction,edges--co2_edge--ramp_down_fraction,edges--co2_captured_edge--end_vertex,transforms--electricity_consumption,Note
ElectricDAC,BR_AC_Sorbent_DAC,BR_AC,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_AC,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_AC,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070822.pdf
ElectricDAC,BR_AL_Sorbent_DAC,BR_AL,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_AL,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_AL,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070823.pdf
ElectricDAC,BR_AP_Sorbent_DAC,BR_AP,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_AP,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_AP,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070824.pdf
ElectricDAC,BR_AM_Sorbent_DAC,BR_AM,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_AM,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_AM,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070825.pdf
ElectricDAC,BR_BA_Sorbent_DAC,BR_BA,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_BA,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_BA,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070826.pdf
ElectricDAC,BR_CE_Sorbent_DAC,BR_CE,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_CE,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_CE,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070827.pdf
ElectricDAC,BR_DF_Sorbent_DAC,BR_DF,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_DF,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_DF,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070828.pdf
ElectricDAC,BR_ES_Sorbent_DAC,BR_ES,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_ES,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_ES,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070829.pdf
ElectricDAC,BR_GO_Sorbent_DAC,BR_GO,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_GO,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_GO,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070830.pdf
ElectricDAC,BR_MA_Sorbent_DAC,BR_MA,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_MA,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_MA,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070831.pdf
