Type,id,location,storage--commodity,storage--can_expand,storage--can_retire,storage--long_duration,storage--constraints--BalanceConstraint,storage--constraints--MinStorageLevelConstraint,storage--constraints--StorageChargeDischargeRatioConstraint,storage--constraints--LongDurationStorageImplicitMinMaxConstraint,edges--inflow_edge--type,edges--inflow_edge--unidirectional,edges--inflow_edge--has_capacity,edges--inflow_edge--can_expand,edges--inflow_edge--can_retire,edges--inflow_edge--constraints--MustRunConstraint,edges--discharge_edge--type,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--RampingLimitConstraint,storage--lifetime,storage--wacc,storage--capital_recovery_period,storage--fixed_om_cost,storage--variable_om_cost,storage--investment_cost,storage--min_storage_level,storage--charge_discharge_ratio,storage--existing_capacity,edges--inflow_edge--efficiency,edges--inflow_edge--start_vertex,edges--inflow_edge--availability--timeseries--path,edges--inflow_edge--availability--timeseries--header,edges--discharge_edge--end_vertex,edges--discharge_edge--existing_capacity,edges--discharge_edge--lifetime,edges--discharge_edge--wacc,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--investment_cost,edges--discharge_edge--ramp_down_fraction,edges--discharge_edge--ramp_up_fraction,edges--discharge_edge--efficiency,edges--spill_edge--type,edges--spill_edge--unidirectional,edges--spill_edge--end_vertex,edges--spill_edge--can_expand,edges--spill_edge--can_retire,edges--spill_edge--has_capacity,Note
HydroRes,Amazonas_hydro_res,Amazonas,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1,0.1,1000000,0.3,1,1314293.703,1,hydro_source_Amazonas,system/availability_hydro_res.csv,Amazonas_hydro_res,elec_proxy_SE,984.68,30,0.08,20,12820,0.1,1000000,0.083,0.083,1,Electricity,TRUE,hydro_source_Amazonas,FALSE,FALSE,FALSE,"inflow-edge availability is normalized to discharge capacity and represents exogenous inflow, so it is not restricted to the usual 0-1 range. Please also check TEA parameters"
HydroRes,Doce_hydro_res,Doce,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1,0.1,1000000,0.3,1,8271.072,1,hydro_source_Doce,system/availability_hydro_res.csv,Doce_hydro_res,elec_proxy_SE,112,30,0.08,20,12820,0.1,1000000,0.083,0.083,1,Electricity,TRUE,hydro_source_Doce,FALSE,FALSE,FALSE,"inflow-edge availability is normalized to discharge capacity and represents exogenous inflow, so it is not restricted to the usual 0-1 range. Please also check TEA parameters"
HydroRes,Grande_hydro_res,Grande,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1,0.1,1000000,0.3,1,28687077.66,1,hydro_source_Grande,system/availability_hydro_res.csv,Grande_hydro_res,elec_proxy_SE,4178.6,30,0.08,20,12820,0.1,1000000,0.083,0.083,1,Electricity,TRUE,hydro_source_Grande,FALSE,FALSE,FALSE,"inflow-edge availability is normalized to discharge capacity and represents exogenous inflow, so it is not restricted to the usual 0-1 range. Please also check TEA parameters"
HydroRes,Iguacu_hydro_res,Iguacu,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1,0.1,1000000,0.3,1,5784554.18,1,hydro_source_Iguacu,system/availability_hydro_res.csv,Iguacu_hydro_res,elec_proxy_S,4476.168,30,0.08,20,12820,0.1,1000000,0.083,0.083,1,Electricity,TRUE,hydro_source_Iguacu,FALSE,FALSE,FALSE,"inflow-edge availability is normalized to discharge capacity and represents exogenous inflow, so it is not restricted to the usual 0-1 range. Please also check TEA parameters"
HydroRes,Jacui_capivari_hydro_res,Jacui_capivari,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1,0.1,1000000,0.3,1,1668687.201,1,hydro_source_Jacui_capivari,system/availability_hydro_res.csv,Jacui_capivari_hydro_res,elec_proxy_S,418,30,0.08,20,12820,0.1,1000000,0.083,0.083,1,Electricity,TRUE,hydro_source_Jacui_capivari,FALSE,FALSE,FALSE,"inflow-edge availability is normalized to discharge capacity and represents exogenous inflow, so it is not restricted to the usual 0-1 range. Please also check TEA parameters"
HydroRes,Jequitinhonha_hydro_res,Jequitinhonha,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1,0.1,1000000,0.3,1,1271955.973,1,hydro_source_Jequitinhonha,system/availability_hydro_res.csv,Jequitinhonha_hydro_res,elec_proxy_NE,399,30,0.08,20,12820,0.1,1000000,0.083,0.083,1,Electricity,TRUE,hydro_source_Jequitinhonha,FALSE,FALSE,FALSE,"inflow-edge availability is normalized to discharge capacity and represents exogenous inflow, so it is not restricted to the usual 0-1 range. Please also check TEA parameters"
HydroRes,Paraiba_do_sul_hydro_res,Paraiba_do_sul,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1,0.1,1000000,0.3,1,4073083.332,1,hydro_source_Paraiba_do_sul,system/availability_hydro_res.csv,Paraiba_do_sul_hydro_res,elec_proxy_SE,566.67,30,0.08,20,12820,0.1,1000000,0.083,0.083,1,Electricity,TRUE,hydro_source_Paraiba_do_sul,FALSE,FALSE,FALSE,"inflow-edge availability is normalized to discharge capacity and represents exogenous inflow, so it is not restricted to the usual 0-1 range. Please also check TEA parameters"
HydroRes,Parana_hydro_res,Parana,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1,0.1,1000000,0.3,1,1424652.605,1,hydro_source_Parana,system/availability_hydro_res.csv,Parana_hydro_res,elec_proxy_SE,3444,30,0.08,20,12820,0.1,1000000,0.083,0.083,1,Electricity,TRUE,hydro_source_Parana,FALSE,FALSE,FALSE,"inflow-edge availability is normalized to discharge capacity and represents exogenous inflow, so it is not restricted to the usual 0-1 range. Please also check TEA parameters"
HydroRes,Paranaiba_hydro_res,Paranaiba,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1,0.1,1000000,0.3,1,45051518.59,1,hydro_source_Paranaiba,system/availability_hydro_res.csv,Paranaiba_hydro_res,elec_proxy_SE,7104.727,30,0.08,20,12820,0.1,1000000,0.083,0.083,1,Electricity,TRUE,hydro_source_Paranaiba,FALSE,FALSE,FALSE,"inflow-edge availability is normalized to discharge capacity and represents exogenous inflow, so it is not restricted to the usual 0-1 range. Please also check TEA parameters"
HydroRes,Paranapanema_hydro_res,Paranapanema,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1,0.1,1000000,0.3,1,6706528.277,1,hydro_source_Paranapanema,system/availability_hydro_res.csv,Paranapanema_hydro_res,elec_proxy_SE,1518.956,30,0.08,20,12820,0.1,1000000,0.083,0.083,1,Electricity,TRUE,hydro_source_Paranapanema,FALSE,FALSE,FALSE,"inflow-edge availability is normalized to discharge capacity and represents exogenous inflow, so it is not restricted to the usual 0-1 range. Please also check TEA parameters"
