Time_Index,Availability_One,res_basin_N,ror_basin_N,res_basin_NE,ror_basin_NE,res_basin_S,ror_basin_S,res_basin_SE,ror_basin_SE,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
1,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.058982087,0.073629225,0.381930503,0.275581595,0.175429061,0.065716205,0.034164947,0.274413478,0.220657373,0.152779755,0.036702601,0.03104914,0.134430254,0.020806625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.072199738,0.072134472,0.326479106,0.290983481,0.159661618,0.070207807,0.035625911,0.253540812,0.263937516,0.161658237,0.042572038,0.035308347,0.096837017,0.01993706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.078809795,0.060939851,0.271684911,0.275964306,0.148195842,0.071487104,0.037230042,0.227605232,0.313342014,0.168639212,0.046120817,0.033353173,0.065014976,0.020855487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.078810325,0.054564174,0.221711605,0.250295473,0.131064187,0.070373122,0.031964232,0.192804634,0.357305745,0.166975119,0.042221445,0.028938061,0.049585024,0.023323395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.074610798,0.05025624,0.186516528,0.214426717,0.118216191,0.069781505,0.030520824,0.158042531,0.377691624,0.159679374,0.032693102,0.025603867,0.046358575,0.022855487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.069251497,0.046425171,0.164573635,0.186185806,0.104088664,0.066110152,0.031845638,0.135457749,0.391330033,0.15637189,0.031822478,0.02469365,0.04567192,0.025113043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.068162345,0.042342494,0.146173144,0.165191563,0.092589149,0.061945139,0.030678144,0.123943659,0.383503118,0.149063364,0.031805118,0.024018848,0.041541908,0.019421118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.072271252,0.034735481,0.133553339,0.156421344,0.086627068,0.058684186,0.025090465,0.117612464,0.351110516,0.140746784,0.037610824,0.02452213,0.034567572,0.018023188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.077536442,0.03135409,0.124431862,0.142345998,0.080819605,0.060355126,0.022961908,0.113354241,0.30966484,0.129741995,0.042853264,0.025945612,0.026322645,0.026418219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64e-05,0.0,0.0
10,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.076758546,0.030556601,0.11217084,0.122705587,0.079849586,0.062401584,0.021454662,0.108199246,0.269896944,0.120568893,0.043729916,0.02777247,0.023671679,0.034264182,0.01766764,0.001885829,0.1404125,0.021225,0.04472,0.02505228,0.38365559,0.341055603,0.124332836,0.032491996,0.006512422,0.424907728,0.286202946,0.100775337
11,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.084747328,0.050755463,0.152058211,0.127333257,0.086559382,0.069547642,0.025567553,0.140247317,0.265787192,0.117953061,0.038273713,0.024604706,0.038155918,0.038555694,0.183266688,0.030299447,0.440385,0.640645,0.180912641,0.079700021,0.621021596,0.719040282,0.251518782,0.228466579,0.040207513,0.643416203,0.572441525,0.198923912
12,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.052467843,0.047257253,0.210938704,0.078341607,0.079551498,0.055589475,0.022568714,0.150673347,0.159589235,0.110177597,0.02046615,0.02041832,0.052812742,0.036332091,0.300457835,0.141404248,0.5365675,0.73648,0.301522774,0.155429838,0.742095375,0.860029756,0.379689048,0.332495221,0.12666347,0.734756558,0.727887998,0.315628994
13,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.046171795,0.052105626,0.196596635,0.054085163,0.068615205,0.045093052,0.031492272,0.132428059,0.11082653,0.108614193,0.020922492,0.020642444,0.06862663,0.032718012,0.356550542,0.216321988,0.634155,0.679645,0.377372105,0.229603643,0.798094966,0.921505154,0.460595873,0.396181419,0.202055205,0.794705304,0.824716484,0.372332067
14,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.042492254,0.039509178,0.170838376,0.039527927,0.064514067,0.038113618,0.053623658,0.108003171,0.074741653,0.095644213,0.023366874,0.026764752,0.065217754,0.035522153,0.425352303,0.318919327,0.632169167,0.691115,0.473497786,0.307831122,0.803203885,0.929069949,0.525121006,0.431731413,0.288921555,0.819204496,0.839269532,0.401193749
15,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.032292076,0.036125151,0.156645936,0.02950951,0.053945791,0.0329317,0.047355372,0.09032686,0.050840919,0.070762132,0.023262692,0.031669452,0.081662983,0.031320083,0.481503201,0.355736482,0.707201667,0.682625,0.505603324,0.348061782,0.820004269,0.919522833,0.465727739,0.471804723,0.355956527,0.844604382,0.843174775,0.423000533
16,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.020851997,0.031956061,0.147786862,0.024212367,0.051225519,0.022409182,0.044795658,0.076572806,0.03108637,0.048268887,0.01828155,0.027734648,0.078486232,0.028106832,0.51454438,0.372663913,0.725505,0.728365,0.508831439,0.340824586,0.77210084,0.901667923,0.435051473,0.469259242,0.362761164,0.827831946,0.832248017,0.385209263
17,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.017954596,0.026516896,0.149312344,0.026956079,0.051799532,0.01299689,0.038298997,0.070413772,0.021745802,0.034395895,0.014041692,0.020904003,0.071041365,0.021563561,0.481391042,0.412125164,0.638869167,0.709575,0.492742144,0.331364843,0.762595595,0.869008282,0.432891933,0.471583285,0.389951416,0.815553922,0.82933623,0.352299387
18,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.015966254,0.020314378,0.156100033,0.038620034,0.054711846,0.010309035,0.032115003,0.065029495,0.020846399,0.031120886,0.010677839,0.017684627,0.065220894,0.009209938,0.448412166,0.4271096,0.554644167,0.675915,0.4727951,0.327257846,0.728844427,0.847936641,0.401132673,0.449736143,0.389582519,0.765858087,0.799305732,0.32164993
19,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.014195996,0.022479802,0.169410806,0.05807138,0.069146692,0.012318623,0.03157917,0.062703071,0.027214066,0.032731053,0.009197808,0.018540881,0.067301268,0.004268323,0.374856145,0.295042773,0.439599167,0.569345,0.481953754,0.269627689,0.640017131,0.828420654,0.405160152,0.404824955,0.291522581,0.701457131,0.766233091,0.279819188
20,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.017151534,0.028401015,0.200362236,0.082191121,0.087917165,0.015374844,0.027124262,0.069107869,0.036003657,0.044271856,0.009952872,0.019982596,0.09053744,0.003471636,0.347757139,0.261015194,0.394499167,0.566145,0.414450107,0.186396452,0.526610749,0.805566603,0.378170406,0.361548409,0.223537676,0.567022965,0.730069476,0.22084314
21,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.025463871,0.026473589,0.255869121,0.11990644,0.108542442,0.02146701,0.017700663,0.085708593,0.047302837,0.058592149,0.009420154,0.018589988,0.078394082,0.004313043,0.255859504,0.190365183,0.288688333,0.28358,0.307521716,0.108810398,0.323949099,0.723252385,0.260910594,0.261323617,0.115502549,0.344996966,0.648776134,0.128680548
22,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.037642508,0.023054492,0.302371719,0.151333511,0.136521695,0.02256946,0.018259191,0.135594617,0.060061082,0.074146207,0.007315228,0.016790048,0.057426147,0.0,0.156812032,0.077732706,0.0,0.0,0.180366903,0.015399754,0.0,0.542251244,0.145565745,0.143472795,0.020990015,0.0,0.384452694,0.016395011
23,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.053318392,0.017872301,0.333442397,0.162607325,0.132622822,0.032591879,0.015028645,0.155161024,0.069371453,0.074620911,0.024105032,0.018693142,0.062128925,0.000521739,0.0,0.000845511,0.0,0.0,0.0,0.0,0.0,0.004778,0.0,0.0,0.0,0.0,0.0,0.0
24,1,1.278974738,0.165412245,0.853249751,0.672534716,0.21932509,0.255009729,1.451657446,1.0,0.06731978,0.021359218,0.344253084,0.206200323,0.14580223,0.047498666,0.015834172,0.170345875,0.121272844,0.097283001,0.024484997,0.02316047,0.107844807,0.003045135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.080601847,0.024216092,0.335056883,0.236328841,0.140796134,0.055516838,0.017592314,0.212758043,0.178238567,0.123766915,0.032886546,0.030558843,0.089128744,0.003908903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.099060429,0.023648239,0.295087954,0.252303579,0.13143697,0.064434511,0.017532782,0.187050979,0.243747605,0.139956019,0.045730974,0.032991727,0.055936594,0.007232298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
