Time_Index,Availability_One,res_basin_N,ror_basin_N,res_basin_NE,ror_basin_NE,res_basin_S,ror_basin_S,res_basin_SE,ror_basin_SE,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
1,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.026644816,0.03382835,0.3396798,0.050404906,0.070124758,0.016133386,0.031939119,0.220794771,0.046165258,0.048423573,0.015390327,0.011205058,0.090461473,0.051078261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.026148141,0.042138532,0.317323477,0.078158456,0.062082931,0.017010431,0.03188015,0.269683869,0.063408272,0.059209122,0.010300192,0.012559566,0.074814553,0.054418219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.0263275,0.046552328,0.27971785,0.096311704,0.050915041,0.019713737,0.037612733,0.267192242,0.08899657,0.061928937,0.00907497,0.016408103,0.068091304,0.046700621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.025576146,0.041536626,0.230001277,0.102504815,0.043472888,0.022748358,0.04143179,0.244045569,0.122047011,0.054992395,0.012723725,0.02088605,0.053577717,0.037050932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.029821444,0.031317933,0.192567436,0.108289529,0.039637653,0.027489781,0.039724849,0.222219824,0.14650558,0.052209086,0.017713131,0.022840451,0.043476812,0.043725052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.035867872,0.022592193,0.165224376,0.113389275,0.035657486,0.028852037,0.035067253,0.196934601,0.172140045,0.048425327,0.029942189,0.021883591,0.026421256,0.047200828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.041392049,0.01902434,0.149678269,0.125129125,0.034528093,0.029879445,0.03219912,0.190355117,0.180200919,0.046762709,0.043002229,0.021796176,0.019186473,0.047452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.043431556,0.019134016,0.132559645,0.133029768,0.034984402,0.031008472,0.032323171,0.175869444,0.17127411,0.046436447,0.047684308,0.021591552,0.018162258,0.052165631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.044892859,0.021049274,0.120273155,0.141072015,0.035802208,0.031207804,0.034566438,0.168897009,0.161226172,0.047734542,0.054844893,0.021806778,0.01761872,0.064583023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.045146431,0.022373526,0.106340639,0.143434854,0.037902465,0.032664286,0.037274036,0.156206738,0.152994319,0.049697279,0.050020094,0.021568604,0.016180616,0.074375155,0.049395708,0.059536197,0.389661667,0.015855,0.055884178,0.145315456,0.505074283,0.017443269,0.395745352,0.092307688,0.059665547,0.440709017,0.086216357,0.384912618
11,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.029095798,0.028052675,0.112337103,0.129051847,0.028716561,0.021128187,0.04380994,0.154485824,0.134368725,0.034323629,0.031277849,0.02072794,0.018938104,0.070582195,0.361835152,0.200607642,0.6117175,0.690465,0.324602252,0.269898302,0.742866146,0.257597423,0.652349067,0.423404232,0.197985738,0.649925657,0.296365651,0.66441787
12,1,0.792856916,0.149994026,0.696701847,0.93728699,0.380763622,0.32579624,1.137598229,1.0,0.018696332,0.012782048,0.171922004,0.142702559,0.023760002,0.01354428,0.041121176,0.167642607,0.161006228,0.01930513,0.020965957,0.019194093,0.024045652,0.037122981,0.485730986,0.30884086,0.672729167,0.632045,0.517910488,0.335077096,0.843515309,0.34713409,0.785564867,0.590469025,0.265523413,0.725561739,0.386671831,0.769446
