time_index,BR_AC_Solar_Class1,BR_AC_Solar_Class2,BR_AL_Solar_Class1,BR_AM_Solar_Class1,BR_AM_Solar_Class2,BR_AM_Solar_Class3,BR_AP_Solar_Class1,BR_BA_Solar_Class0,BR_BA_Solar_Class1,BR_BA_Solar_Class3,BR_CE_Solar_Class0,BR_CE_Solar_Class1,BR_CE_Solar_Class3,BR_ES_Solar_Class1,BR_GO_Solar_Class0,BR_GO_Solar_Class1,BR_GO_Solar_Class2,BR_MA_Solar_Class0,BR_MA_Solar_Class1,BR_MA_Solar_Class2,BR_MA_Solar_Class3,BR_MG_Solar_Class0,BR_MG_Solar_Class1,BR_MG_Solar_Class3,BR_MS_Solar_Class0,BR_MS_Solar_Class1,BR_MS_Solar_Class2,BR_MS_Solar_Class3,BR_MT_Solar_Class0,BR_MT_Solar_Class1,BR_MT_Solar_Class2,BR_MT_Solar_Class3,BR_PA_Solar_Class0,BR_PA_Solar_Class1,BR_PA_Solar_Class2,BR_PA_Solar_Class3,BR_PB_Solar_Class0,BR_PB_Solar_Class1,BR_PE_Solar_Class0,BR_PE_Solar_Class1,BR_PE_Solar_Class3,BR_PI_Solar_Class0,BR_PI_Solar_Class1,BR_PR_Solar_Class0,BR_PR_Solar_Class1,BR_PR_Solar_Class3,BR_RJ_Solar_Class1,BR_RJ_Solar_Class3,BR_RN_Solar_Class0,BR_RN_Solar_Class1,BR_RO_Solar_Class1,BR_RO_Solar_Class2,BR_RO_Solar_Class3,BR_RR_Solar_Class2,BR_RS_Solar_Class1,BR_RS_Solar_Class3,BR_SC_Solar_Class1,BR_SC_Solar_Class3,BR_SE_Solar_Class1,BR_SP_Solar_Class0,BR_SP_Solar_Class1,BR_SP_Solar_Class3,BR_TO_Solar_Class0,BR_TO_Solar_Class1,BR_TO_Solar_Class2,BR_TO_Solar_Class3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.14537,0,0,0,0,1.56E-05,0.067767368,0.022158286,9.07E-05,6.52E-05,0,0.25232,0,0,0,0,0,0,0,0,2.56E-05,0.000185,0,0,0,0,0,0,0,0,0,0,0,0,0.014763333,0.068998889,0.001104,0.045143,0,0,0,0,0,0,0.34963,0.00175,0.001396667,0.110540833,0,0,0,0,0,0,0,0,0.206661667,0,0,0.000375,0,0,0,0
7,0,0,0.3344325,0,0,0,0,0.562926667,0.339310526,0.320221714,0.296374286,0.189406667,0.28347,0.54791,0.385362414,0.410812982,0.40315,0.42802,0.323960909,0.27922,0.262563429,0.574852857,0.519675938,0.430521875,0.15803,0.118048833,0.177105455,0.11493125,0.146795556,0.073671148,0.315737111,0.0035736,0,0.125708182,0.131251961,0.077946271,0.22375,0.275947778,0.40733,0.206074,0.419628333,0.473893256,0.386011579,0.131693333,0.128091111,0.062848857,0.64705,0.67332,0.119356667,0.373055,0,0,0,0,0.029377778,0.021219365,0.02447,0.164116,0.394641667,0.308023214,0.322540476,0.239418333,0.406969333,0.462022727,0.4199608,0.34599
8,0.120633333,0,0.4651325,0.03906,0.220281429,0.015944,0.265876667,0.744753067,0.484360526,0.439414857,0.462857143,0.412,0.325135,0.75839,0.660411379,0.712263158,0.645713333,0.5892,0.500787879,0.56558,0.435986286,0.763681964,0.731470625,0.72634375,0.305233333,0.233585333,0.334424545,0.33278375,0.322589444,0.308461475,0.562335111,0.1553798,0.15367,0.328617727,0.388374706,0.229267288,0.43316,0.488445556,0.570202,0.37229,0.494416667,0.678827907,0.509401053,0.069243333,0.228301111,0.078786857,0.83571,0.83527,0.40509,0.552259167,0.005467143,0.09503,0.085380526,0.179842143,0.101922222,0.086359524,0.31727,0.234282,0.511106667,0.5104775,0.533737143,0.355148333,0.56754,0.664603636,0.614328,0.462656667
9,0.15112,0.31438,0.48442125,0.03886,0.241098571,0.040142,0.330963333,0.819299733,0.577541579,0.507382857,0.597062857,0.556678571,0.390135,0.80961,0.77108931,0.814561228,0.73637,0.646616923,0.584716061,0.56634,0.495948571,0.873233929,0.857189063,0.732198125,0.454099167,0.330469,0.507644545,0.46275625,0.490632778,0.484523279,0.681077333,0.2559012,0.43847,0.366148636,0.512510784,0.360690847,0.536131667,0.51151,0.605518,0.484611,0.564761667,0.775807209,0.587496316,0.26468,0.458343333,0.167975143,0.89519,0.89379,0.54486,0.645559167,0.031895714,0.21984,0.181994211,0.291942143,0.195497778,0.19873619,0.52524,0.377146,0.60361,0.597574643,0.614222857,0.484678333,0.676673333,0.759220455,0.7213592,0.570206667
10,0.43556,0.52828,0.50824125,0.092225,0.309747143,0.069926,0.569823333,0.857023867,0.652164211,0.576701714,0.658735714,0.642858095,0.493375,0.82494,0.823818276,0.868200175,0.770803333,0.657449231,0.584558485,0.58532,0.576709429,0.916040714,0.906277188,0.752805,0.437255833,0.422584167,0.522282727,0.50144375,0.587289444,0.538993607,0.732012,0.3660916,0.43353,0.417166364,0.602893137,0.452072881,0.629918333,0.629973333,0.698392,0.565516,0.639523333,0.788910465,0.635610526,0.37768,0.456958889,0.158140286,0.9253,0.9353,0.685773333,0.7377525,0.074135714,0.427833333,0.286986316,0.494963571,0.312917778,0.33254127,0.58016,0.378846,0.596321667,0.621173929,0.643377619,0.53157,0.806463333,0.811111364,0.7747204,0.558756667
11,0.527973333,0.60255,0.51245875,0.182455,0.389675714,0.17272,0.6071,0.803577467,0.649516316,0.595311714,0.651732143,0.679415714,0.542565,0.82092,0.849271724,0.878371404,0.831836667,0.610476923,0.622206364,0.49808,0.550363429,0.916705536,0.919920313,0.694473125,0.515051667,0.526933833,0.59411,0.545008125,0.666939444,0.633332459,0.721126222,0.477408,0.32019,0.451761818,0.56729098,0.46554,0.66691,0.715488889,0.730858,0.621652,0.603868333,0.749634419,0.562849474,0.398156667,0.454557778,0.166638286,0.94189,0.92212,0.717526667,0.786814167,0.179755714,0.46514,0.460101579,0.440958571,0.398336667,0.419836508,0.61302,0.345562,0.635388333,0.700154643,0.720284762,0.636758333,0.801346667,0.810641818,0.64752,0.477563333
12,0.391463333,0.63215,0.5584725,0.217275,0.522518571,0.266658,0.662693333,0.719123733,0.676779474,0.630315429,0.691567857,0.680986667,0.64825,0.8591,0.835434483,0.845813684,0.85995,0.701274615,0.591034848,0.60531,0.616199143,0.884620357,0.910685313,0.6628325,0.574553333,0.574335333,0.612253636,0.638076875,0.712021667,0.650521803,0.72888,0.5588903,0.40228,0.534078182,0.607913529,0.54904678,0.636578333,0.739441111,0.706584,0.669676,0.557036667,0.726507442,0.561408947,0.576173333,0.487007778,0.220989143,0.94323,0.90897,0.694563333,0.771954167,0.314385714,0.511733333,0.500124474,0.502252143,0.457668889,0.524670476,0.47279,0.320408,0.65677,0.734308929,0.764599048,0.771505,0.736998,0.763093636,0.658066,0.58761
13,0.44292,0.73007,0.53650875,0.315585,0.59676,0.381426,0.60038,0.715239333,0.667641579,0.653776857,0.725131429,0.650279524,0.579855,0.78551,0.809512759,0.822402456,0.7986,0.663361538,0.519379091,0.45488,0.497973429,0.840793393,0.8796875,0.64834625,0.622824167,0.577834167,0.58377,0.640001875,0.74591,0.728678361,0.693794667,0.5949589,0.47225,0.539097727,0.596842353,0.565813898,0.620658333,0.635695556,0.752924,0.621343,0.599141667,0.736380698,0.577506316,0.581683333,0.41087,0.215742571,0.93196,0.88948,0.63786,0.737005833,0.383102857,0.494423333,0.518920789,0.515478571,0.377363333,0.584083333,0.36656,0.26298,0.645486667,0.710137143,0.772587619,0.78071,0.731342667,0.736360909,0.6962148,0.558606667
14,0.47196,0.68671,0.46998125,0.50941,0.57375,0.363258,0.59293,0.746452267,0.722146316,0.676027143,0.627428571,0.693311905,0.64705,0.86643,0.764501724,0.802963158,0.719733333,0.710332308,0.48926697,0.41601,0.575607143,0.790622143,0.826063125,0.5726,0.502115,0.521423,0.543998182,0.53680625,0.752259444,0.709718525,0.667462889,0.6015449,0.46995,0.592328636,0.586455686,0.597272373,0.620526667,0.65119,0.77579,0.581187,0.672461667,0.735645116,0.57324,0.310476667,0.275844444,0.212708857,0.9112,0.85131,0.672366667,0.754249167,0.461095714,0.59489,0.515629211,0.526537857,0.327163333,0.596991111,0.42872,0.252042,0.620461667,0.656996071,0.745819048,0.711416667,0.713008667,0.676795455,0.6738432,0.657585
15,0.55834,0.79245,0.38046375,0.486945,0.568855714,0.508232,0.570553333,0.680670533,0.659924737,0.615944571,0.523353571,0.531065238,0.488335,0.79954,0.736568966,0.74278193,0.665,0.669133077,0.522965758,0.60313,0.505313429,0.708327679,0.764949375,0.531085,0.4589725,0.451471667,0.606294545,0.396863125,0.660733889,0.697853443,0.652500667,0.5591544,0.48221,0.551315455,0.614774706,0.563245932,0.592833333,0.537201111,0.722872,0.4459,0.641293333,0.682882558,0.522077895,0.177616667,0.217032222,0.172652857,0.9126,0.84685,0.61942,0.636993333,0.481815714,0.419736667,0.494766579,0.582621429,0.36253,0.626321429,0.27141,0.163668,0.464555,0.509118214,0.651332381,0.564463333,0.735139333,0.73345,0.653616,0.614646667
16,0.466003333,0.49111,0.29894125,0.47088,0.589182857,0.47701,0.445446667,0.615042267,0.499641053,0.490792857,0.272512143,0.490556667,0.42004,0.77308,0.640842759,0.749921754,0.684743333,0.604228462,0.480849697,0.38262,0.410441143,0.668455357,0.76835,0.434013125,0.5986,0.485600333,0.738682727,0.541719375,0.689439444,0.581497541,0.656162667,0.5319875,0.7502,0.413792727,0.566391961,0.534884576,0.478653333,0.512323333,0.551562,0.421187,0.504291667,0.53276,0.366755263,0.12368,0.120272222,0.278571714,0.8763,0.84086,0.547846667,0.601814167,0.362347143,0.228186667,0.446096842,0.425608571,0.224035556,0.550252222,0.18239,0.164112,0.2588,0.6132275,0.459738571,0.407743333,0.642826,0.643335,0.5939648,0.525815
17,0.39016,0.69159,0.13905,0.37739,0.490012857,0.489766,0.43212,0.5132592,0.380863684,0.397518857,0.143484286,0.397389048,0.27464,0.68372,0.507253103,0.631815263,0.588213333,0.537616923,0.300190909,0.56515,0.366257429,0.548191964,0.674094688,0.324315,0.49602,0.4158385,0.625314545,0.408371875,0.598016111,0.502296557,0.589841778,0.4611505,0.76487,0.385376364,0.511561961,0.475770678,0.338431667,0.376673333,0.394266,0.250147,0.386396667,0.460452093,0.275431053,0.08261,0.068705556,0.175389143,0.77737,0.77493,0.417553333,0.474251667,0.306147143,0.253376667,0.356608158,0.400610714,0.237058889,0.539779683,0.11643,0.134902,0.154115,0.43083,0.253058571,0.275506667,0.598126667,0.628527273,0.53726,0.468153333
18,0.362603333,0.51628,0.056655,0.222785,0.378865714,0.471822,0.4086,0.316494533,0.236022105,0.213241143,0.056202143,0.167283333,0.17536,0.54548,0.342753448,0.536752281,0.517393333,0.290904615,0.205864242,0.38706,0.228315143,0.422509286,0.536656563,0.207983125,0.326605,0.3195135,0.452342727,0.27205375,0.4253,0.385587049,0.472459333,0.3482289,0.52306,0.204064545,0.364608824,0.338987119,0.066433333,0.065306667,0.203196,0.087129,0.206736667,0.276738605,0.194254737,0.086616667,0.035735556,0.132747714,0.59449,0.59197,0.104936667,0.119101667,0.284368571,0.306406667,0.299964211,0.30823,0.159086667,0.458919365,0.0936,0.10962,0.052518333,0.244896071,0.093721905,0.16051,0.428458,0.494622727,0.3498496,0.3166
19,0.285123333,0.2401,0,0.155095,0.232202857,0.288082,0,0,0,0,0,0,0,0,0.165975862,0.278905088,0.338866667,0,0,0,0,0.082881071,0.106845313,0.0151025,0.153543333,0.112148333,0.240393636,0.090836875,0.286578889,0.237919016,0.325114667,0.2199702,0.23242,0,0.093821176,0.079501695,0,0,0,0,0,0,0,0.038966667,0.007645556,0.083257714,0,0,0,0,0.193707143,0.210753333,0.160263421,0.168482857,0.154033333,0.316690635,0.07604,0.105862,0,0.091648929,0.021789524,0.006535,0,0.130033182,7.20E-06,0
20,0.05033,0.33471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138571,0.01644,0.00194,0,0,0.061290317,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
