Time_Index,h2_demand_N,h2_demand_NE,h2_demand_SE,h2_demand_S,Demand_Zero,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N
1,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,40851.10294,13193.59477,10678.20159,17191.35703
2,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,39881.12534,10266.08186,11195.32219,16977.85912
3,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,38446.05266,8896.579836,11564.82143,16566.32683
4,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,37405.47941,8309.438381,12412.57857,15773.50902
5,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,37064.98373,8266.522962,13545.80171,14186.131
6,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,37447.73419,9142.578267,13114.66354,14249.05014
7,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,38480.30944,10568.21975,13151.79132,13742.7016
8,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,42139.3898,13042.18376,14681.99774,11785.15141
9,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,44183.6814,15271.94881,15801.96939,11382.85635
10,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,46323.64363,15494.82003,16129.28884,11389.58657
11,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,47549.11426,15671.56074,15846.17078,11612.11917
12,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,48819.52264,14656.31999,16116.22086,11695.74842
13,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,48474.13014,13367.67355,16140.68637,11684.02939
14,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,48775.71776,15588.70922,16398.30531,11654.33402
15,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,48905.02834,17401.80861,16470.36171,12425.2614
16,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,49256.42059,17015.06405,15580.93068,13703.81843
17,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,48146.86267,16226.87281,13297.40099,16129.40477
18,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45616.56219,15034.20621,11773.53216,16986.76589
19,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,44555.53229,14154.01694,11839.45731,16903.67642
20,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,47209.68159,13825.67278,12905.02336,16846.73066
21,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,47400.66855,13984.33006,14116.62958,15879.31361
22,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,46652.96626,14037.13253,14325.85513,16181.36367
23,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,44263.4808,13948.83522,13884.84108,16598.85771
24,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,40859.93738,12761.90256,14169.19114,16323.1287
25,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,38684.42478,10927.5379,13739.02806,15889.59453
26,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,37169.86411,9822.20641,12715.78564,16204.97422
27,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,35688.2896,9030.538131,12192.14197,16276.40087
