Time_Index,h2_demand_N,h2_demand_NE,h2_demand_SE,h2_demand_S,Demand_Zero,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N
1,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,50403.22809,14671.87819,12509.94937,22251.74993
2,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,49489.38923,10973.6991,13601.51295,21531.20188
3,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,49246.29172,9096.548694,13021.54158,21277.53919
4,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48818.67692,8749.60156,11888.04987,20622.68769
5,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48731.90514,8878.472885,11804.59881,20598.13794
6,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48245.2744,11175.00466,11623.50699,20060.74521
7,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,49862.19613,12046.29127,12618.83646,19855.9279
8,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,53351.65174,14912.17062,14565.43291,19662.85128
9,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55340.12338,17453.57228,17082.45918,18377.78781
10,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56451.55266,18252.33152,19112.78721,16028.792
11,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,58459.23855,18751.89153,20224.90561,15129.46453
12,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,58334.32744,19376.00356,21447.79203,14966.07596
13,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,58698.91891,19218.09601,20496.98579,14851.91839
14,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60619.27714,20621.62886,19055.32509,15940.88346
15,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60238.33269,21249.64503,18044.5497,19331.5617
16,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60676.57263,20383.536,16549.56683,22155.07697
17,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,62471.06246,20785.0919,12894.87095,22727.03811
18,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,59320.79015,20149.56152,10912.69521,22915.33551
19,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57760.91435,20537.17747,11146.27849,24137.03515
20,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,59733.71433,21201.87982,11855.71751,24931.27166
21,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60420.3967,21243.75422,11484.14409,25246.9112
22,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60499.53005,21369.92165,10558.93108,25250.34895
23,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,59217.05669,21283.68187,9002.511446,25216.39248
24,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55284.0532,19869.21103,8371.525716,25083.20275
25,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,53433.77312,16357.24654,7746.933551,24622.18268
26,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,52972.90706,12612.48519,7648.289985,24350.86091
27,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,52654.17654,10268.31595,7668.05068,23746.98015
28,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,51994.00883,9573.959947,7780.686097,22231.16515
29,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,51091.97422,9788.242058,7927.949482,22676.24944
30,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,51327.42934,9659.113916,8639.902293,22825.20047
31,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,52044.20989,11417.80005,10302.31037,21773.05181
32,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54303.50186,14496.13452,13469.13988,21140.74482
33,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56372.36914,17575.13565,16776.45977,19826.08054
