Time_Index,Demand_fossil_Jetfuel,Demand_SAF_Jetfuel,Demand_Jetfuel,Demand_Flexfuel,Demand_BioDiesel,Demand_Diesel,Demand_Ethanol,Demand_Gasoline,elec_demand_S,elec_demand_NE,elec_demand_N
1,2248,439,1799,62359,8966,80695,3245,8775,13193.59477,10678.20159,17191.35703
2,2248,439,1799,62359,8966,80695,3245,8775,10266.08186,11195.32219,16977.85912
3,2248,439,1799,62359,8966,80695,3245,8775,8896.579836,11564.82143,16566.32683
4,2248,439,1799,62359,8966,80695,3245,8775,8309.438381,12412.57857,15773.50902
5,2248,439,1799,62359,8966,80695,3245,8775,8266.522962,13545.80171,14186.131
6,2248,439,1799,62359,8966,80695,3245,8775,9142.578267,13114.66354,14249.05014
7,2248,439,1799,62359,8966,80695,3245,8775,10568.21975,13151.79132,13742.7016
8,2248,439,1799,62359,8966,80695,3245,8775,13042.18376,14681.99774,11785.15141
9,2248,439,1799,62359,8966,80695,3245,8775,15271.94881,15801.96939,11382.85635
10,2248,439,1799,62359,8966,80695,3245,8775,15494.82003,16129.28884,11389.58657
11,2248,439,1799,62359,8966,80695,3245,8775,15671.56074,15846.17078,11612.11917
12,2248,439,1799,62359,8966,80695,3245,8775,14656.31999,16116.22086,11695.74842
13,2248,439,1799,62359,8966,80695,3245,8775,13367.67355,16140.68637,11684.02939
14,2248,439,1799,62359,8966,80695,3245,8775,15588.70922,16398.30531,11654.33402
15,2248,439,1799,62359,8966,80695,3245,8775,17401.80861,16470.36171,12425.2614
16,2248,439,1799,62359,8966,80695,3245,8775,17015.06405,15580.93068,13703.81843
17,2248,439,1799,62359,8966,80695,3245,8775,16226.87281,13297.40099,16129.40477
18,2248,439,1799,62359,8966,80695,3245,8775,15034.20621,11773.53216,16986.76589
19,2248,439,1799,62359,8966,80695,3245,8775,14154.01694,11839.45731,16903.67642
20,2248,439,1799,62359,8966,80695,3245,8775,13825.67278,12905.02336,16846.73066
21,2248,439,1799,62359,8966,80695,3245,8775,13984.33006,14116.62958,15879.31361
22,2248,439,1799,62359,8966,80695,3245,8775,14037.13253,14325.85513,16181.36367
