Time_index,AC_price1,AC_max1,AL_price1,AL_max1,AP_price1,AP_max1,AM_price1,AM_max1,BA_price1,BA_max1,BA_price2,BA_max2,BA_price3,BA_max3,CE_price1,CE_max1,CE_price2,CE_max2,CE_price3,CE_max3,DF_price1,DF_max1,DF_price2,DF_max2,DF_price3,DF_max3,ES_price1,ES_max1,ES_price2,ES_max2,ES_price3,ES_max3,GO_price1,GO_max1,GO_price2,GO_max2,GO_price3,GO_max3,MA_price1,MA_max1,MA_price2,MA_max2,MA_price3,MA_max3,MT_price1,MT_max1,MT_price2,MT_max2,MT_price3,MT_max3,MS_price1,MS_max1,MS_price2,MS_max2,MS_price3,MS_max3,MG_price1,MG_max1,MG_price2,MG_max2,MG_price3,MG_max3,PA_price1,PA_max1,PA_price2,PA_max2,PA_price3,PA_max3,PB_price1,PB_max1,PR_price1,PR_max1,PR_price2,PR_max2,PR_price3,PR_max3,PE_price1,PE_max1,PE_price2,PE_max2,PE_price3,PE_max3,PI_price1,PI_max1,PI_price2,PI_max2,PI_price3,PI_max3,RJ_price1,RJ_max1,RN_price1,RN_max1,RS_price1,RS_max1,RS_price2,RS_max2,RS_price3,RS_max3,RO_price1,RO_max1,RR_price1,RR_max1,SC_price1,SC_max1,SC_price2,SC_max2,SC_price3,SC_max3,SP_price1,SP_max1,SP_price2,SP_max2,SP_price3,SP_max3,SE_price1,SE_max1,SE_price2,SE_max2,SE_price3,SE_max3,TO_price1,TO_max1,TO_price2,TO_max2,TO_price3,TO_max3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.766666666666666,181.0,21139.933333333334,253.0,7880.133333333333,116.0,0.06666666666666667,179.0,0.26666666666666666,247.0,0.3333333333333333,116.0,3.2,137.0,24.0,233.0,12.033333333333333,116.0,1.9,117.0,0.06666666666666667,124.0,0.13333333333333333,108.0,1.1,179.0,37161.26666666667,257.0,6099.966666666666,116.0,2837.9,186.0,6016.7,257.0,5191.466666666666,111.0,97.6,184.0,61233.6,257.0,12298.533333333333,110.0,10.733333333333333,184.0,31644.033333333333,257.0,13535.3,113.0,3.966666666666667,180.0,25034.1,249.0,3237.4,116.0,0.06666666666666667,189.0,0.03333333333333333,242.0,0.03333333333333333,0.0,0.0,116.0,2371.866666666667,185.0,2681.366666666667,257.0,495.9,116.0,0.06666666666666667,164.0,0.2,247.0,0.16666666666666666,112.0,0.7666666666666667,180.0,2684.0,257.0,1987.5,0.0,0.0,0.0,0.0,116.0,27.833333333333332,181.0,265.46666666666664,257.0,126.96666666666667,116.0,0.16666666666666666,0.0,0.0,116.0,4.766666666666667,183.0,331.93333333333334,256.0,109.66666666666667,116.0,6371.7,170.0,5600.166666666667,257.0,539.2666666666667,120.0,0.16666666666666666,179.0,2.2333333333333334,247.0,5.833333333333333,113.0,1.2,184.0,12919.3,257.0,5176.433333333333
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.766666666666666,181.0,21139.933333333334,253.0,7880.133333333333,116.0,0.06666666666666667,179.0,0.26666666666666666,247.0,0.3333333333333333,116.0,3.2,137.0,24.0,233.0,12.033333333333333,116.0,1.9,117.0,0.06666666666666667,124.0,0.13333333333333333,108.0,1.1,179.0,37161.26666666667,257.0,6099.966666666666,116.0,2837.9,186.0,6016.7,257.0,5191.466666666666,111.0,97.6,184.0,61233.6,257.0,12298.533333333333,110.0,10.733333333333333,184.0,31644.033333333333,257.0,13535.3,113.0,3.966666666666667,180.0,25034.1,249.0,3237.4,116.0,0.06666666666666667,189.0,0.03333333333333333,242.0,0.03333333333333333,0.0,0.0,116.0,2371.866666666667,185.0,2681.366666666667,257.0,495.9,116.0,0.06666666666666667,164.0,0.2,247.0,0.16666666666666666,112.0,0.7666666666666667,180.0,2684.0,257.0,1987.5,0.0,0.0,0.0,0.0,116.0,27.833333333333332,181.0,265.46666666666664,257.0,126.96666666666667,116.0,0.16666666666666666,0.0,0.0,116.0,4.766666666666667,183.0,331.93333333333334,256.0,109.66666666666667,116.0,6371.7,170.0,5600.166666666667,257.0,539.2666666666667,120.0,0.16666666666666666,179.0,2.2333333333333334,247.0,5.833333333333333,113.0,1.2,184.0,12919.3,257.0,5176.433333333333
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.766666666666666,181.0,21139.933333333334,253.0,7880.133333333333,116.0,0.06666666666666667,179.0,0.26666666666666666,247.0,0.3333333333333333,116.0,3.2,137.0,24.0,233.0,12.033333333333333,116.0,1.9,117.0,0.06666666666666667,124.0,0.13333333333333333,108.0,1.1,179.0,37161.26666666667,257.0,6099.966666666666,116.0,2837.9,186.0,6016.7,257.0,5191.466666666666,111.0,97.6,184.0,61233.6,257.0,12298.533333333333,110.0,10.733333333333333,184.0,31644.033333333333,257.0,13535.3,113.0,3.966666666666667,180.0,25034.1,249.0,3237.4,116.0,0.06666666666666667,189.0,0.03333333333333333,242.0,0.03333333333333333,0.0,0.0,116.0,2371.866666666667,185.0,2681.366666666667,257.0,495.9,116.0,0.06666666666666667,164.0,0.2,247.0,0.16666666666666666,112.0,0.7666666666666667,180.0,2684.0,257.0,1987.5,0.0,0.0,0.0,0.0,116.0,27.833333333333332,181.0,265.46666666666664,257.0,126.96666666666667,116.0,0.16666666666666666,0.0,0.0,116.0,4.766666666666667,183.0,331.93333333333334,256.0,109.66666666666667,116.0,6371.7,170.0,5600.166666666667,257.0,539.2666666666667,120.0,0.16666666666666666,179.0,2.2333333333333334,247.0,5.833333333333333,113.0,1.2,184.0,12919.3,257.0,5176.433333333333
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.766666666666666,181.0,21139.933333333334,253.0,7880.133333333333,116.0,0.06666666666666667,179.0,0.26666666666666666,247.0,0.3333333333333333,116.0,3.2,137.0,24.0,233.0,12.033333333333333,116.0,1.9,117.0,0.06666666666666667,124.0,0.13333333333333333,108.0,1.1,179.0,37161.26666666667,257.0,6099.966666666666,116.0,2837.9,186.0,6016.7,257.0,5191.466666666666,111.0,97.6,184.0,61233.6,257.0,12298.533333333333,110.0,10.733333333333333,184.0,31644.033333333333,257.0,13535.3,113.0,3.966666666666667,180.0,25034.1,249.0,3237.4,116.0,0.06666666666666667,189.0,0.03333333333333333,242.0,0.03333333333333333,0.0,0.0,116.0,2371.866666666667,185.0,2681.366666666667,257.0,495.9,116.0,0.06666666666666667,164.0,0.2,247.0,0.16666666666666666,112.0,0.7666666666666667,180.0,2684.0,257.0,1987.5,0.0,0.0,0.0,0.0,116.0,27.833333333333332,181.0,265.46666666666664,257.0,126.96666666666667,116.0,0.16666666666666666,0.0,0.0,116.0,4.766666666666667,183.0,331.93333333333334,256.0,109.66666666666667,116.0,6371.7,170.0,5600.166666666667,257.0,539.2666666666667,120.0,0.16666666666666666,179.0,2.2333333333333334,247.0,5.833333333333333,113.0,1.2,184.0,12919.3,257.0,5176.433333333333
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.766666666666666,181.0,21139.933333333334,253.0,7880.133333333333,116.0,0.06666666666666667,179.0,0.26666666666666666,247.0,0.3333333333333333,116.0,3.2,137.0,24.0,233.0,12.033333333333333,116.0,1.9,117.0,0.06666666666666667,124.0,0.13333333333333333,108.0,1.1,179.0,37161.26666666667,257.0,6099.966666666666,116.0,2837.9,186.0,6016.7,257.0,5191.466666666666,111.0,97.6,184.0,61233.6,257.0,12298.533333333333,110.0,10.733333333333333,184.0,31644.033333333333,257.0,13535.3,113.0,3.966666666666667,180.0,25034.1,249.0,3237.4,116.0,0.06666666666666667,189.0,0.03333333333333333,242.0,0.03333333333333333,0.0,0.0,116.0,2371.866666666667,185.0,2681.366666666667,257.0,495.9,116.0,0.06666666666666667,164.0,0.2,247.0,0.16666666666666666,112.0,0.7666666666666667,180.0,2684.0,257.0,1987.5,0.0,0.0,0.0,0.0,116.0,27.833333333333332,181.0,265.46666666666664,257.0,126.96666666666667,116.0,0.16666666666666666,0.0,0.0,116.0,4.766666666666667,183.0,331.93333333333334,256.0,109.66666666666667,116.0,6371.7,170.0,5600.166666666667,257.0,539.2666666666667,120.0,0.16666666666666666,179.0,2.2333333333333334,247.0,5.833333333333333,113.0,1.2,184.0,12919.3,257.0,5176.433333333333
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.766666666666666,181.0,21139.933333333334,253.0,7880.133333333333,116.0,0.06666666666666667,179.0,0.26666666666666666,247.0,0.3333333333333333,116.0,3.2,137.0,24.0,233.0,12.033333333333333,116.0,1.9,117.0,0.06666666666666667,124.0,0.13333333333333333,108.0,1.1,179.0,37161.26666666667,257.0,6099.966666666666,116.0,2837.9,186.0,6016.7,257.0,5191.466666666666,111.0,97.6,184.0,61233.6,257.0,12298.533333333333,110.0,10.733333333333333,184.0,31644.033333333333,257.0,13535.3,113.0,3.966666666666667,180.0,25034.1,249.0,3237.4,116.0,0.06666666666666667,189.0,0.03333333333333333,242.0,0.03333333333333333,0.0,0.0,116.0,2371.866666666667,185.0,2681.366666666667,257.0,495.9,116.0,0.06666666666666667,164.0,0.2,247.0,0.16666666666666666,112.0,0.7666666666666667,180.0,2684.0,257.0,1987.5,0.0,0.0,0.0,0.0,116.0,27.833333333333332,181.0,265.46666666666664,257.0,126.96666666666667,116.0,0.16666666666666666,0.0,0.0,116.0,4.766666666666667,183.0,331.93333333333334,256.0,109.66666666666667,116.0,6371.7,170.0,5600.166666666667,257.0,539.2666666666667,120.0,0.16666666666666666,179.0,2.2333333333333334,247.0,5.833333333333333,113.0,1.2,184.0,12919.3,257.0,5176.433333333333
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.766666666666666,181.0,21139.933333333334,253.0,7880.133333333333,116.0,0.06666666666666667,179.0,0.26666666666666666,247.0,0.3333333333333333,116.0,3.2,137.0,24.0,233.0,12.033333333333333,116.0,1.9,117.0,0.06666666666666667,124.0,0.13333333333333333,108.0,1.1,179.0,37161.26666666667,257.0,6099.966666666666,116.0,2837.9,186.0,6016.7,257.0,5191.466666666666,111.0,97.6,184.0,61233.6,257.0,12298.533333333333,110.0,10.733333333333333,184.0,31644.033333333333,257.0,13535.3,113.0,3.966666666666667,180.0,25034.1,249.0,3237.4,116.0,0.06666666666666667,189.0,0.03333333333333333,242.0,0.03333333333333333,0.0,0.0,116.0,2371.866666666667,185.0,2681.366666666667,257.0,495.9,116.0,0.06666666666666667,164.0,0.2,247.0,0.16666666666666666,112.0,0.7666666666666667,180.0,2684.0,257.0,1987.5,0.0,0.0,0.0,0.0,116.0,27.833333333333332,181.0,265.46666666666664,257.0,126.96666666666667,116.0,0.16666666666666666,0.0,0.0,116.0,4.766666666666667,183.0,331.93333333333334,256.0,109.66666666666667,116.0,6371.7,170.0,5600.166666666667,257.0,539.2666666666667,120.0,0.16666666666666666,179.0,2.2333333333333334,247.0,5.833333333333333,113.0,1.2,184.0,12919.3,257.0,5176.433333333333
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.766666666666666,181.0,21139.933333333334,253.0,7880.133333333333,116.0,0.06666666666666667,179.0,0.26666666666666666,247.0,0.3333333333333333,116.0,3.2,137.0,24.0,233.0,12.033333333333333,116.0,1.9,117.0,0.06666666666666667,124.0,0.13333333333333333,108.0,1.1,179.0,37161.26666666667,257.0,6099.966666666666,116.0,2837.9,186.0,6016.7,257.0,5191.466666666666,111.0,97.6,184.0,61233.6,257.0,12298.533333333333,110.0,10.733333333333333,184.0,31644.033333333333,257.0,13535.3,113.0,3.966666666666667,180.0,25034.1,249.0,3237.4,116.0,0.06666666666666667,189.0,0.03333333333333333,242.0,0.03333333333333333,0.0,0.0,116.0,2371.866666666667,185.0,2681.366666666667,257.0,495.9,116.0,0.06666666666666667,164.0,0.2,247.0,0.16666666666666666,112.0,0.7666666666666667,180.0,2684.0,257.0,1987.5,0.0,0.0,0.0,0.0,116.0,27.833333333333332,181.0,265.46666666666664,257.0,126.96666666666667,116.0,0.16666666666666666,0.0,0.0,116.0,4.766666666666667,183.0,331.93333333333334,256.0,109.66666666666667,116.0,6371.7,170.0,5600.166666666667,257.0,539.2666666666667,120.0,0.16666666666666666,179.0,2.2333333333333334,247.0,5.833333333333333,113.0,1.2,184.0,12919.3,257.0,5176.433333333333
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.766666666666666,181.0,21139.933333333334,253.0,7880.133333333333,116.0,0.06666666666666667,179.0,0.26666666666666666,247.0,0.3333333333333333,116.0,3.2,137.0,24.0,233.0,12.033333333333333,116.0,1.9,117.0,0.06666666666666667,124.0,0.13333333333333333,108.0,1.1,179.0,37161.26666666667,257.0,6099.966666666666,116.0,2837.9,186.0,6016.7,257.0,5191.466666666666,111.0,97.6,184.0,61233.6,257.0,12298.533333333333,110.0,10.733333333333333,184.0,31644.033333333333,257.0,13535.3,113.0,3.966666666666667,180.0,25034.1,249.0,3237.4,116.0,0.06666666666666667,189.0,0.03333333333333333,242.0,0.03333333333333333,0.0,0.0,116.0,2371.866666666667,185.0,2681.366666666667,257.0,495.9,116.0,0.06666666666666667,164.0,0.2,247.0,0.16666666666666666,112.0,0.7666666666666667,180.0,2684.0,257.0,1987.5,0.0,0.0,0.0,0.0,116.0,27.833333333333332,181.0,265.46666666666664,257.0,126.96666666666667,116.0,0.16666666666666666,0.0,0.0,116.0,4.766666666666667,183.0,331.93333333333334,256.0,109.66666666666667,116.0,6371.7,170.0,5600.166666666667,257.0,539.2666666666667,120.0,0.16666666666666666,179.0,2.2333333333333334,247.0,5.833333333333333,113.0,1.2,184.0,12919.3,257.0,5176.433333333333
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.766666666666666,181.0,21139.933333333334,253.0,7880.133333333333,116.0,0.06666666666666667,179.0,0.26666666666666666,247.0,0.3333333333333333,116.0,3.2,137.0,24.0,233.0,12.033333333333333,116.0,1.9,117.0,0.06666666666666667,124.0,0.13333333333333333,108.0,1.1,179.0,37161.26666666667,257.0,6099.966666666666,116.0,2837.9,186.0,6016.7,257.0,5191.466666666666,111.0,97.6,184.0,61233.6,257.0,12298.533333333333,110.0,10.733333333333333,184.0,31644.033333333333,257.0,13535.3,113.0,3.966666666666667,180.0,25034.1,249.0,3237.4,116.0,0.06666666666666667,189.0,0.03333333333333333,242.0,0.03333333333333333,0.0,0.0,116.0,2371.866666666667,185.0,2681.366666666667,257.0,495.9,116.0,0.06666666666666667,164.0,0.2,247.0,0.16666666666666666,112.0,0.7666666666666667,180.0,2684.0,257.0,1987.5,0.0,0.0,0.0,0.0,116.0,27.833333333333332,181.0,265.46666666666664,257.0,126.96666666666667,116.0,0.16666666666666666,0.0,0.0,116.0,4.766666666666667,183.0,331.93333333333334,256.0,109.66666666666667,116.0,6371.7,170.0,5600.166666666667,257.0,539.2666666666667,120.0,0.16666666666666666,179.0,2.2333333333333334,247.0,5.833333333333333,113.0,1.2,184.0,12919.3,257.0,5176.433333333333
