Time_index,AC_price1,AC_max1,AL_price1,AL_max1,AP_price1,AP_max1,AM_price1,AM_max1,BA_price1,BA_max1,BA_price2,BA_max2,BA_price3,BA_max3,CE_price1,CE_max1,CE_price2,CE_max2,CE_price3,CE_max3,DF_price1,DF_max1,DF_price2,DF_max2,DF_price3,DF_max3,ES_price1,ES_max1,ES_price2,ES_max2,ES_price3,ES_max3,GO_price1,GO_max1,GO_price2,GO_max2,GO_price3,GO_max3,MA_price1,MA_max1,MA_price2,MA_max2,MA_price3,MA_max3,MT_price1,MT_max1,MT_price2,MT_max2,MT_price3,MT_max3,MS_price1,MS_max1,MS_price2,MS_max2,MS_price3,MS_max3,MG_price1,MG_max1,MG_price2,MG_max2,MG_price3,MG_max3,PA_price1,PA_max1,PA_price2,PA_max2,PA_price3,PA_max3,PB_price1,PB_max1,PR_price1,PR_max1,PR_price2,PR_max2,PR_price3,PR_max3,PE_price1,PE_max1,PE_price2,PE_max2,PE_price3,PE_max3,PI_price1,PI_max1,PI_price2,PI_max2,PI_price3,PI_max3,RJ_price1,RJ_max1,RJ_price2,RJ_max2,RJ_price3,RJ_max3,RN_price1,RN_max1,RS_price1,RS_max1,RS_price2,RS_max2,RS_price3,RS_max3,RO_price1,RO_max1,RO_price2,RO_max2,RR_price1,RR_max1,SC_price1,SC_max1,SC_price2,SC_max2,SC_price3,SC_max3,SP_price1,SP_max1,SP_price2,SP_max2,SP_price3,SP_max3,SE_price1,SE_max1,SE_price2,SE_max2,SE_price3,SE_max3,TO_price1,TO_max1,TO_price2,TO_max2,TO_price3,TO_max3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.933333333333334,19.0,625533.5333333333,26.0,753016.6333333333,17.0,38.2,19.0,14917.633333333333,24.0,27.033333333333335,13.0,0.0,17.0,1.6666666666666667,24.0,0.3333333333333333,14.0,0.03333333333333333,17.0,449.1666666666667,26.0,1144.9333333333334,12.0,0.03333333333333333,19.0,7467.333333333333,27.0,8086.733333333334,12.0,2.466666666666667,19.0,175766.26666666666,26.0,410278.56666666665,11.0,0.03333333333333333,18.0,15366.033333333333,25.0,15148.666666666666,11.0,0.0,18.0,10013.366666666667,25.0,9233.333333333334,11.0,0.13333333333333333,20.0,26160.7,28.0,4231.7,23.0,0.0,23.0,0.0,24.0,0.0,17.0,17582.033333333333,13.0,0.0,20.0,2.433333333333333,27.0,0.3,17.0,28.933333333333334,17.0,39955.566666666666,24.0,8.633333333333333,12.0,1.2333333333333334,19.0,90751.83333333333,25.0,120992.06666666667,15.0,891.5666666666667,17.0,1408.3,19.0,112.4,17.0,23346.2,15.0,0.0,22.0,0.06666666666666667,26.0,0.03333333333333333,16.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,28.0,0.1,12.0,0.03333333333333333,20.0,36096.9,28.0,1406.8333333333333,19.0,32848.2,23.0,44.3,24.0,710.0333333333333,12.0,0.0,19.0,0.0,25.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.933333333333334,19.0,625533.5333333333,26.0,753016.6333333333,17.0,38.2,19.0,14917.633333333333,24.0,27.033333333333335,13.0,0.0,17.0,1.6666666666666667,24.0,0.3333333333333333,14.0,0.03333333333333333,17.0,449.1666666666667,26.0,1144.9333333333334,12.0,0.03333333333333333,19.0,7467.333333333333,27.0,8086.733333333334,12.0,2.466666666666667,19.0,175766.26666666666,26.0,410278.56666666665,11.0,0.03333333333333333,18.0,15366.033333333333,25.0,15148.666666666666,11.0,0.0,18.0,10013.366666666667,25.0,9233.333333333334,11.0,0.13333333333333333,20.0,26160.7,28.0,4231.7,23.0,0.0,23.0,0.0,24.0,0.0,17.0,17582.033333333333,13.0,0.0,20.0,2.433333333333333,27.0,0.3,17.0,28.933333333333334,17.0,39955.566666666666,24.0,8.633333333333333,12.0,1.2333333333333334,19.0,90751.83333333333,25.0,120992.06666666667,15.0,891.5666666666667,17.0,1408.3,19.0,112.4,17.0,23346.2,15.0,0.0,22.0,0.06666666666666667,26.0,0.03333333333333333,16.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,28.0,0.1,12.0,0.03333333333333333,20.0,36096.9,28.0,1406.8333333333333,19.0,32848.2,23.0,44.3,24.0,710.0333333333333,12.0,0.0,19.0,0.0,25.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.933333333333334,19.0,625533.5333333333,26.0,753016.6333333333,17.0,38.2,19.0,14917.633333333333,24.0,27.033333333333335,13.0,0.0,17.0,1.6666666666666667,24.0,0.3333333333333333,14.0,0.03333333333333333,17.0,449.1666666666667,26.0,1144.9333333333334,12.0,0.03333333333333333,19.0,7467.333333333333,27.0,8086.733333333334,12.0,2.466666666666667,19.0,175766.26666666666,26.0,410278.56666666665,11.0,0.03333333333333333,18.0,15366.033333333333,25.0,15148.666666666666,11.0,0.0,18.0,10013.366666666667,25.0,9233.333333333334,11.0,0.13333333333333333,20.0,26160.7,28.0,4231.7,23.0,0.0,23.0,0.0,24.0,0.0,17.0,17582.033333333333,13.0,0.0,20.0,2.433333333333333,27.0,0.3,17.0,28.933333333333334,17.0,39955.566666666666,24.0,8.633333333333333,12.0,1.2333333333333334,19.0,90751.83333333333,25.0,120992.06666666667,15.0,891.5666666666667,17.0,1408.3,19.0,112.4,17.0,23346.2,15.0,0.0,22.0,0.06666666666666667,26.0,0.03333333333333333,16.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,28.0,0.1,12.0,0.03333333333333333,20.0,36096.9,28.0,1406.8333333333333,19.0,32848.2,23.0,44.3,24.0,710.0333333333333,12.0,0.0,19.0,0.0,25.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.933333333333334,19.0,625533.5333333333,26.0,753016.6333333333,17.0,38.2,19.0,14917.633333333333,24.0,27.033333333333335,13.0,0.0,17.0,1.6666666666666667,24.0,0.3333333333333333,14.0,0.03333333333333333,17.0,449.1666666666667,26.0,1144.9333333333334,12.0,0.03333333333333333,19.0,7467.333333333333,27.0,8086.733333333334,12.0,2.466666666666667,19.0,175766.26666666666,26.0,410278.56666666665,11.0,0.03333333333333333,18.0,15366.033333333333,25.0,15148.666666666666,11.0,0.0,18.0,10013.366666666667,25.0,9233.333333333334,11.0,0.13333333333333333,20.0,26160.7,28.0,4231.7,23.0,0.0,23.0,0.0,24.0,0.0,17.0,17582.033333333333,13.0,0.0,20.0,2.433333333333333,27.0,0.3,17.0,28.933333333333334,17.0,39955.566666666666,24.0,8.633333333333333,12.0,1.2333333333333334,19.0,90751.83333333333,25.0,120992.06666666667,15.0,891.5666666666667,17.0,1408.3,19.0,112.4,17.0,23346.2,15.0,0.0,22.0,0.06666666666666667,26.0,0.03333333333333333,16.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,28.0,0.1,12.0,0.03333333333333333,20.0,36096.9,28.0,1406.8333333333333,19.0,32848.2,23.0,44.3,24.0,710.0333333333333,12.0,0.0,19.0,0.0,25.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.933333333333334,19.0,625533.5333333333,26.0,753016.6333333333,17.0,38.2,19.0,14917.633333333333,24.0,27.033333333333335,13.0,0.0,17.0,1.6666666666666667,24.0,0.3333333333333333,14.0,0.03333333333333333,17.0,449.1666666666667,26.0,1144.9333333333334,12.0,0.03333333333333333,19.0,7467.333333333333,27.0,8086.733333333334,12.0,2.466666666666667,19.0,175766.26666666666,26.0,410278.56666666665,11.0,0.03333333333333333,18.0,15366.033333333333,25.0,15148.666666666666,11.0,0.0,18.0,10013.366666666667,25.0,9233.333333333334,11.0,0.13333333333333333,20.0,26160.7,28.0,4231.7,23.0,0.0,23.0,0.0,24.0,0.0,17.0,17582.033333333333,13.0,0.0,20.0,2.433333333333333,27.0,0.3,17.0,28.933333333333334,17.0,39955.566666666666,24.0,8.633333333333333,12.0,1.2333333333333334,19.0,90751.83333333333,25.0,120992.06666666667,15.0,891.5666666666667,17.0,1408.3,19.0,112.4,17.0,23346.2,15.0,0.0,22.0,0.06666666666666667,26.0,0.03333333333333333,16.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,28.0,0.1,12.0,0.03333333333333333,20.0,36096.9,28.0,1406.8333333333333,19.0,32848.2,23.0,44.3,24.0,710.0333333333333,12.0,0.0,19.0,0.0,25.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.933333333333334,19.0,625533.5333333333,26.0,753016.6333333333,17.0,38.2,19.0,14917.633333333333,24.0,27.033333333333335,13.0,0.0,17.0,1.6666666666666667,24.0,0.3333333333333333,14.0,0.03333333333333333,17.0,449.1666666666667,26.0,1144.9333333333334,12.0,0.03333333333333333,19.0,7467.333333333333,27.0,8086.733333333334,12.0,2.466666666666667,19.0,175766.26666666666,26.0,410278.56666666665,11.0,0.03333333333333333,18.0,15366.033333333333,25.0,15148.666666666666,11.0,0.0,18.0,10013.366666666667,25.0,9233.333333333334,11.0,0.13333333333333333,20.0,26160.7,28.0,4231.7,23.0,0.0,23.0,0.0,24.0,0.0,17.0,17582.033333333333,13.0,0.0,20.0,2.433333333333333,27.0,0.3,17.0,28.933333333333334,17.0,39955.566666666666,24.0,8.633333333333333,12.0,1.2333333333333334,19.0,90751.83333333333,25.0,120992.06666666667,15.0,891.5666666666667,17.0,1408.3,19.0,112.4,17.0,23346.2,15.0,0.0,22.0,0.06666666666666667,26.0,0.03333333333333333,16.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,28.0,0.1,12.0,0.03333333333333333,20.0,36096.9,28.0,1406.8333333333333,19.0,32848.2,23.0,44.3,24.0,710.0333333333333,12.0,0.0,19.0,0.0,25.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.933333333333334,19.0,625533.5333333333,26.0,753016.6333333333,17.0,38.2,19.0,14917.633333333333,24.0,27.033333333333335,13.0,0.0,17.0,1.6666666666666667,24.0,0.3333333333333333,14.0,0.03333333333333333,17.0,449.1666666666667,26.0,1144.9333333333334,12.0,0.03333333333333333,19.0,7467.333333333333,27.0,8086.733333333334,12.0,2.466666666666667,19.0,175766.26666666666,26.0,410278.56666666665,11.0,0.03333333333333333,18.0,15366.033333333333,25.0,15148.666666666666,11.0,0.0,18.0,10013.366666666667,25.0,9233.333333333334,11.0,0.13333333333333333,20.0,26160.7,28.0,4231.7,23.0,0.0,23.0,0.0,24.0,0.0,17.0,17582.033333333333,13.0,0.0,20.0,2.433333333333333,27.0,0.3,17.0,28.933333333333334,17.0,39955.566666666666,24.0,8.633333333333333,12.0,1.2333333333333334,19.0,90751.83333333333,25.0,120992.06666666667,15.0,891.5666666666667,17.0,1408.3,19.0,112.4,17.0,23346.2,15.0,0.0,22.0,0.06666666666666667,26.0,0.03333333333333333,16.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,28.0,0.1,12.0,0.03333333333333333,20.0,36096.9,28.0,1406.8333333333333,19.0,32848.2,23.0,44.3,24.0,710.0333333333333,12.0,0.0,19.0,0.0,25.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.933333333333334,19.0,625533.5333333333,26.0,753016.6333333333,17.0,38.2,19.0,14917.633333333333,24.0,27.033333333333335,13.0,0.0,17.0,1.6666666666666667,24.0,0.3333333333333333,14.0,0.03333333333333333,17.0,449.1666666666667,26.0,1144.9333333333334,12.0,0.03333333333333333,19.0,7467.333333333333,27.0,8086.733333333334,12.0,2.466666666666667,19.0,175766.26666666666,26.0,410278.56666666665,11.0,0.03333333333333333,18.0,15366.033333333333,25.0,15148.666666666666,11.0,0.0,18.0,10013.366666666667,25.0,9233.333333333334,11.0,0.13333333333333333,20.0,26160.7,28.0,4231.7,23.0,0.0,23.0,0.0,24.0,0.0,17.0,17582.033333333333,13.0,0.0,20.0,2.433333333333333,27.0,0.3,17.0,28.933333333333334,17.0,39955.566666666666,24.0,8.633333333333333,12.0,1.2333333333333334,19.0,90751.83333333333,25.0,120992.06666666667,15.0,891.5666666666667,17.0,1408.3,19.0,112.4,17.0,23346.2,15.0,0.0,22.0,0.06666666666666667,26.0,0.03333333333333333,16.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,28.0,0.1,12.0,0.03333333333333333,20.0,36096.9,28.0,1406.8333333333333,19.0,32848.2,23.0,44.3,24.0,710.0333333333333,12.0,0.0,19.0,0.0,25.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.933333333333334,19.0,625533.5333333333,26.0,753016.6333333333,17.0,38.2,19.0,14917.633333333333,24.0,27.033333333333335,13.0,0.0,17.0,1.6666666666666667,24.0,0.3333333333333333,14.0,0.03333333333333333,17.0,449.1666666666667,26.0,1144.9333333333334,12.0,0.03333333333333333,19.0,7467.333333333333,27.0,8086.733333333334,12.0,2.466666666666667,19.0,175766.26666666666,26.0,410278.56666666665,11.0,0.03333333333333333,18.0,15366.033333333333,25.0,15148.666666666666,11.0,0.0,18.0,10013.366666666667,25.0,9233.333333333334,11.0,0.13333333333333333,20.0,26160.7,28.0,4231.7,23.0,0.0,23.0,0.0,24.0,0.0,17.0,17582.033333333333,13.0,0.0,20.0,2.433333333333333,27.0,0.3,17.0,28.933333333333334,17.0,39955.566666666666,24.0,8.633333333333333,12.0,1.2333333333333334,19.0,90751.83333333333,25.0,120992.06666666667,15.0,891.5666666666667,17.0,1408.3,19.0,112.4,17.0,23346.2,15.0,0.0,22.0,0.06666666666666667,26.0,0.03333333333333333,16.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,28.0,0.1,12.0,0.03333333333333333,20.0,36096.9,28.0,1406.8333333333333,19.0,32848.2,23.0,44.3,24.0,710.0333333333333,12.0,0.0,19.0,0.0,25.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.933333333333334,19.0,625533.5333333333,26.0,753016.6333333333,17.0,38.2,19.0,14917.633333333333,24.0,27.033333333333335,13.0,0.0,17.0,1.6666666666666667,24.0,0.3333333333333333,14.0,0.03333333333333333,17.0,449.1666666666667,26.0,1144.9333333333334,12.0,0.03333333333333333,19.0,7467.333333333333,27.0,8086.733333333334,12.0,2.466666666666667,19.0,175766.26666666666,26.0,410278.56666666665,11.0,0.03333333333333333,18.0,15366.033333333333,25.0,15148.666666666666,11.0,0.0,18.0,10013.366666666667,25.0,9233.333333333334,11.0,0.13333333333333333,20.0,26160.7,28.0,4231.7,23.0,0.0,23.0,0.0,24.0,0.0,17.0,17582.033333333333,13.0,0.0,20.0,2.433333333333333,27.0,0.3,17.0,28.933333333333334,17.0,39955.566666666666,24.0,8.633333333333333,12.0,1.2333333333333334,19.0,90751.83333333333,25.0,120992.06666666667,15.0,891.5666666666667,17.0,1408.3,19.0,112.4,17.0,23346.2,15.0,0.0,22.0,0.06666666666666667,26.0,0.03333333333333333,16.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,28.0,0.1,12.0,0.03333333333333333,20.0,36096.9,28.0,1406.8333333333333,19.0,32848.2,23.0,44.3,24.0,710.0333333333333,12.0,0.0,19.0,0.0,25.0,0.0
