Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction,Note
OneWayTransmissionLink,BR_AC_CO2_Pipeline,BR_AC,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_AC,co2_transported_BR_AC,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_AL_CO2_Pipeline,BR_AL,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_AL,co2_transported_BR_AL,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_AP_CO2_Pipeline,BR_AP,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_AP,co2_transported_BR_AP,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_AM_CO2_Pipeline,BR_AM,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_AM,co2_transported_BR_AM,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_BA_CO2_Pipeline,BR_BA,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_BA,co2_transported_BR_BA,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_CE_CO2_Pipeline,BR_CE,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_CE,co2_transported_BR_CE,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_DF_CO2_Pipeline,BR_DF,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_DF,co2_transported_BR_DF,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_ES_CO2_Pipeline,BR_ES,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_ES,co2_transported_BR_ES,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_GO_CO2_Pipeline,BR_GO,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_GO,co2_transported_BR_GO,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_MA_CO2_Pipeline,BR_MA,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_MA,co2_transported_BR_MA,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_MT_CO2_Pipeline,BR_MT,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_MT,co2_transported_BR_MT,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_MS_CO2_Pipeline,BR_MS,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_MS,co2_transported_BR_MS,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_MG_CO2_Pipeline,BR_MG,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_MG,co2_transported_BR_MG,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_PA_CO2_Pipeline,BR_PA,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_PA,co2_transported_BR_PA,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_PB_CO2_Pipeline,BR_PB,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_PB,co2_transported_BR_PB,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_PR_CO2_Pipeline,BR_PR,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_PR,co2_transported_BR_PR,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_PE_CO2_Pipeline,BR_PE,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_PE,co2_transported_BR_PE,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_PI_CO2_Pipeline,BR_PI,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_PI,co2_transported_BR_PI,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_RJ_CO2_Pipeline,BR_RJ,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_RJ,co2_transported_BR_RJ,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_RN_CO2_Pipeline,BR_RN,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_RN,co2_transported_BR_RN,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_RS_CO2_Pipeline,BR_RS,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_RS,co2_transported_BR_RS,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_RO_CO2_Pipeline,BR_RO,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_RO,co2_transported_BR_RO,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_RR_CO2_Pipeline,BR_RR,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_RR,co2_transported_BR_RR,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_SC_CO2_Pipeline,BR_SC,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_SC,co2_transported_BR_SC,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_SP_CO2_Pipeline,BR_SP,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_SP,co2_transported_BR_SP,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_SE_CO2_Pipeline,BR_SE,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_SE,co2_transported_BR_SE,300,0,1000,30,5,0.08,25,15,0,WIP
OneWayTransmissionLink,BR_TO_CO2_Pipeline,BR_TO,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_TO,co2_transported_BR_TO,300,0,1000,30,5,0.08,25,15,0,WIP
