Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
1,91.61,2277.83,1302.41,571.63,6138.25,3106.73,413.41,941.46,3999.09,3964.21,14148.85,2185.26,3487.06,4027.35,1028.19,1766.74,3691.9,9522.35,8575.12,5988.29,2175.54,238.08,5209.5,3922.63,223.55,12323.99,1316.74
2,103.89,2220.16,1336.28,524.63,5706.49,2645.77,398.55,908.3,4012.75,3896.07,13866.19,2243.57,3602.22,4002.4,956.47,1701.64,3341.21,9181.84,8587.32,5368.3,2211.14,242.87,5090.32,3489.39,217.68,12397.86,1313.82
3,114.18,2050.73,1411.48,492.03,6083.19,2666.49,317.09,842.21,3845.34,3951.35,14277.04,2164.05,3521.19,4093.14,903.62,1685.18,3419.08,9077.6,8566.13,5861.08,2203.26,242.45,5551.72,3683.29,191.28,12400.66,1277.17
4,107.15,1851.11,1472.22,621.23,6403.59,2816.38,225.99,756.21,3846.46,3793.65,14935.32,1999.18,3284.47,3907.74,923.59,1669.96,3383.06,8965.45,8589.47,6574.23,2799.98,267.92,5859.89,3905.06,148.36,12059.25,1201.97
5,86.46,1602.47,1500.32,755.5,6261.81,3000.97,133.9,603.77,4012.71,3719.16,14828.76,1765.51,2917.21,4523.76,882.11,1460.96,2916.74,9702.34,8206.49,7159.16,4106.08,287.48,5655.35,4488.46,94.53,11690.45,1096.85
6,63.58,1367.97,1518.57,800.91,6820.7,2436.0,67.91,466.53,4182.33,3561.5,14068.26,1445.5,2404.26,6092.57,797.97,1274.31,2486.42,12471.02,7892.77,7404.17,4215.07,286.28,5169.32,6614.16,41.18,11791.4,972.56
7,37.3,1306.8,1402.74,746.03,8420.98,1930.91,9.78,434.14,3979.19,3378.97,12421.25,1089.75,2044.8,7413.19,699.24,1524.41,1863.97,15823.55,7813.34,7549.16,4230.22,273.17,5170.39,7505.23,11.0,12631.16,868.14
8,12.22,1334.77,1364.64,722.83,11972.64,1959.58,0.04,439.81,3793.58,3365.11,12252.32,958.62,1926.14,10459.77,705.0,2205.11,1923.69,16420.42,7823.55,8016.38,4224.73,258.37,5321.78,7745.86,7.98,13232.95,835.48
9,0.41,1333.43,1346.87,725.27,14149.81,2193.73,0.0,437.93,3726.52,3350.22,11857.61,959.98,2043.26,9065.08,758.37,2181.08,2482.25,16436.58,7842.4,7807.17,4244.9,251.44,5533.09,7808.06,7.97,11365.38,834.49
10,0.0,1341.0,1351.49,694.62,15490.24,2033.45,0.0,438.59,3581.35,3351.38,11458.85,962.29,1912.93,6916.36,869.01,2223.93,3482.8,15973.29,7671.89,7233.38,4258.16,270.96,5690.39,7836.54,9.29,10028.74,835.38
11,0.0,1338.12,1347.31,673.53,15422.58,2115.44,0.0,438.36,3411.53,3381.76,11423.46,963.49,1693.23,5605.45,869.95,2168.28,4232.25,15509.3,7534.35,6770.74,4159.85,282.73,5835.27,7849.56,9.29,9252.51,833.11
12,0.0,1307.0,1352.33,632.44,15042.37,2081.78,0.0,397.5,3153.09,3408.11,10675.86,962.25,1613.68,4304.73,903.14,1615.75,4642.63,14412.92,7533.68,6458.59,4128.9,295.07,5988.5,7738.44,9.29,8252.38,831.97
13,0.0,1237.63,1358.96,608.72,13948.22,1996.9,0.0,396.15,3080.12,3406.13,9088.51,965.45,1620.99,3981.12,888.52,1007.26,5116.81,12059.59,7539.27,6190.09,4125.55,298.34,5854.53,6999.89,9.29,8044.43,832.99
14,0.0,1238.19,1364.46,651.33,13722.38,2060.39,0.0,383.5,2669.53,3400.63,7137.67,930.29,1577.23,3395.9,907.68,809.37,5085.76,10432.15,7642.37,5656.08,4029.37,298.37,5539.05,6054.81,7.97,7589.07,857.16
15,0.0,1232.16,1362.78,686.94,13803.84,2103.52,0.0,385.85,2445.22,3381.11,5929.1,943.55,1573.79,3136.31,1037.21,832.24,4905.49,8468.07,7870.48,5787.05,4000.82,287.1,5365.3,5009.93,7.97,7521.7,868.75
16,0.0,1237.07,1368.2,706.68,13941.84,2196.0,0.0,387.56,2449.6,3403.08,5591.32,956.01,1570.95,3075.74,1031.02,781.48,5097.68,7237.92,7885.09,5750.27,3505.48,270.35,5466.95,4086.97,7.97,7430.18,870.33
17,0.0,1237.59,1559.65,728.82,13945.36,2095.07,0.0,387.64,2453.91,3389.21,5344.42,959.53,1571.21,3076.43,1015.1,806.92,5419.04,6568.94,7879.63,5796.21,3265.29,254.93,5503.79,3679.67,7.97,7314.54,870.56
18,0.0,1252.09,1478.07,763.2,13977.71,1747.31,0.0,390.16,2454.66,3302.7,5463.24,967.58,1577.07,3077.25,1000.55,766.58,5373.02,7538.72,7567.39,5812.48,3038.25,240.15,5488.95,4016.86,7.97,7354.12,875.5
19,0.0,1268.85,1469.22,765.23,14126.32,1653.11,0.0,391.39,2450.25,3309.41,5610.31,972.56,1577.12,3296.34,993.74,713.17,5242.28,8807.8,7268.61,5634.56,3532.81,230.98,5754.49,4862.6,8.64,7520.69,872.15
20,0.0,1436.83,1461.06,766.73,14043.34,2171.79,12.55,462.1,2482.7,3303.18,6019.83,974.25,1586.94,3187.91,1105.46,1052.56,5464.61,9833.78,6796.16,5921.37,3939.33,219.66,6093.56,6519.41,30.48,7829.54,892.79
21,1.65,1695.27,1478.74,775.42,12485.81,2965.05,98.12,671.89,2821.66,3457.14,8160.13,1070.0,1799.33,3345.63,1307.01,1414.82,6146.9,10114.65,7009.68,6374.53,3871.8,192.83,6266.42,6343.36,77.34,9009.68,998.64
22,18.45,1912.67,1534.14,646.41,11837.85,3127.78,214.27,893.17,3281.86,3581.58,10906.44,1449.38,2309.31,3484.97,1342.39,1502.2,6002.02,8615.58,7283.32,6375.2,2587.79,200.35,6652.4,5086.39,125.14,10965.85,1118.82
23,46.35,2082.43,1557.5,480.51,10708.61,3214.03,306.0,1059.46,3666.7,3719.37,12054.19,1842.15,2800.77,3568.86,1261.46,1507.59,5403.02,7702.22,7452.12,5939.75,2080.18,220.99,6640.95,3889.59,161.47,12038.37,1223.68
