Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--hydrogen_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--h2_edge--commodity,edges--h2_edge--unidirectional,edges--h2_edge--has_capacity,edges--h2_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSHydrogen,BR_AC_residue_H2,BR_AC,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_AC,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_AC,Electricity,TRUE,FALSE,elec_BR_AC,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AC
BECCSHydrogen,BR_AL_residue_H2,BR_AL,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_AL,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_AL,Electricity,TRUE,FALSE,elec_BR_AL,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AL
BECCSHydrogen,BR_AP_residue_H2,BR_AP,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_AP,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_AP,Electricity,TRUE,FALSE,elec_BR_AP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AP
BECCSHydrogen,BR_AM_residue_H2,BR_AM,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_AM,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_AM,Electricity,TRUE,FALSE,elec_BR_AM,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AM
BECCSHydrogen,BR_BA_residue_H2,BR_BA,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_BA,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_BA,Electricity,TRUE,FALSE,elec_BR_BA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_BA
BECCSHydrogen,BR_CE_residue_H2,BR_CE,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_CE,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_CE,Electricity,TRUE,FALSE,elec_BR_CE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CE
BECCSHydrogen,BR_DF_residue_H2,BR_DF,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_DF,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_DF,Electricity,TRUE,FALSE,elec_BR_DF,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_DF
BECCSHydrogen,BR_ES_residue_H2,BR_ES,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_ES,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_ES,Electricity,TRUE,FALSE,elec_BR_ES,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_ES
BECCSHydrogen,BR_GO_residue_H2,BR_GO,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_GO,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_GO,Electricity,TRUE,FALSE,elec_BR_GO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_GO
BECCSHydrogen,BR_MA_residue_H2,BR_MA,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_MA,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MA,Electricity,TRUE,FALSE,elec_BR_MA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MA
BECCSHydrogen,BR_MT_residue_H2,BR_MT,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_MT,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MT,Electricity,TRUE,FALSE,elec_BR_MT,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MT
BECCSHydrogen,BR_MS_residue_H2,BR_MS,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_MS,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MS,Electricity,TRUE,FALSE,elec_BR_MS,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MS
BECCSHydrogen,BR_MG_residue_H2,BR_MG,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_MG,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MG,Electricity,TRUE,FALSE,elec_BR_MG,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MG
BECCSHydrogen,BR_PA_residue_H2,BR_PA,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_PA,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_PA,Electricity,TRUE,FALSE,elec_BR_PA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PA
BECCSHydrogen,BR_PB_residue_H2,BR_PB,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_PB,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_PB,Electricity,TRUE,FALSE,elec_BR_PB,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PB
BECCSHydrogen,BR_PR_residue_H2,BR_PR,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_PR,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_PR,Electricity,TRUE,FALSE,elec_BR_PR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PR
BECCSHydrogen,BR_PE_residue_H2,BR_PE,Biomass,TRUE,3.1,0,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_PE,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_PE,Electricity,TRUE,FALSE,elec_BR_PE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PE
