Type,id,location,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--wacc,edges--co2_captured_edge--lifetime,edges--co2_captured_edge--capital_recovery_period,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,BR_AC_CO2_Injection,BR_AC,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_AC,co2_storage_Parecis
CO2Injection,BR_AL_CO2_Injection,BR_AL,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_AL,co2_storage_Sergipe_Alagoas
CO2Injection,BR_AM_CO2_Injection,BR_AM,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_AM,co2_storage_Parecis
CO2Injection,BR_AP_CO2_Injection,BR_AP,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_AP,co2_storage_Parecis
CO2Injection,BR_BA_CO2_Injection,BR_BA,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_BA,co2_storage_Reconcavo
CO2Injection,BR_CE_CO2_Injection,BR_CE,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_CE,co2_storage_Ceara
CO2Injection,BR_DF_CO2_Injection,BR_DF,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_DF,co2_storage_Parana
CO2Injection,BR_ES_CO2_Injection,BR_ES,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_ES,co2_storage_Espirito_Santo
CO2Injection,BR_GO_CO2_Injection,BR_GO,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_GO,co2_storage_Parana
CO2Injection,BR_MA_CO2_Injection,BR_MA,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_MA,co2_storage_Ceara
CO2Injection,BR_MG_CO2_Injection,BR_MG,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_MG,co2_storage_Sao_Francisco
CO2Injection,BR_MS_CO2_Injection,BR_MS,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_MS,co2_storage_Parana
CO2Injection,BR_MT_CO2_Injection,BR_MT,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_MT,co2_storage_Parecis
CO2Injection,BR_PA_CO2_Injection,BR_PA,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_PA,co2_storage_Parecis
CO2Injection,BR_PB_CO2_Injection,BR_PB,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_PB,co2_storage_Potiguar
CO2Injection,BR_PE_CO2_Injection,BR_PE,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_PE,co2_storage_Sergipe_Alagoas
CO2Injection,BR_PI_CO2_Injection,BR_PI,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_PI,co2_storage_Ceara
CO2Injection,BR_PR_CO2_Injection,BR_PR,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_PR,co2_storage_Parana
CO2Injection,BR_RJ_CO2_Injection,BR_RJ,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_RJ,co2_storage_Parana
CO2Injection,BR_RN_CO2_Injection,BR_RN,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_RN,co2_storage_Potiguar
CO2Injection,BR_RO_CO2_Injection,BR_RO,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_RO,co2_storage_Parecis
CO2Injection,BR_RR_CO2_Injection,BR_RR,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_RR,co2_storage_Parecis
CO2Injection,BR_RS_CO2_Injection,BR_RS,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_RS,co2_storage_Parana
CO2Injection,BR_SC_CO2_Injection,BR_SC,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_SC,co2_storage_Parana
CO2Injection,BR_SE_CO2_Injection,BR_SE,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_SE,co2_storage_Sergipe_Alagoas
CO2Injection,BR_SP_CO2_Injection,BR_SP,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_SP,co2_storage_Parana
CO2Injection,BR_TO_CO2_Injection,BR_TO,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,0,co2_transported_BR_TO,co2_storage_Parecis
