Type,id,location,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--h2_edge--constraints--MinFlowConstraint,edges--h2_edge--constraints--CapacityConstraint,edges--h2_edge--constraints--RampingLimitConstraint,edges--h2_edge--can_retire,edges--h2_edge--unidirectional,edges--h2_edge--commodity,edges--h2_edge--can_expand,edges--h2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--start_vertex,edges--h2_edge--lifetime,edges--h2_edge--wacc,edges--h2_edge--capital_recovery_period,edges--h2_edge--variable_om_cost,edges--h2_edge--fixed_om_cost,edges--h2_edge--existing_capacity,edges--h2_edge--investment_cost,edges--h2_edge--ramp_up_fraction,edges--h2_edge--min_flow_fraction,edges--h2_edge--capacity_size,edges--h2_edge--ramp_down_fraction,edges--h2_edge--end_vertex,transforms--efficiency_rate,Note
Electrolyzer,BR_AC_Electrolyzer,BR_AC,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_AC,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_AC,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_AL_Electrolyzer,BR_AL,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_AL,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_AL,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_AP_Electrolyzer,BR_AP,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_AP,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_AP,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_AM_Electrolyzer,BR_AM,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_AM,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_AM,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_BA_Electrolyzer,BR_BA,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_BA,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_BA,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_CE_Electrolyzer,BR_CE,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_CE,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_CE,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_DF_Electrolyzer,BR_DF,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_DF,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_DF,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_ES_Electrolyzer,BR_ES,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_ES,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_ES,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_GO_Electrolyzer,BR_GO,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_GO,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_GO,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_MA_Electrolyzer,BR_MA,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_MA,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_MA,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_MT_Electrolyzer,BR_MT,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_MT,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_MT,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
Electrolyzer,BR_MS_Electrolyzer,BR_MS,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hydrogen,TRUE,TRUE,TRUE,Electricity,elec_BR_MS,10,0.1,10,0.1,50000,0,2000000,1,0.1,100,1,h2_BR_MS,0.75,https://apps.epri.com/lcri-electrolysis-tea/en/capex-rates.html
