Type,id,location,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--jetfuel_edge--unidirectional,edges--jetfuel_edge--commodity,edges--jetfuel_edge--has_capacity,edges--h2_edge--unidirectional,edges--h2_edge--commodity,edges--h2_edge--has_capacity,edges--gasoline_edge--unidirectional,edges--gasoline_edge--commodity,edges--gasoline_edge--has_capacity,edges--diesel_edge--unidirectional,edges--diesel_edge--commodity,edges--diesel_edge--has_capacity,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--MinFlowConstraint,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--commodity,edges--co2_emission_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--start_vertex,edges--jetfuel_edge--end_vertex,edges--h2_edge--start_vertex,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--availability--timeseries--path,edges--co2_captured_edge--availability--timeseries--header,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--start_vertex,edges--gasoline_edge--end_vertex,edges--diesel_edge--end_vertex,transforms--gasoline_production,transforms--h2_consumption,transforms--emission_rate,transforms--diesel_production,transforms--electricity_consumption,transforms--jetfuel_production
SyntheticLiquidFuels,BR_AC_Synthetic_FT,BR_AC,TRUE,Electricity,FALSE,TRUE,JetFuel_SAF,FALSE,TRUE,Hydrogen,FALSE,TRUE,Gasoline,FALSE,TRUE,Diesel,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_AC,jetfuel_SAF_BR,h2_BR_AC,9.66,240597,system/availability_monthly.csv,Availability_One,277646,co2_captured_BR_AC,gasoline_renewable_BR,renewable_diesel_BR,1.118,6,0,1.056,0,1.908
SyntheticLiquidFuels,BR_AL_Synthetic_FT,BR_AL,TRUE,Electricity,FALSE,TRUE,JetFuel_SAF,FALSE,TRUE,Hydrogen,FALSE,TRUE,Gasoline,FALSE,TRUE,Diesel,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_AL,jetfuel_SAF_BR,h2_BR_AL,9.66,240597,system/availability_monthly.csv,Availability_One,277646,co2_captured_BR_AL,gasoline_renewable_BR,renewable_diesel_BR,1.118,6,0,1.056,0,1.908
SyntheticLiquidFuels,BR_AP_Synthetic_FT,BR_AP,TRUE,Electricity,FALSE,TRUE,JetFuel_SAF,FALSE,TRUE,Hydrogen,FALSE,TRUE,Gasoline,FALSE,TRUE,Diesel,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_AP,jetfuel_SAF_BR,h2_BR_AP,9.66,240597,system/availability_monthly.csv,Availability_One,277646,co2_captured_BR_AP,gasoline_renewable_BR,renewable_diesel_BR,1.118,6,0,1.056,0,1.908
SyntheticLiquidFuels,BR_AM_Synthetic_FT,BR_AM,TRUE,Electricity,FALSE,TRUE,JetFuel_SAF,FALSE,TRUE,Hydrogen,FALSE,TRUE,Gasoline,FALSE,TRUE,Diesel,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_AM,jetfuel_SAF_BR,h2_BR_AM,9.66,240597,system/availability_monthly.csv,Availability_One,277646,co2_captured_BR_AM,gasoline_renewable_BR,renewable_diesel_BR,1.118,6,0,1.056,0,1.908
SyntheticLiquidFuels,BR_BA_Synthetic_FT,BR_BA,TRUE,Electricity,FALSE,TRUE,JetFuel_SAF,FALSE,TRUE,Hydrogen,FALSE,TRUE,Gasoline,FALSE,TRUE,Diesel,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_BA,jetfuel_SAF_BR,h2_BR_BA,9.66,240597,system/availability_monthly.csv,Availability_One,277646,co2_captured_BR_BA,gasoline_renewable_BR,renewable_diesel_BR,1.118,6,0,1.056,0,1.908
SyntheticLiquidFuels,BR_CE_Synthetic_FT,BR_CE,TRUE,Electricity,FALSE,TRUE,JetFuel_SAF,FALSE,TRUE,Hydrogen,FALSE,TRUE,Gasoline,FALSE,TRUE,Diesel,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_CE,jetfuel_SAF_BR,h2_BR_CE,9.66,240597,system/availability_monthly.csv,Availability_One,277646,co2_captured_BR_CE,gasoline_renewable_BR,renewable_diesel_BR,1.118,6,0,1.056,0,1.908
SyntheticLiquidFuels,BR_DF_Synthetic_FT,BR_DF,TRUE,Electricity,FALSE,TRUE,JetFuel_SAF,FALSE,TRUE,Hydrogen,FALSE,TRUE,Gasoline,FALSE,TRUE,Diesel,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_DF,jetfuel_SAF_BR,h2_BR_DF,9.66,240597,system/availability_monthly.csv,Availability_One,277646,co2_captured_BR_DF,gasoline_renewable_BR,renewable_diesel_BR,1.118,6,0,1.056,0,1.908
SyntheticLiquidFuels,BR_ES_Synthetic_FT,BR_ES,TRUE,Electricity,FALSE,TRUE,JetFuel_SAF,FALSE,TRUE,Hydrogen,FALSE,TRUE,Gasoline,FALSE,TRUE,Diesel,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_ES,jetfuel_SAF_BR,h2_BR_ES,9.66,240597,system/availability_monthly.csv,Availability_One,277646,co2_captured_BR_ES,gasoline_renewable_BR,renewable_diesel_BR,1.118,6,0,1.056,0,1.908
SyntheticLiquidFuels,BR_GO_Synthetic_FT,BR_GO,TRUE,Electricity,FALSE,TRUE,JetFuel_SAF,FALSE,TRUE,Hydrogen,FALSE,TRUE,Gasoline,FALSE,TRUE,Diesel,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_GO,jetfuel_SAF_BR,h2_BR_GO,9.66,240597,system/availability_monthly.csv,Availability_One,277646,co2_captured_BR_GO,gasoline_renewable_BR,renewable_diesel_BR,1.118,6,0,1.056,0,1.908
SyntheticLiquidFuels,BR_MA_Synthetic_FT,BR_MA,TRUE,Electricity,FALSE,TRUE,JetFuel_SAF,FALSE,TRUE,Hydrogen,FALSE,TRUE,Gasoline,FALSE,TRUE,Diesel,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_MA,jetfuel_SAF_BR,h2_BR_MA,9.66,240597,system/availability_monthly.csv,Availability_One,277646,co2_captured_BR_MA,gasoline_renewable_BR,renewable_diesel_BR,1.118,6,0,1.056,0,1.908
