Type,id,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--can_retire,edges--transmission_edge--can_expand,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--lifetime,edges--transmission_edge--wacc,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--investment_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--fixed_om_cost,Note
TransmissionLink,N_to_IMP_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_N,elec_proxy_IMP,1046.675,0.021,100000,5700,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,NE_to_IMP_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_proxy_IMP,1068.671,0.021,100000,6089,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,NE_to_SE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_proxy_SE,1785.829,0.021,100000,9911,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SE_to_IMP_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_SE,elec_proxy_IMP,1806.91,0.021,100000,9107,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,N_to_BR_AM_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_N,elec_BR_AM,372.627,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,N_to_BR_RR_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_N,elec_BR_RR,817.275,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,N_to_BR_AP_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_N,elec_BR_AP,730.039,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,N_to_BR_PA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_N,elec_BR_PA,935.056,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,N_to_BR_TO_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_N,elec_BR_TO,1188.66,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,NE_to_BR_CE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_BR_CE,457.285,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
