Time_Index,Amazonas_hydro_res,Doce_hydro_res,Grande_hydro_res,Iguacu_hydro_res,Jacui_capivari_hydro_res,Jequitinhonha_hydro_res,Paraiba_do_sul_hydro_res,Parana_hydro_res,Paranaiba_hydro_res,Paranapanema_hydro_res,Parnaiba_hydro_res,Sao_francisco_hydro_res,Tiete_hydro_res,Tocantins_hydro_res,Uruguai_hydro_res
1,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
2,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
3,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
4,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
5,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
6,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
7,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
8,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
9,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
10,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
11,0.071643458,0.774475536,1.415756234,0.275369915,0.341987081,0.835064912,0.827404839,1.675475319,1.236627108,0.530607338,0.370838601,0.772819056,1.871293287,1.382986298,0.160329998
