Time_Index,Amazonas_hydro_ror,Doce_hydro_ror,Grande_hydro_ror,Iguacu_hydro_ror,Jacui_capivari_hydro_ror,Jequitinhonha_hydro_ror,Paraiba_do_sul_hydro_ror,Parana_hydro_ror,Paranaiba_hydro_ror,Paranapanema_hydro_ror,Sao_francisco_hydro_ror,Tiete_hydro_ror,Tocantins_hydro_ror,Uruguai_hydro_ror
1,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
2,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
3,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
4,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
5,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
6,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
7,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
8,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
9,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
10,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
11,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
12,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
13,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
14,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
15,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
16,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
17,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
18,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
19,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
20,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
21,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
22,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
23,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
24,0.021479568,0.774475686,1.0,0.240785327,0.259180882,0.83506475,0.611998561,1.0,1.0,0.530607386,0.772819048,1.0,1.0,0.26888826
25,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
26,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
27,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
28,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
29,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
30,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
31,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
32,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
33,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
34,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
35,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
36,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
37,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
38,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
39,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
40,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
41,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
42,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
43,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
44,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
45,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
46,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
47,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
48,0.020055297,0.850816085,1.0,0.228644892,0.242557062,1.0,0.57239596,1.0,1.0,0.5200244,0.804080466,1.0,1.0,0.255387622
49,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
50,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
51,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
52,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
53,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
54,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
55,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
56,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
57,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
58,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
59,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
60,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
61,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
62,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
63,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
64,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
65,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
66,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
67,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
68,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
69,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
70,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
71,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
72,0.020324753,0.814685162,1.0,0.217136762,0.199486185,1.0,0.552134091,1.0,1.0,0.50542725,0.820847826,1.0,1.0,0.226586178
73,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
74,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
75,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
76,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
77,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
78,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
79,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
80,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
81,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
82,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
83,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
84,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
85,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
86,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
87,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
88,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
89,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
90,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
91,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
92,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
93,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
94,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
95,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
96,0.020825175,0.758741272,1.0,0.211951794,0.195707997,0.984888671,0.538319237,1.0,1.0,0.489735282,0.832973577,1.0,1.0,0.220510887
