time_index,BR_AC_Solar_Class1,BR_AC_Solar_Class2,BR_AL_Solar_Class1,BR_AM_Solar_Class1,BR_AM_Solar_Class2,BR_AM_Solar_Class3,BR_AP_Solar_Class1,BR_BA_Solar_Class0,BR_BA_Solar_Class1,BR_BA_Solar_Class3,BR_CE_Solar_Class0,BR_CE_Solar_Class1,BR_CE_Solar_Class3,BR_ES_Solar_Class1,BR_GO_Solar_Class0,BR_GO_Solar_Class1,BR_GO_Solar_Class2,BR_MA_Solar_Class0,BR_MA_Solar_Class1,BR_MA_Solar_Class2,BR_MA_Solar_Class3,BR_MG_Solar_Class0,BR_MG_Solar_Class1,BR_MG_Solar_Class3,BR_MS_Solar_Class0,BR_MS_Solar_Class1,BR_MS_Solar_Class2,BR_MS_Solar_Class3,BR_MT_Solar_Class0,BR_MT_Solar_Class1,BR_MT_Solar_Class2,BR_MT_Solar_Class3,BR_PA_Solar_Class0,BR_PA_Solar_Class1,BR_PA_Solar_Class2,BR_PA_Solar_Class3,BR_PB_Solar_Class0,BR_PB_Solar_Class1,BR_PE_Solar_Class0,BR_PE_Solar_Class1,BR_PE_Solar_Class3,BR_PI_Solar_Class0,BR_PI_Solar_Class1,BR_PR_Solar_Class0,BR_PR_Solar_Class1,BR_PR_Solar_Class3,BR_RJ_Solar_Class1,BR_RJ_Solar_Class3,BR_RN_Solar_Class0,BR_RN_Solar_Class1,BR_RO_Solar_Class1,BR_RO_Solar_Class2,BR_RO_Solar_Class3,BR_RR_Solar_Class2,BR_RS_Solar_Class1,BR_RS_Solar_Class3,BR_SC_Solar_Class1,BR_SC_Solar_Class3,BR_SE_Solar_Class1,BR_SP_Solar_Class0,BR_SP_Solar_Class1,BR_SP_Solar_Class3,BR_TO_Solar_Class0,BR_TO_Solar_Class1,BR_TO_Solar_Class2,BR_TO_Solar_Class3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,2.88e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.58036625,0.0,0.0,0.0,0.0,0.319652533,0.429243684,0.404395714,0.52696,0.39565,0.49862,0.077,0.03886069,0.026789123,0.044916667,0.191183077,0.339483333,0.15931,0.135296857,0.041971607,0.00966625,0.24995625,0.101178333,0.0716745,8.18e-6,0.05963875,3.44e-5,6.89e-6,2.4e-5,0.0,0.0,0.010830455,0.0,0.012779153,0.537386667,0.425836667,0.562668,0.434327,0.572245,0.273547907,0.384475789,0.418333333,0.220958889,0.305895429,0.02842,0.00127,0.40489,0.561164167,0.0,0.0,0.0,0.0,0.417222222,0.417563968,0.00768,0.062346,0.553186667,0.159486429,0.158785714,0.113401667,0.08393,0.018668636,0.0020248,0.011003333
8,0.0,0.0,0.76263125,0.015775,0.02306,0.002752,0.078,0.5496584,0.660822632,0.624340286,0.73602,0.617471905,0.66687,0.11361,0.158518276,0.104719825,0.099723333,0.395347692,0.562667879,0.40315,0.346782286,0.110815,0.040671563,0.480418125,0.18937,0.535231,0.416764545,0.44172625,0.095471667,0.041638689,0.048957556,0.0421521,0.06678,0.057786818,0.015063137,0.078035085,0.75273,0.682527778,0.763336,0.73222,0.771685,0.519733953,0.681589474,0.57022,0.511767778,0.670404,0.19811,0.00933,0.78795,0.733515,0.152621429,0.225846667,0.043581316,0.082372857,0.643176667,0.711077143,0.60561,0.468272,0.710245,0.310331071,0.30646619,0.195691667,0.224045333,0.022769091,0.031606,0.062128333
9,0.48988,0.57252,0.81131125,0.11231,0.146102857,0.051944,0.227086667,0.694353467,0.703316842,0.692353714,0.820184286,0.76036619,0.798825,0.3518,0.303655862,0.202024211,0.23708,0.596749231,0.693832424,0.50639,0.479989143,0.220606786,0.08983125,0.627224375,0.309683333,0.690480333,0.604612727,0.63456375,0.215779444,0.098110984,0.111680667,0.0917354,0.20018,0.12432,0.057993725,0.167515763,0.860561667,0.736226667,0.866678,0.836327,0.873351667,0.678369302,0.772490526,0.672786667,0.622956667,0.823977143,0.253,0.05512,0.875613333,0.846445,0.15529,0.30081,0.127167105,0.3134,0.832218889,0.86047127,0.79982,0.74628,0.732686667,0.455789643,0.463011905,0.333326667,0.421742667,0.081460455,0.1271164,0.191281667
10,0.73744,0.66716,0.81822375,0.15088,0.184665714,0.083474,0.396416667,0.7336324,0.787091053,0.739331714,0.881837143,0.830371429,0.8563,0.44764,0.331997931,0.214747368,0.22408,0.629436923,0.763767576,0.67786,0.604657143,0.28955875,0.133755625,0.73369375,0.434156667,0.7989535,0.721695455,0.793369375,0.248439444,0.150955246,0.140044667,0.1655003,0.21047,0.220712727,0.093308039,0.257991356,0.915756667,0.827821111,0.906864,0.869658,0.889298333,0.736655116,0.816825789,0.850993333,0.787248889,0.905950857,0.29769,0.06184,0.919046667,0.846025,0.267332857,0.417423333,0.273806579,0.431766429,0.887312222,0.916278889,0.88362,0.91194,0.787845,0.545178214,0.50727,0.479585,0.490844667,0.134495455,0.2187376,0.275251667
