Time_Index,BR_RN_Wind_Offshore_Class1,BR_RS_Wind_Offshore_Class2,BR_RJ_Wind_Offshore_Class3
1,0.188273081,0.393213254,0.315852364
2,0.198874236,0.42321475,0.275465093
3,0.204783068,0.441166864,0.249817946
4,0.203821778,0.445959216,0.245616344
5,0.204909552,0.445971781,0.254241253
6,0.213916368,0.43726632,0.26888187
7,0.230636679,0.407608055,0.296780822
8,0.246410034,0.359304269,0.324580269
9,0.263395573,0.316556345,0.348052581
10,0.276134953,0.268118418,0.352497471
11,0.287898887,0.209398081,0.334894228
12,0.30210495,0.15751053,0.306463788
13,0.317699894,0.123200116,0.276805162
14,0.325042594,0.108244063,0.25400828
15,0.325088031,0.11295,0.241167487
16,0.321634398,0.143849257,0.256105827
17,0.315389028,0.209105772,0.311395095
18,0.306984607,0.261583122,0.390442813
19,0.297279384,0.288686656,0.474357565
20,0.287491761,0.312262307,0.539147134
21,0.278035627,0.348118367,0.580942398
22,0.280197022,0.420796475,0.597807999
23,0.286189155,0.486379247,0.598979052
24,0.282813503,0.530433636,0.595124529
25,0.27822711,0.580029337,0.59450385
26,0.2658075,0.636144792,0.58393343
27,0.243000215,0.679696568,0.556134936
28,0.221837483,0.700685083,0.513104505
29,0.20253639,0.70589154,0.454134808
30,0.192520954,0.705324116,0.339218506
31,0.196638466,0.702211551,0.245467959
32,0.21566703,0.682680614,0.198033425
33,0.241484129,0.648193734,0.188304594
34,0.272026455,0.653247313,0.190707641
35,0.306967298,0.633819875,0.188955109
36,0.334641889,0.634120671,0.183259499
37,0.355955806,0.639349724,0.185402276
38,0.374665953,0.626353642,0.199909109
39,0.382548483,0.621240874,0.234318758
40,0.380345709,0.623183761,0.292750935
41,0.373542659,0.63647094,0.383326673
42,0.37067303,0.654310847,0.516119025
43,0.375147004,0.68132444,0.64269872
44,0.380342013,0.71247379,0.718833645
45,0.381918952,0.735094146,0.74709015
46,0.38905268,0.742650761,0.760937105
47,0.398362136,0.747398252,0.771010316
48,0.394828628,0.764437285,0.768480309
49,0.380848216,0.781756392,0.75895652
50,0.370620562,0.795486774,0.750008973
51,0.359873181,0.803937071,0.756545221
52,0.344766861,0.808912612,0.793472498
53,0.331428782,0.806385548,0.823764975
54,0.327015391,0.804161043,0.677795384
55,0.329340591,0.802703795,0.428220726
56,0.33339653,0.796384975,0.35252207
57,0.333379581,0.790209334,0.426647685
58,0.326533348,0.785052037,0.47103215
59,0.31771558,0.770160464,0.40770596
