time_index,BR_AC_Wind_Onshore_Class1,BR_AC_Wind_Onshore_Class3,BR_AL_Wind_Onshore_Class1,BR_AM_Wind_Onshore_Class3,BR_AP_Wind_Onshore_Class1,BR_AP_Wind_Onshore_Class3,BR_BA_Wind_Onshore_Class0,BR_BA_Wind_Onshore_Class1,BR_BA_Wind_Onshore_Class3,BR_CE_Wind_Onshore_Class0,BR_CE_Wind_Onshore_Class1,BR_CE_Wind_Onshore_Class3,BR_ES_Wind_Onshore_Class1,BR_GO_Wind_Onshore_Class0,BR_GO_Wind_Onshore_Class1,BR_GO_Wind_Onshore_Class2,BR_GO_Wind_Onshore_Class3,BR_MA_Wind_Onshore_Class0,BR_MA_Wind_Onshore_Class1,BR_MA_Wind_Onshore_Class3,BR_MG_Wind_Onshore_Class0,BR_MG_Wind_Onshore_Class1,BR_MG_Wind_Onshore_Class3,BR_MS_Wind_Onshore_Class0,BR_MS_Wind_Onshore_Class1,BR_MS_Wind_Onshore_Class2,BR_MS_Wind_Onshore_Class3,BR_MT_Wind_Onshore_Class0,BR_MT_Wind_Onshore_Class1,BR_MT_Wind_Onshore_Class2,BR_MT_Wind_Onshore_Class3,BR_PA_Wind_Onshore_Class0,BR_PA_Wind_Onshore_Class1,BR_PA_Wind_Onshore_Class2,BR_PA_Wind_Onshore_Class3,BR_PB_Wind_Onshore_Class0,BR_PB_Wind_Onshore_Class1,BR_PB_Wind_Onshore_Class3,BR_PE_Wind_Onshore_Class0,BR_PE_Wind_Onshore_Class1,BR_PI_Wind_Onshore_Class0,BR_PI_Wind_Onshore_Class1,BR_PI_Wind_Onshore_Class3,BR_PR_Wind_Onshore_Class0,BR_PR_Wind_Onshore_Class1,BR_PR_Wind_Onshore_Class3,BR_RJ_Wind_Onshore_Class0,BR_RJ_Wind_Onshore_Class1,BR_RN_Wind_Onshore_Class0,BR_RN_Wind_Onshore_Class1,BR_RO_Wind_Onshore_Class0,BR_RO_Wind_Onshore_Class2,BR_RO_Wind_Onshore_Class3,BR_RR_Wind_Onshore_Class2,BR_RS_Wind_Onshore_Class0,BR_RS_Wind_Onshore_Class1,BR_SC_Wind_Onshore_Class1,BR_SE_Wind_Onshore_Class1,BR_SP_Wind_Onshore_Class0,BR_SP_Wind_Onshore_Class1,BR_TO_Wind_Onshore_Class0,BR_TO_Wind_Onshore_Class1,BR_TO_Wind_Onshore_Class2,BR_TO_Wind_Onshore_Class3
1,0.006411594,0.00273913,0.628855072,0.0,0.166602899,0.154342029,0.134180059,0.417860343,0.060634783,0.361757166,0.436898068,0.352007729,0.09322029,0.047439936,0.022227388,0.011683092,0.006299638,0.036553623,0.117720214,0.054005797,0.067647678,0.059599227,0.071468802,0.093917805,0.168776307,0.045773913,0.104565217,0.040701895,0.002770487,0.022134968,0.059852676,0.021275362,0.202366874,0.003295952,0.0346343,0.444001449,0.572133333,0.172608696,0.216461698,0.431399275,0.052138833,0.137668227,0.080187246,0.128387352,0.376176812,0.347652174,0.008318841,0.0,0.60786087,0.494762319,0.077310145,0.051227053,0.051685357,0.131365631,0.434581291,0.424660097,0.348834783,0.534442512,0.311060683,0.562248252,0.011671146,0.014830531,0.007660663,0.01269971
2,0.0,0.005478261,0.466431884,0.035530435,0.115782609,0.125565217,0.146096386,0.350584717,0.044701932,0.381316586,0.368845169,0.312519807,0.053168116,0.05438132,0.027739485,0.018886957,0.008819203,0.043637681,0.116738063,0.05943376,0.068862585,0.065960966,0.075547521,0.103956315,0.20062155,0.048996377,0.097463768,0.041532664,0.010671234,0.020025567,0.06438485,0.022711594,0.207413665,0.003882259,0.033061836,0.49687971,0.447781159,0.395304348,0.245757764,0.329597826,0.04571401,0.15127447,0.100289855,0.169350461,0.433871222,0.350828986,0.01244058,0.0,0.414365217,0.455949275,0.067971014,0.051945894,0.052607296,0.187325052,0.469327009,0.430115556,0.292405797,0.412929469,0.351241889,0.51295243,0.009506192,0.004524831,0.010752795,0.009361739
3,0.005884058,0.012498551,0.368049275,0.003043478,0.074185507,0.093252174,0.153224935,0.292876416,0.026802899,0.378894042,0.295738889,0.325992271,0.034536232,0.052869565,0.026391009,0.0172657,0.01189058,0.038382971,0.103577422,0.063580222,0.07073079,0.07583285,0.069649428,0.104533954,0.218702331,0.059094203,0.090869565,0.043291193,0.014841985,0.016857376,0.062912155,0.026317391,0.169814493,0.008012394,0.023509984,0.38644058,0.350402899,0.655872464,0.2338,0.262073188,0.041588257,0.138253289,0.086817971,0.236282477,0.432378468,0.388950725,0.010910145,0.0,0.304927536,0.395152657,0.091242899,0.046842512,0.057656172,0.218901863,0.48610101,0.392233816,0.230365217,0.326358454,0.384444133,0.481530435,0.015751779,0.000500483,0.004509317,0.005653913
4,0.036330435,0.025531884,0.283384058,0.003855072,0.068255072,0.091849275,0.155751214,0.236414756,0.015435266,0.366191948,0.233576087,0.290052174,0.012113043,0.049596135,0.026759775,0.014749758,0.014335145,0.030019565,0.096558047,0.073862063,0.068009228,0.081850242,0.065816018,0.099786957,0.206446251,0.072506522,0.076747826,0.049744259,0.024801932,0.016357042,0.05442458,0.023666667,0.148674948,0.00696092,0.021438325,0.309052174,0.265715459,0.431872464,0.184772257,0.191299275,0.037718469,0.114404905,0.067728696,0.316707773,0.410781781,0.48284058,0.003043478,0.0,0.214944928,0.333096135,0.087528116,0.037433816,0.052114143,0.205939545,0.495848748,0.339124638,0.185797101,0.25703285,0.393046657,0.411211594,0.002171278,0.0,0.002567288,0.002235362
5,0.056611594,0.038130435,0.230547826,0.0,0.073133333,0.080307246,0.153482102,0.191191831,0.015036232,0.330469565,0.195326329,0.228353623,0.002942029,0.040984219,0.029588879,0.004599034,0.012169203,0.012755797,0.106935164,0.080545439,0.06721396,0.077429372,0.063046224,0.105119876,0.18276736,0.068265217,0.053289855,0.056213824,0.031916557,0.019027722,0.050694106,0.015043478,0.138870393,0.005105247,0.023895169,0.215814493,0.210490821,0.201014493,0.157568116,0.14778913,0.037831289,0.095487179,0.051266667,0.390586825,0.357231056,0.440973913,0.007101449,0.0,0.163478261,0.282952174,0.075608116,0.054175845,0.049154223,0.182290683,0.500136144,0.296171208,0.145031884,0.206006763,0.387642637,0.360763512,0.00532332,0.003591498,0.000275362,0.000811594
6,0.060434783,0.069244928,0.194636232,0.0,0.062802899,0.074568116,0.144507351,0.159657971,0.007870531,0.287679227,0.172891304,0.167304348,0.001318841,0.030162319,0.026667377,0.034742029,0.004682971,0.006221739,0.115038902,0.084670247,0.065135285,0.070163285,0.066106789,0.109699379,0.172728544,0.061773913,0.065089855,0.05205039,0.028237681,0.024145076,0.042620831,0.012749275,0.122451346,0.00161919,0.024012882,0.163466667,0.177520773,0.1164,0.169607039,0.133361594,0.040930806,0.091794426,0.041971014,0.476959157,0.300178468,0.373066667,0.010910145,0.0,0.13826087,0.256128019,0.073901449,0.056365217,0.038445377,0.182318012,0.462793325,0.277139324,0.104826087,0.165994203,0.386100234,0.322123444,0.012511726,0.00874087,0.001293789,0.010005797
7,0.080246377,0.072846377,0.152047826,0.0,0.04755942,0.078585507,0.132113637,0.145646113,0.007438647,0.233100805,0.162249517,0.1236,0.001927536,0.027602576,0.027856019,0.027370048,0.002503623,0.008726812,0.10645431,0.079347656,0.060082934,0.063836522,0.062088482,0.097787371,0.161955261,0.066627536,0.135147826,0.055957191,0.031466315,0.024011,0.036715285,0.011895652,0.102128364,0.001766917,0.016623349,0.148052174,0.143378744,0.11964058,0.204656315,0.118644203,0.050734151,0.089463099,0.035115942,0.489475889,0.265996687,0.342886957,0.018562319,0.0,0.134028986,0.233754106,0.062128696,0.048917874,0.032193103,0.188322981,0.402621168,0.250017778,0.071826087,0.136850242,0.370688359,0.299423018,0.024660343,0.011651787,0.001598758,0.022293333
8,0.081805797,0.071124638,0.128314493,0.0,0.029434783,0.065385507,0.117951877,0.124824769,0.008510145,0.19618744,0.157872947,0.100461836,0.001724638,0.025288889,0.031413901,0.017685024,0.004381522,0.016118841,0.09437315,0.070085251,0.060850281,0.055629372,0.052562624,0.095768323,0.160339004,0.091724638,0.170695652,0.056585061,0.035919895,0.022856485,0.029386126,0.010885507,0.083349068,0.003246777,0.009630596,0.158223188,0.126725604,0.123026087,0.226077433,0.109634783,0.06747945,0.081797101,0.029025507,0.433459289,0.25021118,0.321623188,0.028892754,0.0,0.112892754,0.219445894,0.046706087,0.038564251,0.032653273,0.190518427,0.346890821,0.223239807,0.050634783,0.127344928,0.344150725,0.307222506,0.030035837,0.012212947,0.003319462,0.026287536
9,0.065365217,0.067824638,0.108682609,0.0,0.01933913,0.04755942,0.103942378,0.107916206,0.007742995,0.167357166,0.156365942,0.087201932,0.000608696,0.020190338,0.033622597,0.013549758,0.00435942,0.021502536,0.079159115,0.057558227,0.068831943,0.059349758,0.050796644,0.11116087,0.166253056,0.130761594,0.144133333,0.056908584,0.036123671,0.016812486,0.023635942,0.007592754,0.077490683,0.002527736,0.008101771,0.178523188,0.124549758,0.167536232,0.210291097,0.100910145,0.083832627,0.070294314,0.017969275,0.370823188,0.231445549,0.28684058,0.024684058,0.0,0.09746087,0.21176715,0.023162899,0.028581643,0.02802099,0.197106418,0.316038999,0.191043478,0.03737971,0.122077295,0.302451426,0.294316113,0.026557049,0.010783382,0.005491304,0.018889855
10,0.066246377,0.064427536,0.085349275,0.0,0.00766087,0.035049275,0.092146674,0.082868511,0.005607246,0.135161997,0.146714734,0.078407729,0.0,0.017736232,0.032420704,0.011151691,0.002835507,0.022963043,0.072726773,0.048764365,0.077471872,0.067743382,0.052438139,0.123701035,0.170112791,0.143566667,0.102515942,0.052999108,0.031003953,0.01863456,0.019164908,0.006266667,0.086789234,0.002297251,0.008526731,0.175482609,0.124790821,0.180724638,0.179264182,0.091131884,0.100736678,0.06371505,0.012483478,0.320961792,0.212174327,0.267744928,0.032643478,0.0,0.086237681,0.198890338,0.025383188,0.022678261,0.023138231,0.199552795,0.296489416,0.158362512,0.021113043,0.104418357,0.273038803,0.281610571,0.027276943,0.015673816,0.01067971,0.016649855
