Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
1,0.0,975.707,906.892,516.773,4797.219,902.295,23.0,567.477,1998.474,2007.405,5888.007,439.191,2121.438,16353.942,383.635,953.673,461.965,12212.363,4943.118,2216.798,6745.28,250.905,2239.613,4029.347,13.001,9446.872,1485.545
2,0.0,965.894,887.37,519.362,5504.815,821.653,23.0,561.811,1920.649,2003.7,5703.548,435.915,2109.468,16160.937,367.554,718.644,489.06,11033.562,4943.922,2344.958,6745.626,241.688,1807.608,2708.371,13.0,8670.574,1600.187
3,0.0,976.101,834.697,521.539,5941.018,710.546,23.0,569.578,1925.455,2019.839,5667.695,435.532,2107.663,15846.02,335.272,500.574,680.158,9887.774,4961.389,2441.396,6732.984,226.232,1567.884,2510.467,13.0,7409.504,1604.902
4,0.0,967.727,819.805,511.549,6007.923,664.938,23.0,567.806,1843.805,2105.968,5218.759,433.75,2095.719,15071.412,317.141,434.971,1739.428,9492.682,4965.035,2308.098,6680.487,217.238,1473.871,2357.982,12.5,6916.447,1600.802
5,0.0,964.719,820.675,510.212,6250.901,677.252,23.0,568.331,1744.432,2140.536,5213.382,433.772,2086.345,13408.798,370.318,424.729,2677.529,9506.059,4966.297,2217.707,6665.426,208.352,1434.771,2328.984,12.0,6730.958,1600.071
6,0.0,1015.711,825.044,515.251,5917.327,724.201,24.799,585.397,1769.927,2157.89,5328.731,438.09,2097.732,13465.684,310.081,386.749,2557.722,10354.817,4986.083,2233.431,6709.356,198.869,1504.476,2425.356,15.266,6712.56,1609.793
7,0.0,1097.621,818.4,512.98,5545.832,1061.122,59.719,658.216,1862.082,2106.654,6534.204,513.31,2131.517,12973.226,383.548,535.934,1853.95,10995.082,5112.526,2689.785,6750.727,186.364,1860.711,2487.763,30.11,6738.855,1329.248
8,3.274,1222.785,830.616,523.586,5163.854,1549.552,139.108,743.73,2142.234,1817.709,9086.404,742.269,2421.689,11163.479,611.31,845.5,2085.999,12455.281,5278.753,3209.863,6676.095,165.297,2367.823,3053.744,51.669,7317.963,801.43
9,20.401,1332.523,858.903,533.458,4913.844,1911.154,216.817,815.799,2437.971,1783.177,9620.038,1009.541,2835.79,10651.299,797.358,1176.048,1911.716,13219.768,5423.828,3753.056,6705.325,162.439,3002.989,3865.06,73.891,7681.658,728.795
10,40.913,1461.634,889.902,547.604,4832.46,2088.542,276.647,902.64,2664.593,1615.739,10454.436,1258.62,3061.053,10683.246,802.833,1341.596,1854.221,13288.31,5545.434,3729.417,6730.811,171.895,3358.823,3653.861,89.862,8018.51,788.42
11,58.994,1516.574,901.236,566.235,4676.734,2118.876,313.728,955.862,2817.278,1667.353,10966.349,1433.274,3280.281,10766.68,650.936,1308.23,1861.057,13256.264,5528.851,3679.577,6693.253,175.804,3573.829,3615.283,102.174,8227.005,795.279
12,69.928,1506.83,896.36,567.401,4403.715,2284.326,267.641,939.547,2871.767,1637.357,11090.426,1539.077,3422.205,10876.773,686.423,1200.611,2054.035,12587.729,5293.675,3944.204,6683.017,179.865,3474.118,3508.28,106.252,9269.99,787.697
13,79.562,1501.182,913.668,577.246,3865.597,2296.433,155.24,915.62,2663.562,1610.628,10648.356,1506.353,3442.331,10906.828,652.338,1175.311,2052.583,12155.784,5156.298,4565.118,6644.213,189.574,3395.802,2874.384,102.526,9767.344,730.464
14,77.611,1466.276,922.608,572.612,3655.374,2161.443,124.694,902.943,2538.566,1602.969,10321.871,1285.961,3325.872,10885.493,563.179,1174.507,1994.425,13450.985,5011.778,5364.601,6648.407,202.809,3622.841,3581.154,91.453,11013.147,714.9
15,52.9,1376.568,959.913,566.271,4037.8,2042.828,125.003,865.949,2587.908,1832.839,9822.379,1091.197,3174.938,11455.195,559.37,878.332,1906.161,14368.077,4936.702,5663.914,6707.558,208.165,3907.317,4499.161,79.437,11629.51,741.571
16,48.055,1242.912,975.429,556.208,4299.449,1989.256,126.052,780.795,2674.275,1861.394,9345.714,1046.728,2977.244,12796.02,391.536,861.868,1627.609,14384.576,4849.003,5173.522,6779.377,226.001,3784.709,4570.246,61.593,12109.699,929.775
17,40.73,1098.778,943.594,545.126,4688.973,1626.096,119.972,688.267,2518.601,1849.214,9081.407,936.666,2741.851,15411.187,291.894,903.684,950.234,13948.288,4737.426,3746.687,6785.474,225.097,3500.536,4493.355,39.33,11846.158,1014.993
18,29.539,1105.121,875.358,533.036,4544.301,1131.075,65.534,604.94,2309.955,1804.007,8171.763,723.075,2455.386,16495.797,360.913,1307.975,808.103,13498.047,4648.559,2529.984,6769.837,212.601,3077.663,4219.328,21.008,10777.99,1315.531
19,16.874,1260.799,822.726,525.667,5080.695,1036.377,26.224,607.934,2202.893,1807.84,7736.708,539.731,2199.918,16524.014,293.63,1494.978,417.484,13519.908,4627.8,2276.962,6857.356,201.293,2656.158,4132.768,14.0,10184.341,1372.259
20,2.786,1468.465,839.213,517.437,5968.745,1069.664,23.0,629.87,2283.198,1843.025,9151.572,453.016,2095.769,16436.052,230.125,1565.267,376.609,13918.392,4609.13,2256.257,6942.302,198.363,2485.114,4133.832,14.0,10831.374,1432.794
21,0.002,1496.683,874.651,517.502,6482.001,1077.511,23.0,629.913,2284.364,1914.191,9425.73,451.181,2099.408,15317.276,267.577,1467.944,448.681,14073.729,4610.979,2916.12,6992.552,213.225,2574.009,4180.775,14.0,10571.97,1417.321
22,0.0,1498.749,881.544,517.715,6611.824,933.244,23.0,631.075,2237.102,1959.954,9056.09,452.015,2097.37,15575.844,314.243,1372.147,578.522,14110.972,4622.96,3058.736,6985.647,219.34,2614.35,4181.492,14.0,10567.323,1060.51
23,0.0,1376.957,882.843,517.676,6957.296,932.353,23.0,630.583,2174.799,2059.937,7481.897,450.966,2102.566,15889.335,281.353,1212.919,554.37,13734.48,4647.998,2607.636,6964.503,227.848,2597.206,4129.543,14.0,9735.296,1481.43
24,0.0,1103.762,889.778,514.379,7212.847,845.493,23.0,600.404,2011.425,1932.139,6440.6,446.224,2095.402,15713.056,188.795,1171.445,1166.549,12491.138,4664.136,2520.243,6928.228,239.349,2399.056,3242.678,14.0,9005.037,1216.403
25,0.0,1017.765,906.898,513.605,7046.734,729.889,21.001,523.063,1951.404,1525.718,5483.782,456.117,2051.466,15667.979,263.151,927.047,1027.854,11818.244,4727.821,2762.343,6917.181,243.302,1912.541,2348.398,20.496,8729.053,600.39
26,0.0,995.841,890.317,512.872,6882.627,593.657,21.0,519.976,1730.144,1394.601,5113.644,455.328,2044.291,16155.385,279.218,805.467,859.104,11031.488,4731.061,2327.82,6917.809,236.337,1735.864,2019.953,20.0,7949.428,660.781
27,0.0,990.276,871.66,503.589,6629.919,604.795,21.0,520.147,1722.756,1376.5,4886.743,454.251,2044.981,16289.641,278.219,609.49,870.711,10354.248,4681.356,2233.755,6921.753,226.989,1626.613,1995.113,19.5,6631.173,800.872
28,0.0,988.154,840.434,488.377,6379.678,509.759,21.0,520.012,1718.698,1371.887,4700.601,453.249,2040.074,15986.791,274.89,478.787,1254.319,10328.646,4712.854,2481.396,6919.131,216.049,1520.575,1992.691,19.0,5657.041,800.67
29,0.0,993.825,821.627,497.502,6660.607,483.9,21.0,521.059,1720.873,1310.761,4708.591,452.176,2031.243,15540.487,251.264,472.402,1712.63,10416.143,4713.05,2396.295,6917.777,208.329,1294.583,1993.673,19.0,5409.087,761.527
30,0.0,1022.781,820.188,497.751,7113.791,469.953,22.508,539.666,1731.243,1152.909,4983.677,454.038,2019.422,14475.993,277.563,464.586,1984.865,11319.991,4735.96,2380.283,6936.793,199.094,1241.559,1996.268,22.266,5752.542,603.18
31,0.0,1129.466,818.421,496.703,6160.6,853.887,57.02,641.095,1823.16,873.37,6313.507,523.166,2042.688,14034.778,518.994,519.953,1618.352,11654.37,4844.848,3136.081,6931.344,188.001,1514.466,2092.554,36.628,5838.988,623.282
32,3.018,1272.86,826.697,503.668,4388.991,1349.091,122.377,769.397,2002.55,978.036,8399.578,743.756,2282.787,13555.145,819.934,643.352,1847.394,12445.821,4960.859,4020.032,6940.291,167.02,1802.355,2268.525,58.179,6784.401,710.478
33,19.896,1412.592,846.498,519.581,4181.318,1558.601,178.582,905.099,2220.707,1095.328,9694.031,993.131,2611.382,12548.488,963.138,911.172,1680.003,13484.299,5115.346,4634.813,6863.984,171.424,2077.072,2229.92,79.891,7774.106,680.981
34,36.071,1562.516,863.968,522.753,4284.03,1766.537,255.111,1012.142,2465.13,1261.425,10658.469,1207.536,2911.211,11423.887,928.269,1304.613,1807.886,13408.309,5234.051,4549.747,6683.28,196.171,2500.62,2256.855,96.816,8280.467,702.294
35,50.595,1644.066,883.02,538.299,3663.813,1858.736,305.252,1054.329,2663.393,1314.194,11071.095,1340.831,3144.05,11301.965,930.727,1385.553,1863.668,13518.781,5292.484,4476.352,6652.983,182.752,2857.185,2415.508,106.925,9048.491,750.133
36,63.214,1604.42,881.518,546.43,3282.15,1933.583,339.611,1045.45,2792.426,1295.986,11517.919,1439.891,3321.828,11270.638,917.065,1397.219,1909.278,12657.514,5331.11,4473.006,6624.523,188.313,3102.837,2293.57,108.8,9425.953,758.308
37,73.32,1521.637,882.948,536.873,2998.645,1890.217,348.965,1031.796,2768.397,1399.734,11607.353,1462.088,3222.631,11152.802,775.416,1293.594,1810.494,10954.148,5367.126,4516.485,6551.008,188.046,3188.44,2194.721,106.297,9593.636,735.33
38,71.276,1448.473,908.347,511.789,3135.451,1728.345,260.038,1040.726,2736.591,1245.764,12187.549,1361.356,2950.438,11321.287,715.822,1342.468,1909.297,11520.517,5164.115,4929.235,6590.454,184.248,3181.505,2306.773,98.009,10804.995,746.364
