Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--transformation_rate,transforms--electricity_consumption,transforms--electricity_production,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--origin_edge--commodity,edges--origin_edge--has_capacity,edges--origin_edge--can_expand,edges--origin_edge--start_vertex,edges--origin_edge--investment_cost,edges--origin_edge--fixed_om_cost,edges--origin_edge--variable_om_cost,edges--general_edge--commodity,edges--general_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
BiomassTransformation,BR_AC_ricestraw_trans,BR_AC,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_AC,0,0,0,Residue,residue_BR_AC,Electricity,elec_BR_AC,Electricity,elec_BR_AC,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AC
BiomassTransformation,BR_AL_ricestraw_trans,BR_AL,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_AL,0,0,0,Residue,residue_BR_AL,Electricity,elec_BR_AL,Electricity,elec_BR_AL,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AL
BiomassTransformation,BR_AP_ricestraw_trans,BR_AP,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_AP,0,0,0,Residue,residue_BR_AP,Electricity,elec_BR_AP,Electricity,elec_BR_AP,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AP
BiomassTransformation,BR_AM_ricestraw_trans,BR_AM,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_AM,0,0,0,Residue,residue_BR_AM,Electricity,elec_BR_AM,Electricity,elec_BR_AM,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AM
BiomassTransformation,BR_BA_ricestraw_trans,BR_BA,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_BA,0,0,0,Residue,residue_BR_BA,Electricity,elec_BR_BA,Electricity,elec_BR_BA,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_BA
BiomassTransformation,BR_CE_ricestraw_trans,BR_CE,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_CE,0,0,0,Residue,residue_BR_CE,Electricity,elec_BR_CE,Electricity,elec_BR_CE,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_CE
BiomassTransformation,BR_DF_ricestraw_trans,BR_DF,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_DF,0,0,0,Residue,residue_BR_DF,Electricity,elec_BR_DF,Electricity,elec_BR_DF,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_DF
BiomassTransformation,BR_ES_ricestraw_trans,BR_ES,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_ES,0,0,0,Residue,residue_BR_ES,Electricity,elec_BR_ES,Electricity,elec_BR_ES,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_ES
BiomassTransformation,BR_GO_ricestraw_trans,BR_GO,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_GO,0,0,0,Residue,residue_BR_GO,Electricity,elec_BR_GO,Electricity,elec_BR_GO,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_GO
BiomassTransformation,BR_MA_ricestraw_trans,BR_MA,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_MA,0,0,0,Residue,residue_BR_MA,Electricity,elec_BR_MA,Electricity,elec_BR_MA,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_MA
BiomassTransformation,BR_MT_ricestraw_trans,BR_MT,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_MT,0,0,0,Residue,residue_BR_MT,Electricity,elec_BR_MT,Electricity,elec_BR_MT,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_MT
BiomassTransformation,BR_MS_ricestraw_trans,BR_MS,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_MS,0,0,0,Residue,residue_BR_MS,Electricity,elec_BR_MS,Electricity,elec_BR_MS,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_MS
BiomassTransformation,BR_MG_ricestraw_trans,BR_MG,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_MG,0,0,0,Residue,residue_BR_MG,Electricity,elec_BR_MG,Electricity,elec_BR_MG,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_MG
BiomassTransformation,BR_PA_ricestraw_trans,BR_PA,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_PA,0,0,0,Residue,residue_BR_PA,Electricity,elec_BR_PA,Electricity,elec_BR_PA,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PA
BiomassTransformation,BR_PB_ricestraw_trans,BR_PB,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_PB,0,0,0,Residue,residue_BR_PB,Electricity,elec_BR_PB,Electricity,elec_BR_PB,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PB
BiomassTransformation,BR_PR_ricestraw_trans,BR_PR,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_PR,0,0,0,Residue,residue_BR_PR,Electricity,elec_BR_PR,Electricity,elec_BR_PR,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PR
BiomassTransformation,BR_PE_ricestraw_trans,BR_PE,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_PE,0,0,0,Residue,residue_BR_PE,Electricity,elec_BR_PE,Electricity,elec_BR_PE,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PE
BiomassTransformation,BR_PI_ricestraw_trans,BR_PI,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_PI,0,0,0,Residue,residue_BR_PI,Electricity,elec_BR_PI,Electricity,elec_BR_PI,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PI
BiomassTransformation,BR_RJ_ricestraw_trans,BR_RJ,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_RJ,0,0,0,Residue,residue_BR_RJ,Electricity,elec_BR_RJ,Electricity,elec_BR_RJ,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RJ
BiomassTransformation,BR_RN_ricestraw_trans,BR_RN,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_RN,0,0,0,Residue,residue_BR_RN,Electricity,elec_BR_RN,Electricity,elec_BR_RN,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RN
BiomassTransformation,BR_RS_ricestraw_trans,BR_RS,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_RS,0,0,0,Residue,residue_BR_RS,Electricity,elec_BR_RS,Electricity,elec_BR_RS,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RS
BiomassTransformation,BR_RO_ricestraw_trans,BR_RO,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_RO,0,0,0,Residue,residue_BR_RO,Electricity,elec_BR_RO,Electricity,elec_BR_RO,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RO
BiomassTransformation,BR_RR_ricestraw_trans,BR_RR,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_RR,0,0,0,Residue,residue_BR_RR,Electricity,elec_BR_RR,Electricity,elec_BR_RR,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RR
BiomassTransformation,BR_SC_ricestraw_trans,BR_SC,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_SC,0,0,0,Residue,residue_BR_SC,Electricity,elec_BR_SC,Electricity,elec_BR_SC,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_SC
BiomassTransformation,BR_SP_ricestraw_trans,BR_SP,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_SP,0,0,0,Residue,residue_BR_SP,Electricity,elec_BR_SP,Electricity,elec_BR_SP,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_SP
BiomassTransformation,BR_SE_ricestraw_trans,BR_SE,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_SE,0,0,0,Residue,residue_BR_SE,Electricity,elec_BR_SE,Electricity,elec_BR_SE,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_SE
BiomassTransformation,BR_TO_ricestraw_trans,BR_TO,Biomass,TRUE,1,0,0,1.558,0,0,RiceStraw,TRUE,TRUE,ricestraw_BR_TO,0,0,0,Residue,residue_BR_TO,Electricity,elec_BR_TO,Electricity,elec_BR_TO,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_TO
