Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_AC_H2Power_Simple_Cycle,BR_AC,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,30,0.08,20,41190,0,240,1,elec_BR_AC,7.53,1019472,1,1,1,0.25,140,h2_BR_AC,2.5,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_AL_H2Power_Simple_Cycle,BR_AL,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,30,0.08,20,41190,0,240,1,elec_BR_AL,7.53,1019472,1,1,1,0.25,140,h2_BR_AL,2.5,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_AP_H2Power_Simple_Cycle,BR_AP,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,30,0.08,20,41190,0,240,1,elec_BR_AP,7.53,1019472,1,1,1,0.25,140,h2_BR_AP,2.5,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_AM_H2Power_Simple_Cycle,BR_AM,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,30,0.08,20,41190,0,240,1,elec_BR_AM,7.53,1019472,1,1,1,0.25,140,h2_BR_AM,2.5,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_BA_H2Power_Simple_Cycle,BR_BA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,30,0.08,20,41190,0,240,1,elec_BR_BA,7.53,1019472,1,1,1,0.25,140,h2_BR_BA,2.5,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_CE_H2Power_Simple_Cycle,BR_CE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,30,0.08,20,41190,0,240,1,elec_BR_CE,7.53,1019472,1,1,1,0.25,140,h2_BR_CE,2.5,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_DF_H2Power_Simple_Cycle,BR_DF,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,30,0.08,20,41190,0,240,1,elec_BR_DF,7.53,1019472,1,1,1,0.25,140,h2_BR_DF,2.5,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_ES_H2Power_Simple_Cycle,BR_ES,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,30,0.08,20,41190,0,240,1,elec_BR_ES,7.53,1019472,1,1,1,0.25,140,h2_BR_ES,2.5,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_GO_H2Power_Simple_Cycle,BR_GO,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,30,0.08,20,41190,0,240,1,elec_BR_GO,7.53,1019472,1,1,1,0.25,140,h2_BR_GO,2.5,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_MA_H2Power_Simple_Cycle,BR_MA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,30,0.08,20,41190,0,240,1,elec_BR_MA,7.53,1019472,1,1,1,0.25,140,h2_BR_MA,2.5,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
