Type,id,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--h2_edge--unidirectional,edges--h2_edge--commodity,edges--h2_edge--has_capacity,edges--natgas_edge--unidirectional,edges--natgas_edge--commodity,edges--natgas_edge--has_capacity,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--MinFlowConstraint,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--commodity,edges--co2_emission_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--start_vertex,edges--h2_edge--start_vertex,edges--natgas_edge--end_vertex,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--availability--timeseries--path,edges--co2_captured_edge--availability--timeseries--header,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--min_flow_fraction,edges--co2_captured_edge--start_vertex,transforms--h2_consumption,transforms--emission_rate,transforms--electricity_consumption,transforms--natgas_production
SyntheticNaturalGas,BR_AC_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_AC,h2_BR_AC,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_AC,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_AL_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_AL,h2_BR_AL,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_AL,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_AP_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_AP,h2_BR_AP,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_AP,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_AM_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_AM,h2_BR_AM,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_AM,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_BA_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_BA,h2_BR_BA,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_BA,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_CE_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_CE,h2_BR_CE,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_CE,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_DF_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_DF,h2_BR_DF,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_DF,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_ES_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_ES,h2_BR_ES,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_ES,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_GO_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_GO,h2_BR_GO,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_GO,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_MA_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_MA,h2_BR_MA,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_MA,7,0.044548717,0.291,5.56
