Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--sng_production,transforms--electricity_consumption,transforms--electricity_production,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--biomass_edge--commodity,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--start_vertex,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--sng_edge--commodity,edges--sng_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
BioGasifSNG,BR_AC_biogasif_sng,BR_AC,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_AC,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_AC,Electricity,elec_BR_AC,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AC
BioGasifSNG,BR_AL_biogasif_sng,BR_AL,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_AL,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_AL,Electricity,elec_BR_AL,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AL
BioGasifSNG,BR_AP_biogasif_sng,BR_AP,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_AP,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_AP,Electricity,elec_BR_AP,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AP
BioGasifSNG,BR_AM_biogasif_sng,BR_AM,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_AM,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_AM,Electricity,elec_BR_AM,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AM
BioGasifSNG,BR_BA_biogasif_sng,BR_BA,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_BA,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_BA,Electricity,elec_BR_BA,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_BA
BioGasifSNG,BR_CE_biogasif_sng,BR_CE,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_CE,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_CE,Electricity,elec_BR_CE,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_CE
BioGasifSNG,BR_DF_biogasif_sng,BR_DF,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_DF,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_DF,Electricity,elec_BR_DF,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_DF
BioGasifSNG,BR_ES_biogasif_sng,BR_ES,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_ES,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_ES,Electricity,elec_BR_ES,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_ES
BioGasifSNG,BR_GO_biogasif_sng,BR_GO,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_GO,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_GO,Electricity,elec_BR_GO,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_GO
BioGasifSNG,BR_MA_biogasif_sng,BR_MA,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_MA,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_MA,Electricity,elec_BR_MA,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_MA
