Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--transformation_rate,transforms--coproduct_rate,transforms--electricity_consumption,transforms--electricity_production,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--origin_edge--commodity,edges--origin_edge--has_capacity,edges--origin_edge--can_expand,edges--origin_edge--start_vertex,edges--origin_edge--investment_cost,edges--origin_edge--fixed_om_cost,edges--origin_edge--variable_om_cost,edges--general_edge--commodity,edges--general_edge--end_vertex,edges--coproduct_edge--commodity,edges--coproduct_edge--end_vertex,edges--coproduct_edge--variable_om_cost,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
BiomassTransformation_coprod,BR_AC_sugarcane_straw_harvest,BR_AC,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_AC,0,0,15,Sugarcane,sugarcane_harvest_BR_AC,SugarcaneStraw,sugarcanestraw_BR_AC,0,Electricity,elec_BR_AC,Electricity,elec_BR_AC,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AC
BiomassTransformation_coprod,BR_AL_sugarcane_straw_harvest,BR_AL,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_AL,0,0,15,Sugarcane,sugarcane_harvest_BR_AL,SugarcaneStraw,sugarcanestraw_BR_AL,0,Electricity,elec_BR_AL,Electricity,elec_BR_AL,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AL
BiomassTransformation_coprod,BR_AP_sugarcane_straw_harvest,BR_AP,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_AP,0,0,15,Sugarcane,sugarcane_harvest_BR_AP,SugarcaneStraw,sugarcanestraw_BR_AP,0,Electricity,elec_BR_AP,Electricity,elec_BR_AP,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AP
BiomassTransformation_coprod,BR_AM_sugarcane_straw_harvest,BR_AM,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_AM,0,0,15,Sugarcane,sugarcane_harvest_BR_AM,SugarcaneStraw,sugarcanestraw_BR_AM,0,Electricity,elec_BR_AM,Electricity,elec_BR_AM,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AM
BiomassTransformation_coprod,BR_BA_sugarcane_straw_harvest,BR_BA,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_BA,0,0,15,Sugarcane,sugarcane_harvest_BR_BA,SugarcaneStraw,sugarcanestraw_BR_BA,0,Electricity,elec_BR_BA,Electricity,elec_BR_BA,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_BA
BiomassTransformation_coprod,BR_CE_sugarcane_straw_harvest,BR_CE,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_CE,0,0,15,Sugarcane,sugarcane_harvest_BR_CE,SugarcaneStraw,sugarcanestraw_BR_CE,0,Electricity,elec_BR_CE,Electricity,elec_BR_CE,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_CE
BiomassTransformation_coprod,BR_DF_sugarcane_straw_harvest,BR_DF,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_DF,0,0,15,Sugarcane,sugarcane_harvest_BR_DF,SugarcaneStraw,sugarcanestraw_BR_DF,0,Electricity,elec_BR_DF,Electricity,elec_BR_DF,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_DF
BiomassTransformation_coprod,BR_ES_sugarcane_straw_harvest,BR_ES,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_ES,0,0,15,Sugarcane,sugarcane_harvest_BR_ES,SugarcaneStraw,sugarcanestraw_BR_ES,0,Electricity,elec_BR_ES,Electricity,elec_BR_ES,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_ES
BiomassTransformation_coprod,BR_GO_sugarcane_straw_harvest,BR_GO,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_GO,0,0,15,Sugarcane,sugarcane_harvest_BR_GO,SugarcaneStraw,sugarcanestraw_BR_GO,0,Electricity,elec_BR_GO,Electricity,elec_BR_GO,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_GO
BiomassTransformation_coprod,BR_MA_sugarcane_straw_harvest,BR_MA,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_MA,0,0,15,Sugarcane,sugarcane_harvest_BR_MA,SugarcaneStraw,sugarcanestraw_BR_MA,0,Electricity,elec_BR_MA,Electricity,elec_BR_MA,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_MA
