Time_Index,Demand_Ethanol,Demand_Gasoline,Demand_Flexfuel,Demand_Jetfuel,Demand_SAF_Jetfuel,Demand_fossil_Jetfuel,Demand_Diesel,Demand_BioDiesel
1,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
2,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
3,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
4,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
5,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
6,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
7,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
8,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
9,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
10,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
11,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
12,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
13,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
14,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
15,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
16,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
17,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
18,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
19,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
20,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
21,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
22,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
23,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
24,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
25,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
26,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
27,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
28,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
29,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
30,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
31,111.3,8776,2137.8,1799,449.8,2248.8,8966.1,995.2
