Time_Index,Demand_Zero ,Demand_Hydrogen,Demand_Ammonia,Demand_Ethanol,Demand_Flexfuel,Demand_Gasoline,Demand_BioDiesel,Demand_Diesel,Demand_SAF_Jetfuel,Demand_fossil_Jetfuel,Demand_Jetfuel,Demand_Charcoal ,Demand_CO2
1,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
2,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
3,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
4,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
5,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
6,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
7,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
8,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
9,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
10,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
11,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
12,0,10000,5000,877599,45522091,7898396,9817910,55634823,328322,1641612,1313289,10000,5000000
