Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
1,151.65,3770.48,2155.87,946.22,10160.61,5142.56,684.32,1558.4,6619.66,6561.93,23420.5,3617.25,5772.1,6666.45,1701.96,2924.47,6111.17,15762.28,14194.34,9912.39,3601.16,394.09,8623.25,6493.1,370.04,20399.83,2179.6
2,171.96,3675.03,2211.93,868.41,9445.91,4379.53,659.71,1503.51,6642.28,6449.14,22952.62,3713.77,5962.74,6625.15,1583.24,2816.71,5530.68,15198.65,14214.53,8886.11,3660.09,402.02,8425.97,5775.96,360.33,20522.11,2174.76
3,189.0,3394.56,2336.42,814.46,10069.47,4413.82,524.87,1394.11,6365.17,6540.65,23632.71,3582.14,5828.61,6775.34,1495.76,2789.47,5659.59,15026.1,14179.47,9701.81,3647.04,401.33,9189.73,6096.93,316.63,20526.75,2114.08
4,177.37,3064.13,2436.96,1028.32,10599.83,4661.93,374.07,1251.75,6367.02,6279.6,24722.34,3309.23,5436.76,6468.47,1528.82,2764.28,5599.96,14840.46,14218.1,10882.28,4634.79,443.49,9699.84,6464.02,245.57,19961.61,1989.62
5,143.12,2652.56,2483.46,1250.58,10365.14,4967.49,221.64,999.42,6642.21,6156.31,24545.96,2922.43,4828.84,7488.16,1460.16,2418.32,4828.06,16060.22,13584.15,11850.52,6796.77,475.86,9361.26,7429.72,156.48,19351.12,1815.62
6,105.24,2264.38,2513.68,1325.74,11290.26,4032.29,112.41,772.25,6922.99,5895.34,23287.11,2392.73,3979.75,10084.99,1320.87,2109.36,4115.75,20643.21,13064.86,12256.07,6977.18,473.87,8556.75,10948.38,68.16,19518.24,1609.87
7,61.75,2163.15,2321.94,1234.9,13939.2,3196.23,16.18,718.63,6586.74,5593.19,20560.83,1803.86,3384.75,12271.0,1157.45,2523.34,3085.42,26192.63,12933.37,12496.07,7002.26,452.17,8558.52,12423.36,18.2,20908.28,1437.03
8,20.22,2209.44,2258.88,1196.5,19818.25,3243.67,0.07,728.02,6279.48,5570.24,20281.2,1586.79,3188.33,17314.0,1166.98,3650.11,3184.27,27180.62,12950.27,13269.47,6993.17,427.68,8809.11,12821.67,13.2,21904.42,1382.96
9,0.68,2207.23,2229.47,1200.54,23422.09,3631.27,0.0,724.91,6168.49,5545.6,19627.83,1589.06,3382.19,15005.38,1255.33,3610.33,4108.85,27207.38,12981.49,12923.16,7026.55,416.21,9158.89,12924.63,13.19,18813.04,1381.32
10,0.0,2219.75,2237.11,1149.8,25640.89,3365.97,0.0,726.0,5928.18,5547.52,18967.77,1592.87,3166.46,11448.62,1438.47,3681.26,5765.05,26440.49,12699.23,11973.36,7048.51,448.51,9419.26,12971.78,15.38,16600.51,1382.79
11,0.0,2214.99,2230.19,1114.88,25528.91,3501.67,0.0,725.62,5647.08,5597.81,18909.19,1594.86,2802.8,9278.66,1440.03,3589.14,7005.62,25672.45,12471.56,11207.56,6885.77,468.0,9659.09,12993.33,15.38,15315.63,1379.04
12,0.0,2163.47,2238.5,1046.87,24899.54,3445.96,0.0,657.98,5219.29,5641.43,17671.69,1592.81,2671.12,7125.59,1494.97,2674.53,7684.92,23857.63,12470.45,10690.86,6834.55,488.42,9912.72,12809.4,15.38,13660.11,1377.16
13,0.0,2048.65,2249.47,1007.62,23088.4,3305.46,0.0,655.74,5098.51,5638.15,15044.16,1598.1,2683.21,6589.93,1470.76,1667.32,8469.82,19962.16,12479.71,10246.42,6829.01,493.84,9690.97,11586.88,15.38,13315.9,1378.84
14,0.0,2049.57,2258.58,1078.14,22714.58,3410.56,0.0,634.8,4418.86,5629.05,11814.93,1539.91,2610.78,5621.21,1502.47,1339.74,8418.42,17268.27,12650.37,9362.47,6669.79,493.9,9168.76,10022.49,13.19,12562.13,1418.85
15,0.0,2039.59,2255.81,1137.09,22849.41,3481.94,0.0,638.7,4047.56,5596.73,9814.41,1561.85,2605.08,5191.52,1716.89,1377.6,8120.04,14017.14,13027.96,9579.27,6622.54,475.24,8881.16,8292.9,13.19,12450.62,1438.04
16,0.0,2047.72,2264.77,1169.76,23077.84,3635.03,0.0,641.53,4054.81,5633.1,9255.28,1582.48,2600.38,5091.25,1706.64,1293.58,8438.16,11980.88,13052.14,9518.39,5802.59,447.51,9049.41,6765.14,13.19,12299.14,1440.65
17,0.0,2048.58,2581.68,1206.4,23083.68,3467.96,0.0,641.66,4061.94,5610.14,8846.59,1588.31,2600.81,5092.39,1680.29,1335.68,8970.1,10873.53,13043.1,9594.43,5405.01,421.99,9110.39,6090.94,13.19,12107.72,1441.03
18,0.0,2072.58,2446.63,1263.33,23137.22,2892.32,0.0,645.83,4063.18,5466.94,9043.26,1601.64,2610.52,5093.76,1656.2,1268.91,8893.93,12478.8,12526.25,9621.37,5029.19,397.52,9085.82,6649.09,13.19,12173.23,1449.2
19,0.0,2100.31,2431.99,1266.68,23383.22,2736.38,0.0,647.87,4055.88,5478.05,9286.71,1609.87,2610.61,5456.42,1644.93,1180.5,8677.52,14579.5,12031.69,9326.86,5847.83,382.34,9525.37,8049.04,14.3,12448.95,1443.67
20,0.0,2378.37,2418.48,1269.17,23245.86,3594.95,20.78,764.9,4109.6,5467.73,9964.59,1612.67,2626.85,5276.93,1829.85,1742.3,9045.54,16277.81,11249.64,9801.61,6520.75,363.59,10086.64,10791.55,50.45,12960.2,1477.83
21,2.74,2806.18,2447.76,1283.54,20667.69,4908.04,162.43,1112.18,4670.67,5722.58,13507.41,1771.17,2978.43,5538.01,2163.48,2341.94,10174.92,16742.71,11603.09,10551.72,6408.97,319.19,10372.77,10500.12,128.02,14913.67,1653.04
22,30.53,3166.03,2539.45,1069.99,19595.13,5177.4,354.68,1478.47,5432.45,5928.58,18053.37,2399.14,3822.58,5768.65,2222.05,2486.58,9935.1,14261.32,12056.03,10552.83,4283.55,331.64,11011.69,8419.47,207.14,18151.71,1851.98
23,76.72,3447.03,2578.12,795.38,17725.89,5320.16,506.52,1753.71,6069.47,6156.65,19953.23,3049.31,4636.1,5907.51,2088.08,2495.51,8943.59,12749.43,12335.45,9832.04,3443.32,365.81,10992.73,6438.41,267.29,19927.04,2025.55
24,124.85,3687.37,2547.69,738.65,16128.05,5327.59,615.12,1897.76,6386.96,6286.06,20753.47,3538.47,5358.39,6362.28,1952.5,2588.8,7857.57,13293.4,12422.0,8720.19,3519.92,377.7,11133.41,5976.94,301.67,21170.58,2160.59
25,161.67,3724.33,2191.75,787.74,15366.89,5362.12,677.58,1872.3,6666.31,6140.42,20587.25,3771.97,5805.53,6756.81,1832.03,2571.79,7686.71,14043.76,12596.38,8398.55,3618.58,349.11,10344.48,6033.67,313.09,21707.97,2214.23
26,179.05,3654.9,2374.7,803.93,13789.91,4978.28,678.48,1768.9,6930.52,5931.49,19003.79,3929.59,5975.53,6414.85,1615.46,2414.64,6791.78,14463.39,12637.51,7447.15,3667.16,318.99,9681.99,5899.07,301.25,21516.17,2209.18
27,178.23,3458.38,2652.89,767.01,14729.8,5064.68,618.45,1578.96,6707.59,5987.45,20019.72,3842.73,5847.95,6582.5,1654.72,2584.05,7311.08,14443.48,12491.29,8305.76,3644.68,355.0,9661.98,5899.64,274.34,20993.48,2152.35
28,168.19,3123.61,2831.07,746.22,17460.31,5473.8,486.0,1370.9,6266.05,6194.21,19796.62,3520.59,5390.99,6138.3,1870.89,2650.91,8411.99,13717.22,12382.09,10987.21,4771.44,459.75,9569.57,5736.02,207.69,20103.85,2031.44
29,142.07,2703.96,2775.87,888.82,17851.72,5287.54,348.24,1102.7,5654.15,6007.98,19522.53,2994.45,4708.21,5986.87,1573.01,2670.04,8784.87,15786.73,12586.95,11510.77,6013.43,475.43,9868.61,7560.97,129.63,19197.9,1863.3
30,105.76,2276.41,2709.71,1447.23,20207.06,4894.32,167.86,810.91,5029.57,5654.08,19098.12,2342.61,3955.89,6920.06,1461.24,2259.82,9075.49,17926.17,12412.44,13126.18,6678.92,474.85,9399.37,8791.77,54.98,19531.42,1668.97
31,61.71,2235.86,2616.11,1452.39,21234.7,4046.75,31.83,666.13,5559.11,5450.39,17536.31,1775.64,3399.72,9449.63,1386.02,2673.14,7584.19,22965.04,12302.15,11798.96,6558.65,430.92,10159.01,10643.33,13.77,20554.86,1504.62
32,19.04,2434.32,2532.37,1436.15,23850.61,3404.01,0.0,692.83,5832.72,5438.45,21010.35,1582.28,3170.97,11243.84,1497.52,3580.93,7550.22,24917.67,12317.54,11888.67,6503.58,369.06,10923.44,11534.04,13.19,21457.96,1456.66
33,1.18,2370.24,2508.34,1430.07,22987.08,2620.68,0.0,683.93,6121.48,5557.89,21707.33,1581.17,3343.73,9640.23,1719.28,3367.92,8498.27,26494.66,12370.91,8960.24,6453.51,359.41,11088.44,12587.83,13.19,21252.61,1438.4
34,0.0,2425.68,2547.76,1437.43,21946.67,3316.91,0.0,686.93,5886.48,5602.67,20781.59,1594.25,3143.89,8048.38,1750.57,3446.78,9132.38,26282.17,11939.4,10216.95,6457.64,382.43,11284.76,12656.84,13.19,17653.91,1449.76
35,0.0,2391.19,2563.41,1432.14,22606.6,3076.03,0.0,686.03,5746.4,5615.15,21871.98,1569.48,2781.52,6716.32,1856.82,3625.28,9450.25,25261.27,11649.3,9616.72,6426.97,401.33,11027.45,12517.12,14.29,15856.9,1440.86
36,0.0,2288.3,2648.71,1407.7,20892.59,3522.26,0.0,644.5,4844.33,5643.56,19245.06,1549.98,2626.34,6628.36,1868.02,3214.83,9670.33,23969.61,11736.08,9923.99,6391.74,422.09,11147.01,12013.09,14.29,14159.41,1445.09
37,0.0,2050.41,2679.42,1321.5,19937.79,3739.93,0.0,639.68,4207.02,5655.11,14598.1,1553.65,2619.65,5818.79,1849.67,2141.66,9787.14,21838.0,12261.62,10693.11,6385.5,424.63,10689.56,10918.16,13.19,13080.93,1441.39
38,0.0,2053.92,2694.29,1286.66,19566.7,3836.36,0.0,644.28,4012.09,5640.73,10622.44,1585.96,2664.3,4905.99,1823.12,1518.16,9763.99,18939.37,12274.59,10603.68,6381.19,425.81,10020.07,9721.71,13.19,12505.57,1442.54
39,0.0,2062.29,2645.08,1282.91,19554.32,3864.57,0.0,647.41,3977.16,5657.46,10060.39,1534.48,2659.09,4903.31,1812.53,1406.15,9624.63,14751.7,12023.93,10388.0,6385.6,412.5,9682.32,8642.98,13.19,11994.22,1445.3
