Type,id,location,edges--edge--commodity,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--lifetime,edges--edge--constraints--CapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,transforms--timedata,edges--edge--end_vertex,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--max_capacity,edges--edge--existing_capacity,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header
VRE,SEL_utility_pv,SEL,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_SEL,884000,19800.19684,0,288617,138,system/availability.csv,KR_utilitypv
VRE,PUS_utility_pv,PUS,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_PUS,884000,19800.19684,0,288617,268,system/availability.csv,KR_utilitypv
VRE,TAE_utility_pv,TAE,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_TAE,884000,19800.19684,0,288617,229,system/availability.csv,KR_utilitypv
VRE,INC_utility_pv,INC,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_INC,884000,19800.19684,0,288617,214,system/availability.csv,KR_utilitypv
VRE,KWJ_utility_pv,KWJ,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_KWJ,884000,19800.19684,0,288617,191,system/availability.csv,KR_utilitypv
VRE,USN_utility_pv,USN,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_USN,884000,19800.19684,0,288617,122,system/availability.csv,KR_utilitypv
VRE,SJG_utility_pv,SJG,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_SJG,884000,19800.19684,0,288617,46,system/availability.csv,KR_utilitypv
VRE,GGI_utility_pv,GGI,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_GGI,884000,19800.19684,0,288617,1376,system/availability.csv,KR_utilitypv
VRE,GWN_utility_pv,GWN,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_GWN,884000,19800.19684,0,288617,688,system/availability.csv,KR_utilitypv
VRE,CNA_utility_pv,CNA,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_CNA,884000,19800.19684,0,288617,2363,system/availability.csv,KR_utilitypv
