Type,id,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--can_retire,edges--transmission_edge--can_expand,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--lifetime,edges--transmission_edge--wacc,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--investment_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--fixed_om_cost,Note
TransmissionLink,SEL_to_INC_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SEL,elec_INC,27.002,0.001,100000,3000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SEL_to_GGI_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SEL,elec_GGI,50.603,0.001518,100000,5000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,INC_to_GGI_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_INC,elec_GGI,71.947,0.002158,100000,2000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,GGI_to_GWN_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GGI,elec_GWN,72.236,0.002167,100000,2500,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,GGI_to_CNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GGI,elec_CNB,86.543,0.002596,100000,3000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,GGI_to_CNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GGI,elec_CNA,118.259,0.003548,100000,3000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,GWN_to_GNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GWN,elec_GNB,161.631,0.004849,100000,2000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,CNB_to_GNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNB,elec_GNB,125.832,0.003775,100000,2500,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,CNB_to_JNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNB,elec_JNB,96.984,0.00291,100000,2000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,CNB_to_DJJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNB,elec_DJJ,33.143,0.001,100000,2000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,CNA_to_DJJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNA,elec_DJJ,55.526,0.001666,100000,2000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,CNA_to_JNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CNA,elec_JNB,82.46,0.002474,100000,1500,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SJG_to_CNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SJG,elec_CNB,25.039,0.001,100000,1000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
