Type,id,location,edges--edge--commodity,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--lifetime,edges--edge--constraints--CapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,transforms--timedata,edges--edge--end_vertex,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--max_capacity,edges--edge--existing_capacity,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header
VRE,SEL_utility_pv,SEL,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_SEL,610000,17503.4,0,1700,0,system/availability.csv,KR_utilitypv
VRE,PUS_utility_pv,PUS,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_PUS,610000,17503.4,0,3200,0,system/availability.csv,KR_utilitypv
VRE,TAE_utility_pv,TAE,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_TAE,610000,17503.4,0,2800,0,system/availability.csv,KR_utilitypv
VRE,INC_utility_pv,INC,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_INC,610000,17503.4,0,2100,0,system/availability.csv,KR_utilitypv
VRE,KWJ_utility_pv,KWJ,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_KWJ,610000,17503.4,0,1900,0,system/availability.csv,KR_utilitypv
VRE,DJJ_utility_pv,DJJ,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_DJJ,610000,17503.4,0,1200,0,system/availability.csv,KR_utilitypv
VRE,USN_utility_pv,USN,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_USN,610000,17503.4,0,2200,0,system/availability.csv,KR_utilitypv
VRE,SJG_utility_pv,SJG,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_SJG,610000,17503.4,0,800,0,system/availability.csv,KR_utilitypv
VRE,GGI_utility_pv,GGI,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_GGI,610000,17503.4,0,15000,0,system/availability.csv,KR_utilitypv
VRE,GWN_utility_pv,GWN,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_GWN,610000,17503.4,0,46700,0,system/availability.csv,KR_utilitypv
