Type,id,location,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--elec_edge--uc,edges--elec_edge--integer_decisions,edges--elec_edge--lifetime,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--end_vertex,edges--elec_edge--investment_cost,edges--elec_edge--existing_capacity,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_flow_fraction,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate
ThermalPower,SEL_nuclear_power_plant,SEL,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,FALSE,TRUE,elec_SEL,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,PUS_nuclear_power_plant,PUS,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_PUS,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,TAE_nuclear_power_plant,TAE,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_TAE,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,INC_nuclear_power_plant,INC,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_INC,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,KWJ_nuclear_power_plant,KWJ,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_KWJ,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,DJJ_nuclear_power_plant,DJJ,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_DJJ,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,USN_nuclear_power_plant,USN,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_USN,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,SJG_nuclear_power_plant,SJG,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_SJG,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,GGI_nuclear_power_plant,GGI,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_GGI,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,GWN_nuclear_power_plant,GWN,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_GWN,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,CNB_nuclear_power_plant,CNB,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_CNB,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,CNA_nuclear_power_plant,CNA,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_CNA,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,JNB_nuclear_power_plant,JNB,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_JNB,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,JNA_nuclear_power_plant,JNA,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_JNA,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
ThermalPower,GNB_nuclear_power_plant,GNB,TRUE,Electricity,TRUE,TRUE,FALSE,30,TRUE,TRUE,TRUE,elec_GNB,2807000,0,199087.824,10.34,1051.009,0,0,36,36,0.25,0.25,0.5,Uranium,TRUE,FALSE,uranium_source,CO2,TRUE,FALSE,co2_sink_KR,Uranium,TRUE,3.064351108,0
