Time_Index,KR_utilitypv,onwind,offwind-ac,offwind-dc,availability_one
1,0,0.080424789,0.273421735,0.325173447,1
2,0,0.11164736,0.350075541,0.387742295,1
3,0,0.134419107,0.409587874,0.438982983,1
4,0,0.153082281,0.445966596,0.474444456,1
5,0,0.170391148,0.467136775,0.473490109,1
6,0,0.171788859,0.441572582,0.44174437,1
7,0,0.125759035,0.317021022,0.379189987,1
8,0.149781449,0.051879803,0.094364542,0.090938673,1
9,0.336078051,0.067152626,0.073525114,0.072586166,1
10,0.480024503,0.101745367,0.073428454,0.06049382,1
11,0.56232378,0.133362875,0.070683404,0.049153595,1
12,0.597854771,0.156865575,0.062661973,0.045436566,1
13,0.570328749,0.171626176,0.059209381,0.050279885,1
14,0.482685424,0.187095631,0.067045714,0.062231751,1
15,0.348728165,0.18056369,0.076428652,0.072122153,1
16,0.166467734,0.159309901,0.079408317,0.068551664,1
17,0,0.166868399,0.08709336,0.065319042,1
18,0,0.083472742,0.073048924,0.052765844,1
19,0,0.090643831,0.06789687,0.050556436,1
20,0,0.104470961,0.070785763,0.053017902,1
21,0,0.113762533,0.072459176,0.057124373,1
22,0,0.108174263,0.072075922,0.055541277,1
23,0,0.106607708,0.072460935,0.054857908,1
24,0,0.115186239,0.067670296,0.051189746,1
25,0,0.110872474,0.066309722,0.046640255,1
26,0,0.105303605,0.068344027,0.049009417,1
27,0,0.096125693,0.064271874,0.054205858,1
28,0,0.09696005,0.057899308,0.064791551,1
29,0,0.093013333,0.051885129,0.071463781,1
30,0,0.036092427,0.042969908,0.085465152,1
31,0,0.036733846,0.044535975,0.087456147,1
32,0.141903492,0.043500158,0.046974517,0.089264619,1
33,0.309899583,0.050976982,0.055393838,0.105852982,1
34,0.434382226,0.156622498,0.071978943,0.115762548,1
35,0.522606118,0.262086681,0.092860405,0.123871221,1
36,0.529381123,0.339488868,0.119503212,0.141590294,1
37,0.494111043,0.376566972,0.159051443,0.160922271,1
38,0.425483357,0.367509306,0.198335095,0.17853663,1
39,0.298080005,0.300435956,0.253390962,0.22099195,1
40,0.137018195,0.348663837,0.319828989,0.274023328,1
41,0,0.359117308,0.370069352,0.322604144,1
42,0,0.228357375,0.370597294,0.376431439,1
43,0,0.183112274,0.306987867,0.327563992,1
44,0,0.1522557,0.260853022,0.28551191,1
45,0,0.140027901,0.279834577,0.296598233,1
46,0,0.14361978,0.339305259,0.357016657,1
47,0,0.15298612,0.415777076,0.437800221,1
48,0,0.154101554,0.472399265,0.520543281,1
49,0,0.163526445,0.545875561,0.623167743,1
50,0,0.161885431,0.573898435,0.687004889,1
51,0,0.145716589,0.557914428,0.718100695,1
52,0,0.133259892,0.536774013,0.732170825,1
53,0,0.113440848,0.515183943,0.732059856,1
54,0,0.055683542,0.37381542,0.656920745,1
55,0,0.060153219,0.418195523,0.7006493,1
56,0.145779256,0.07617057,0.44229811,0.70193478,1
57,0.339243935,0.077699203,0.455550746,0.710694731,1
58,0.475690492,0.069915253,0.449127598,0.730775259,1
59,0.564359232,0.105778289,0.497720014,0.761001928,1
60,0.595090908,0.136244764,0.533014308,0.781170985,1
61,0.553641076,0.134028765,0.538846765,0.796482174,1
62,0.481920787,0.153458618,0.564014974,0.800368793,1
63,0.340877204,0.153209578,0.567331704,0.803786552,1
64,0.158707056,0.134794742,0.549303035,0.798028439,1
65,0,0.137012452,0.542914618,0.793908157,1
66,0,0.136180447,0.523575897,0.734967589,1
67,0,0.133359271,0.548486303,0.76626816,1
68,0,0.141429886,0.555774879,0.774416917,1
69,0,0.139278822,0.579428591,0.791393575,1
70,0,0.143149749,0.566598043,0.779201911,1
71,0,0.112126954,0.505049378,0.743508673,1
72,0,0.118704042,0.521211034,0.757983451,1
73,0,0.109875056,0.514768329,0.740674488,1
74,0,0.105460445,0.50755421,0.717590281,1
75,0,0.101587079,0.499177944,0.7002921,1
76,0,0.094360037,0.492456437,0.693248735,1
77,0,0.07755655,0.428788281,0.64900881,1
78,0,0.056701436,0.309239436,0.504895385,1
79,0,0.048983993,0.306618631,0.43053603,1
80,0.059915016,0.040163026,0.263607664,0.380943282,1
81,0.176515351,0.026342967,0.200016198,0.363857616,1
82,0.307922716,0.021989239,0.160115448,0.338305049,1
83,0.42450565,0.018505954,0.150391608,0.310044984,1
84,0.434533486,0.019064081,0.159928918,0.280227293,1
85,0.379692235,0.018995798,0.160411699,0.27202763,1
86,0.297740608,0.016743768,0.154316645,0.290179369,1
87,0.134402343,0.015293163,0.151374077,0.298813774,1
88,0.040206488,0.012042728,0.129923797,0.279585657,1
89,0,0.01491467,0.111992228,0.267621471,1
90,0,0.004197765,0.067619668,0.216116167,1
91,0,0.002754232,0.054084812,0.159203982,1
92,0,0.002635708,0.044733947,0.148976642,1
93,0,0.002539961,0.039673364,0.142976264,1
94,0,0.000655917,0.026174523,0.129778525,1
95,0,0.000586387,0.025089606,0.126850341,1
96,0,0.001488582,0.035179724,0.137382252,1
97,0,0.002474333,0.051617005,0.173329459,1
98,0,0.004424335,0.079561634,0.224920546,1
99,0,0.007066726,0.112220785,0.281951582,1
100,0,0.009978427,0.140165302,0.3158942,1
101,0,0.01377111,0.165299949,0.34196024,1
102,0,0.026160529,0.233081269,0.443550943,1
103,0,0.025524033,0.231536611,0.453964465,1
104,0.038661155,0.022169857,0.186132043,0.429291788,1
105,0.133307278,0.020184308,0.16283332,0.409910479,1
