Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,,,,,,,,,
1,62279.83866,63709.80176,68318.20749,73208.17018,8700,0,,,,,,,,,
2,60027.131,61405.37127,65847.08758,70560.17671,8700,0,,,,,,,,,
3,58408.32703,59749.3991,64071.33177,68657.31891,8700,0,,,,,,,,,
4,57433.97582,58752.67651,63002.51191,67511.99692,8700,0,,,,,,,,,
5,57193.26504,58506.43893,62738.46291,67229.04828,8700,0,,,,,,,,,
6,57479.04915,58798.78473,63051.95534,67564.97933,8700,0,,,,,,,,,
7,57725.51398,59050.90846,63322.31629,67854.69169,8700,0,,,,,,,,,
8,57523.16348,58843.91194,63100.34679,67616.83446,8700,0,,,,,,,,,
9,57181.75696,58494.66663,62725.83906,67215.52086,8700,0,,,,,,,,,
10,55530.34674,56805.33955,60914.31564,65274.33534,8700,0,,,,,,,,,
11,55242.64461,56511.0317,60598.71923,64936.14972,8700,0,,,,,,,,,
12,54537.7744,55789.97747,59825.50802,64107.59493,8700,0,,,,,,,,,
13,53887.56759,55124.84171,59112.26012,63343.29541,8700,0,,,,,,,,,
14,54111.01624,55353.42081,59357.37334,63605.95292,8700,0,,,,,,,,,
15,54367.07114,55615.35481,59638.25415,63906.93812,8700,0,,,,,,,,,
16,55909.15454,57192.84489,61329.85092,65719.61309,8700,0,,,,,,,,,
17,57948.00362,59278.50652,63566.3775,68116.2219,8700,0,,,,,,,,,
18,60351.2754,61736.95812,66202.65954,70941.19919,8700,0,,,,,,,,,
19,61545.23923,62958.33571,67512.38465,72344.66955,8700,0,,,,,,,,,
20,61036.00646,62437.41081,66953.77899,71746.08098,8700,0,,,,,,,,,
21,60181.53114,61563.31648,66016.45765,70741.66966,8700,0,,,,,,,,,
22,59037.43568,60392.95227,64761.43592,69396.81815,8700,0,,,,,,,,,
23,59438.30065,60803.02121,65201.16693,69868.02347,8700,0,,,,,,,,,
24,60470.19228,61858.60537,66333.10606,71080.98258,8700,0,,,,,,,,,
25,58171.45228,59507.08563,63811.49072,68378.87941,8700,0,,,,,,,,,
26,56200.6927,57491.07685,61649.65529,66062.30785,8700,0,,,,,,,,,
27,54959.73752,56221.62897,60288.38276,64603.60052,8700,0,,,,,,,,,
28,54340.21894,55587.88608,59608.79849,63875.37413,8700,0,,,,,,,,,
29,54407.34943,55656.5579,59682.43764,63954.2841,8700,0,,,,,,,,,
30,54976.99965,56239.28745,60307.31855,64623.89166,8700,0,,,,,,,,,
31,55984.9161,57270.34595,61412.95798,65808.66863,8700,0,,,,,,,,,
32,56854.73554,58160.1367,62367.11113,66831.11653,8700,0,,,,,,,,,
33,58182.00135,59517.87692,63823.06258,68391.27955,8700,0,,,,,,,,,
34,57075.30717,58385.77272,62609.06839,67090.39217,8700,0,,,,,,,,,
35,56360.84688,57654.90821,61825.33728,66250.56452,8700,0,,,,,,,,,
36,54947.27043,56208.87564,60274.70693,64588.94581,8700,0,,,,,,,,,
37,53192.28745,54413.59775,58349.5688,62526.01348,8700,0,,,,,,,,,
38,52808.68461,54021.18727,57928.77359,62075.0993,8700,0,,,,,,,,,
39,53218.18064,54440.08545,58377.97247,62556.45019,8700,0,,,,,,,,,
40,55492.94546,56767.07953,60873.28812,65230.37121,8700,0,,,,,,,,,
41,58889.74859,60241.87424,64599.42976,69223.2162,8700,0,,,,,,,,,
42,61590.31256,63004.44393,67561.82808,72397.65195,8700,0,,,,,,,,,
43,62414.09966,63847.14542,68465.48582,73365.99014,8700,0,,,,,,,,,
44,61622.91881,63037.79884,67597.59569,72435.97967,8700,0,,,,,,,,,
45,60399.22575,61786.00943,66255.25894,70997.56346,8700,0,,,,,,,,,
46,59157.31157,60515.58054,64892.93443,69537.72883,8700,0,,,,,,,,,
47,59421.99753,60786.34376,65183.28313,69848.85961,8700,0,,,,,,,,,
48,61594.14859,63008.36804,67566.03604,72402.16109,8700,0,,,,,,,,,
49,59450.76774,60815.77455,65214.84277,69882.67817,8700,0,,,,,,,,,
50,57274.78064,58589.82615,62827.88189,67324.86753,8700,0,,,,,,,,,
51,55919.70362,57203.63618,61341.42279,65732.01323,8700,0,,,,,,,,,
52,55237.84958,56506.12657,60593.4593,64930.51329,8700,0,,,,,,,,,
53,55160.17,56426.66344,60508.24825,64839.20316,8700,0,,,,,,,,,
54,55692.41894,56971.13298,61092.10163,65464.84659,8700,0,,,,,,,,,
55,56463.46064,57759.87801,61937.90001,66371.18407,8700,0,,,,,,,,,
56,56939.12816,58246.467,62459.68609,66930.31764,8700,0,,,,,,,,,
57,56997.62759,58306.30959,62523.85735,66999.08205,8700,0,,,,,,,,,
58,54505.16816,55756.62257,59789.74043,64069.26723,8700,0,,,,,,,,,
59,54169.51568,55413.26342,59421.54462,63674.71734,8700,0,,,,,,,,,
60,53620.00461,54851.13541,58818.75546,63028.78278,8700,0,,,,,,,,,
61,53739.8805,54973.76369,58950.25397,63169.69346,8700,0,,,,,,,,,
62,55432.52802,56705.27488,60807.01287,65159.35224,8700,0,,,,,,,,,
63,57027.35681,58336.72141,62556.46898,67034.0279,8700,0,,,,,,,,,
64,58839.88022,60190.86088,64544.72638,69164.59736,8700,0,,,,,,,,,
65,60611.16632,62002.81621,66487.7483,71246.69353,8700,0,,,,,,,,,
66,62743.9981,64184.61843,68827.36971,73753.77632,8700,0,,,,,,,,,
67,63748.07853,65211.75284,69928.80119,74934.04417,8700,0,,,,,,,,,
68,62954.97966,64400.44418,69058.80708,74001.77913,8700,0,,,,,,,,,
69,62158.04476,63585.21144,68184.60501,73065.00492,8700,0,,,,,,,,,
70,60694.59994,62088.1655,66579.27126,71344.76736,8700,0,,,,,,,,,
71,61094.5059,62497.2534,67017.95028,71814.8454,8700,0,,,,,,,,,
72,61836.77739,63256.56767,67832.18902,72687.36432,8700,0,,,,,,,,,
73,59533.24235,60900.1428,65305.31374,69979.62472,8700,0,,,,,,,,,
74,57550.97469,58872.36171,63130.85445,67649.52575,8700,0,,,,,,,,,
75,56520.04206,57817.75856,61999.9673,66437.6939,8700,0,,,,,,,,,
76,56308.10149,57600.95177,61767.47795,66188.56383,8700,0,,,,,,,,,
77,56804.86717,58109.12334,62312.40776,66772.49769,8700,0,,,,,,,,,
78,58577.11228,59922.0597,64256.48165,68855.72115,8700,0,,,,,,,,,
79,62247.23242,63676.44686,68282.4399,73169.84247,8700,0,,,,,,,,,
80,68721.48931,70299.35457,75384.41118,80780.14638,8700,0,,,,,,,,,
81,77455.16691,79233.55992,84964.86629,91046.33477,8700,0,,,,,,,,,
82,79401.95131,81225.04306,87100.40201,93334.72418,8700,0,,,,,,,,,
83,78681.73698,80488.2924,86310.35899,92488.13286,8700,0,,,,,,,,,
84,76685.08422,78445.79592,84120.1199,90141.12454,8700,0,,,,,,,,,
85,73399.52591,75084.80024,80516.00885,86279.0447,8700,0,,,,,,,,,
86,76298.60436,78050.44237,83696.16871,89686.82858,8700,0,,,,,,,,,
87,77981.66181,79772.1433,85542.40772,91665.21452,8700,0,,,,,,,,,
88,78092.90663,79885.94234,85664.43833,91795.97958,8700,0,,,,,,,,,
89,79444.14762,81268.20821,87146.68948,93384.32472,8700,0,,,,,,,,,
90,78318.2733,80116.48349,85911.65553,92060.89165,8700,0,,,,,,,,,
91,75606.20124,77342.14148,82936.63334,88872.92844,8700,0,,,,,,,,,
92,72613.1401,74280.35878,79653.37866,85354.67065,8700,0,,,,,,,,,
93,69879.96988,71484.43418,76655.21274,82141.90719,8700,0,,,,,,,,,
94,66867.7286,68403.03097,73350.91829,78601.10366,8700,0,,,,,,,,,
95,65653.62562,67161.05184,72019.10143,77173.96032,8700,0,,,,,,,,,
96,67444.09186,68992.6277,73983.1631,79278.6022,8700,0,,,,,,,,,
97,64509.53016,65990.68762,70764.07969,75829.10881,8700,0,,,,,,,,,
98,62294.22377,63724.51715,68333.98731,73225.07946,8700,0,,,,,,,,,
99,60869.13923,62266.71226,66770.73308,71549.93332,8700,0,,,,,,,,,
100,60547.87185,61938.06849,66418.31708,71172.2927,8700,0,,,,,,,,,
101,60958.32689,62357.94769,66868.56797,71654.77086,8700,0,,,,,,,,,
102,62378.6164,63810.84747,68426.56227,73324.28059,8700,0,,,,,,,,,
103,65424.42292,66926.58658,71767.67628,76904.53909,8700,0,,,,,,,,,
104,70664.43768,72286.91359,77515.73895,83064.02667,8700,0,,,,,,,,,
105,78263.60989,80060.56498,85851.69221,91996.63641,8700,0,,,,,,,,,
106,79827.75046,81660.61868,87567.48471,93835.23891,8700,0,,,,,,,,,
107,78952.17699,80764.94179,86607.01963,92806.02732,8700,0,,,,,,,,,
108,77248.98039,79022.6393,84738.68886,90803.9684,8700,0,,,,,,,,,
109,74898.454,76618.14415,82160.26617,88040.99182,8700,0,,,,,,,,,
110,77257.61145,79031.46853,84748.15675,90814.11397,8700,0,,,,,,,,,
111,78265.52791,80062.52705,85853.79618,91998.89098,8700,0,,,,,,,,,
112,79259.05926,81078.87017,86943.6558,93166.75862,8700,0,,,,,,,,,
113,81033.22238,82893.76859,88889.83368,95252.23672,8700,0,,,,,,,,,
114,80289.03287,82132.49227,88073.49095,94377.46319,8700,0,,,,,,,,,
115,78171.54521,79966.38648,85750.70135,91888.41695,8700,0,,,,,,,,,
116,75243.69655,76971.31357,82538.98185,88446.81461,8700,0,,,,,,,,,
117,72331.19201,73991.93708,79344.09418,85023.24873,8700,0,,,,,,,,,
118,69099.33811,70685.87888,75798.89447,81224.29685,8700,0,,,,,,,,,
119,68081.83158,69645.0101,74682.73515,80028.24701,8700,0,,,,,,,,,
120,69852.15868,71455.98444,76624.70509,82109.21592,8700,0,,,,,,,,,
121,66971.30137,68508.9818,73464.53301,78722.85049,8700,0,,,,,,,,,
122,64990.95172,66483.16275,71292.17769,76395.00609,8700,0,,,,,,,,,
123,63729.85739,65193.11334,69908.81342,74912.62575,8700,0,,,,,,,,,
124,63333.78746,64787.94953,69474.34235,74447.05686,8700,0,,,,,,,,,
125,63702.04618,65164.66357,69878.30575,74879.93447,8700,0,,,,,,,,,
126,65039.86108,66533.19508,71345.82908,76452.49764,8700,0,,,,,,,,,
127,68336.92747,69905.96308,74962.56398,80328.10494,8700,0,,,,,,,,,
128,73617.22052,75307.49318,80754.81014,86534.9385,8700,0,,,,,,,,,
129,81168.44238,83032.09328,89038.16399,95411.18391,8700,0,,,,,,,,,
130,82060.31898,83944.44762,90016.51287,96459.55943,8700,0,,,,,,,,,
131,80179.70606,82020.65529,87953.56431,94248.95269,8700,0,,,,,,,,,
132,78160.03713,79954.61417,85738.0775,91874.88953,8700,0,,,,,,,,,
133,74160.97755,75863.73503,81351.28736,87174.10937,8700,0,,,,,,,,,
134,76100.08989,77847.36994,83478.40718,89453.48049,8700,0,,,,,,,,,
135,77394.74947,79171.75529,84898.59105,90975.31581,8700,0,,,,,,,,,
136,79044.24167,80859.1203,86708.01047,92914.24669,8700,0,,,,,,,,,
137,81410.11217,83279.31187,89303.26498,95695.25992,8700,0,,,,,,,,,
138,80581.53004,82431.70526,88394.34731,94721.2853,8700,0,,,,,,,,,
139,77953.8506,79743.69354,85511.90006,91632.52316,8700,0,,,,,,,,,
140,74952.1584,76673.08162,82219.1775,88104.11978,8700,0,,,,,,,,,
141,71987.86747,73640.72971,78967.48245,84619.68055,8700,0,,,,,,,,,
142,68921.92179,70504.38904,75604.27668,81015.74903,8700,0,,,,,,,,,
143,68285.14108,69852.98765,74905.75661,80267.23152,8700,0,,,,,,,,,
144,69645.97215,71245.0638,76398.52766,81866.84954,8700,0,,,,,,,,,
145,66926.22803,68462.87357,73415.08956,78669.86806,8700,0,,,,,,,,,
146,65138.63881,66634.24078,71454.18385,76568.60803,8700,0,,,,,,,,,
147,64058.79682,65529.6053,70269.6453,75299.28464,8700,0,,,,,,,,,
148,63763.42264,65227.44926,69945.63299,74952.08074,8700,0,,,,,,,,,
